[Name]
Heat Transfer

[Data]
"Accumulated Timestep","RMS H-Energy"
1,1.69026933e-03
2,1.04170460e-02
3,7.06276810e-03
4,6.95933960e-03
5,9.07798763e-03
6,1.25383567e-02
7,1.81060564e-02
8,9.89006367e-03
9,7.95874745e-03
10,1.05364108e-02
11,8.61088000e-03
12,1.31015880e-02
13,2.35362519e-02
14,9.33360215e-03
15,9.99235362e-03
16,1.40303764e-02
17,1.13495952e-02
18,1.06513128e-02
19,6.45619072e-03
20,6.16567628e-03
21,3.64822219e-03
22,2.99481908e-03
23,3.29142390e-03
24,3.72776110e-03
25,4.62422986e-03
26,4.95119672e-03
27,3.56589817e-03
28,2.46826606e-03
29,2.23583286e-03
30,2.21008342e-03
31,2.12391932e-03
32,1.95049739e-03
33,1.74481573e-03
34,1.60757964e-03
35,1.45377475e-03
36,1.43649592e-03
37,1.23191788e-03
38,1.19957281e-03
39,1.10695220e-03
40,1.42321759e-03
41,1.50610181e-03
42,1.14729686e-03
43,1.02711516e-03
44,9.58629942e-04
45,8.01725255e-04
46,6.51506998e-04
47,5.39254455e-04
48,4.71863837e-04
49,4.13430855e-04
50,3.74758558e-04
51,3.55039956e-04
52,3.25761386e-04
53,3.09270865e-04
54,2.96218874e-04
55,2.77163374e-04
56,2.62013724e-04
57,2.41420115e-04
58,2.27101191e-04
59,2.15508349e-04
60,2.01890187e-04
61,1.91197236e-04
62,1.77944617e-04
63,1.65272490e-04
64,1.55869449e-04
65,1.45479440e-04
66,1.34877206e-04
67,1.24266517e-04
68,1.16123527e-04
69,1.06475207e-04
70,9.78363751e-05
71,9.06946734e-05
72,8.37354237e-05
73,7.77522509e-05
74,7.17618968e-05
75,6.67369677e-05
76,6.20545179e-05
77,5.80888045e-05
78,5.44728537e-05
79,5.10718710e-05
80,4.86618228e-05
81,4.65641788e-05
82,4.45856786e-05
83,4.37179770e-05
84,4.26265506e-05
85,4.18750278e-05
86,4.14775022e-05
87,4.13807720e-05
88,4.07316693e-05
89,4.10572575e-05
90,1.78240836e-04
91,2.86760333e-04
92,1.72344968e-04
93,1.01238511e-04
94,1.29294873e-04
95,7.17044240e-05
96,6.32230222e-05
97,2.05754739e-04
98,1.73421795e-04
99,1.15174400e-04
100,2.24839881e-04
101,1.55761329e-04
102,1.04189268e-04
103,2.03405914e-04
104,1.42339311e-04
105,1.86200050e-04
106,4.96131943e-05
107,1.38140211e-04
108,2.12993458e-04
109,5.66981071e-05
110,3.78056211e-05
111,4.23022175e-05
112,4.82047217e-05
113,4.46511658e-05
114,4.29115498e-05
115,4.32129564e-05
116,4.39757277e-05
117,4.39357791e-05
118,4.16640105e-05
119,4.20853612e-05
120,4.43341560e-05
121,4.25315011e-05
122,4.36885857e-05
123,4.03759623e-05
124,4.01260659e-05
125,4.00589634e-05
126,3.95350398e-05
127,4.00355057e-05
128,3.70857815e-05
129,3.74192205e-05
130,3.52999305e-05
131,3.50149530e-05
132,3.34222859e-05
133,3.17328668e-05
134,3.05060548e-05
135,2.82992987e-05
136,2.72320758e-05
137,2.55534178e-05
138,2.40723075e-05
139,2.30656115e-05
140,2.17919423e-05
141,2.04787448e-05
142,1.93309206e-05
143,1.84192104e-05
144,1.75750229e-05
145,1.64531630e-05
146,1.54361660e-05
147,1.41319451e-05
148,1.30688559e-05
149,1.21269868e-05
150,1.13926799e-05
151,1.07773694e-05
152,9.57396060e-06
153,8.93252127e-06
154,8.07326523e-06
155,7.56403460e-06
156,6.75347337e-06
157,6.41903125e-06
158,6.00496014e-06
