[Name]
Plot Monitor 1

[Data]
"Accumulated Timestep","U-Mom Boundary Flow on INLET"
1,5.28152938e+05
2,5.37677188e+05
3,5.39713875e+05
4,5.37977812e+05
5,5.38777375e+05
6,5.40957500e+05
7,5.43779312e+05
8,5.47014062e+05
9,5.50603875e+05
10,5.54506750e+05
11,5.58668500e+05
12,5.63025125e+05
13,5.67491562e+05
14,5.71964750e+05
15,5.76368812e+05
16,5.80642562e+05
17,5.84772938e+05
18,5.88704875e+05
19,5.92412250e+05
20,5.95899875e+05
21,5.99165312e+05
22,6.02167562e+05
23,6.04975875e+05
24,6.07594562e+05
25,6.10034500e+05
26,6.12309625e+05
27,6.14345312e+05
28,6.16251188e+05
29,6.18036750e+05
30,6.19712812e+05
31,6.21288438e+05
32,6.22692312e+05
33,6.24019000e+05
34,6.25271688e+05
35,6.26455875e+05
36,6.27576125e+05
37,6.28589250e+05
38,6.29552500e+05
39,6.30466875e+05
40,6.31335250e+05
41,6.32159875e+05
42,6.32914625e+05
43,6.33634000e+05
44,6.34317812e+05
45,6.34967625e+05
46,6.35584938e+05
47,6.36155812e+05
48,6.36699250e+05
49,6.37215688e+05
50,6.37706250e+05
51,6.38172062e+05
52,6.38605812e+05
53,6.39018562e+05
54,6.39410250e+05
55,6.39781812e+05
56,6.40133938e+05
57,6.40463188e+05
58,6.40775750e+05
59,6.41071875e+05
60,6.41352250e+05
61,6.41617500e+05
62,6.41866125e+05
63,6.42101500e+05
64,6.42324438e+05
65,6.42535125e+05
66,6.42734688e+05
67,6.42921812e+05
68,6.43099062e+05
69,6.43266500e+05
70,6.43425000e+05
71,6.43574875e+05
72,6.43715625e+05
73,6.43849000e+05
74,6.43975312e+05
75,6.44095062e+05
76,6.44208688e+05
77,6.44316062e+05
78,6.44418000e+05
79,6.44514812e+05
80,6.44606875e+05
81,6.44694438e+05
82,6.44777562e+05
83,6.44856938e+05
84,6.44932812e+05
85,6.45005312e+05
86,6.45074750e+05
87,6.45141125e+05
88,6.45204750e+05
89,6.45266000e+05
90,6.45324750e+05
91,6.45382375e+05
92,6.45436688e+05
93,6.45490062e+05
94,6.45541375e+05
95,6.45591312e+05
96,6.45639688e+05
97,6.45686438e+05
98,6.45731000e+05
99,6.45775125e+05
100,6.45817875e+05
101,6.45858250e+05
102,6.45898125e+05
103,6.45936375e+05
104,6.45972438e+05
105,6.46008062e+05
106,6.46041938e+05
107,6.46074375e+05
108,6.46106438e+05
109,6.46136688e+05
110,6.46165688e+05
111,6.46193688e+05
112,6.46220562e+05
113,6.46246312e+05
114,6.46271062e+05
115,6.46294688e+05
116,6.46317375e+05
117,6.46339000e+05
118,6.46359750e+05
119,6.46379438e+05
120,6.46398188e+05
121,6.46416188e+05
122,6.46433250e+05
123,6.46449500e+05
124,6.46464938e+05
125,6.46479562e+05
126,6.46493500e+05
127,6.46506625e+05
128,6.46519000e+05
129,6.46530688e+05
130,6.46541875e+05
131,6.46552375e+05
132,6.46562188e+05
133,6.46571500e+05
134,6.46580312e+05
135,6.46588500e+05
136,6.46596375e+05
137,6.46603562e+05
138,6.46610375e+05
139,6.46616875e+05
140,6.46622688e+05
141,6.46628375e+05
142,6.46633625e+05
143,6.46638562e+05
144,6.46643125e+05
145,6.46647500e+05
146,6.46651500e+05
147,6.46655312e+05
148,6.46658875e+05
149,6.46662125e+05
150,6.46665125e+05
151,6.46668062e+05
152,6.46670750e+05
153,6.46673250e+05
154,6.46675688e+05
155,6.46677812e+05
156,6.46679938e+05
157,6.46681875e+05
158,6.46683875e+05
159,6.46685625e+05
160,6.46687188e+05
161,6.46688750e+05
162,6.46690250e+05
163,6.46691625e+05
164,6.46692875e+05
165,6.46694188e+05
166,6.46695312e+05
167,6.46696438e+05
168,6.46697562e+05
169,6.46698688e+05
170,6.46699750e+05
171,6.46700688e+05
172,6.46701500e+05
173,6.46702500e+05
174,6.46703312e+05
175,6.46704125e+05
176,6.46705000e+05
177,6.46705750e+05
178,6.46706562e+05
179,6.46707312e+05
180,6.46708125e+05
181,6.46708812e+05
182,6.46709562e+05
183,6.46710250e+05
184,6.46710938e+05
185,6.46711625e+05
186,6.46712250e+05
187,6.46713000e+05
188,6.46713625e+05
189,6.46714188e+05
190,6.46714875e+05
191,6.46715375e+05
192,6.46715938e+05
193,6.46716625e+05
194,6.46717125e+05
195,6.46717750e+05
196,6.46718188e+05
197,6.46718688e+05
198,6.46719188e+05
199,6.46719750e+05
200,6.46720250e+05
201,6.46720750e+05
202,6.46721188e+05
203,6.46721688e+05
204,6.46722125e+05
205,6.46722500e+05
206,6.46722938e+05
207,6.46723312e+05
208,6.46723750e+05
209,6.46724125e+05
210,6.46724375e+05
211,6.46724688e+05
212,6.46725062e+05
213,6.46725312e+05
214,6.46725688e+05
215,6.46726000e+05
216,6.46726188e+05
217,6.46726500e+05
218,6.46726812e+05
219,6.46727000e+05
220,6.46727188e+05
221,6.46727438e+05
222,6.46727688e+05
223,6.46727875e+05
224,6.46727938e+05
225,6.46728125e+05
226,6.46728250e+05
227,6.46728375e+05
228,6.46728500e+05
229,6.46728688e+05
230,6.46728875e+05
231,6.46729000e+05
232,6.46729062e+05
233,6.46729125e+05
234,6.46729125e+05
235,6.46729250e+05
236,6.46729312e+05
237,6.46729375e+05
238,6.46729438e+05
239,6.46729438e+05
240,6.46729500e+05
241,6.46729625e+05
242,6.46729625e+05
243,6.46729625e+05
244,6.46729625e+05
245,6.46729688e+05
246,6.46729688e+05
247,6.46729688e+05
248,6.46729688e+05
249,6.46729750e+05
250,6.46729750e+05
251,6.46729750e+05
252,6.46729750e+05
253,6.46729688e+05
254,6.46729750e+05
255,6.46729750e+05
256,6.46729812e+05
257,6.46729750e+05
258,6.46729750e+05
259,6.46729688e+05
260,6.46729688e+05
261,6.46729625e+05
262,6.46729625e+05
263,6.46729688e+05
264,6.46729688e+05
265,6.46729688e+05
266,6.46729688e+05
267,6.46729688e+05
268,6.46729625e+05
269,6.46729688e+05
270,6.46729625e+05
271,6.46729688e+05
272,6.46729625e+05
273,6.46729625e+05
274,6.46729625e+05
275,6.46729625e+05
276,6.46729562e+05
277,6.46729562e+05
278,6.46729625e+05
279,6.46729625e+05
280,6.46729625e+05
281,6.46729562e+05
282,6.46729562e+05
283,6.46729688e+05
284,6.46729625e+05
285,6.46729625e+05
286,6.46729625e+05
287,6.46729625e+05
288,6.46729688e+05
289,6.46729688e+05
290,6.46729688e+05
291,6.46729688e+05
292,6.46729688e+05
293,6.46729625e+05
294,6.46729750e+05
295,6.46729812e+05
296,6.46729750e+05
297,6.46729812e+05
298,6.46729750e+05
299,6.46729812e+05
300,6.46729812e+05
301,6.46729750e+05
302,6.46729875e+05
303,6.46729812e+05
304,6.46729812e+05
305,6.46729812e+05
306,6.46729875e+05
307,6.46729875e+05
308,6.46729875e+05
309,6.46729938e+05
310,6.46729875e+05
311,6.46729938e+05
312,6.46729938e+05
313,6.46729875e+05
314,6.46729938e+05
315,6.46729938e+05
316,6.46730000e+05
317,6.46730000e+05
318,6.46729938e+05
319,6.46729938e+05
320,6.46729938e+05
321,6.46729938e+05
322,6.46730000e+05
323,6.46729938e+05
324,6.46729938e+05
325,6.46730000e+05
326,6.46730000e+05
327,6.46730000e+05
328,6.46730000e+05
329,6.46730000e+05
330,6.46729938e+05
331,6.46730000e+05
332,6.46730000e+05
333,6.46730000e+05
334,6.46730000e+05
335,6.46729938e+05
336,6.46730000e+05
337,6.46730000e+05
338,6.46730000e+05
339,6.46730000e+05
340,6.46730000e+05
341,6.46730000e+05
342,6.46730000e+05
343,6.46730000e+05
344,6.46730000e+05
345,6.46730000e+05
346,6.46730000e+05
347,6.46730000e+05
348,6.46730000e+05
349,6.46730000e+05
350,6.46729938e+05
351,6.46730000e+05
352,6.46730000e+05
353,6.46729938e+05
354,6.46729938e+05
355,6.46729938e+05
356,6.46729938e+05
357,6.46730000e+05
358,6.46729938e+05
359,6.46730000e+05
360,6.46729938e+05
361,6.46729938e+05
362,6.46730000e+05
363,6.46730000e+05
364,6.46730000e+05
365,6.46729938e+05
366,6.46730000e+05
367,6.46730000e+05
368,6.46730000e+05
369,6.46730000e+05
370,6.46729938e+05
371,6.46730000e+05
372,6.46730000e+05
373,6.46730000e+05
374,6.46729938e+05
375,6.46729938e+05
376,6.46729938e+05
377,6.46730000e+05
378,6.46730000e+05
379,6.46730000e+05
380,6.46730000e+05
381,6.46730000e+05
382,6.46729938e+05
383,6.46730000e+05
384,6.46730000e+05
385,6.46729938e+05
386,6.46729938e+05
387,6.46730000e+05
388,6.46730000e+05
389,6.46730000e+05
390,6.46730000e+05
391,6.46729938e+05
392,6.46729938e+05
393,6.46729938e+05
394,6.46729938e+05
395,6.46729938e+05
396,6.46730000e+05
397,6.46730000e+05
398,6.46729938e+05
399,6.46730000e+05
400,6.46729938e+05
401,6.46729938e+05
402,6.46730000e+05
403,6.46730000e+05
404,6.46729938e+05
405,6.46729938e+05
406,6.46729938e+05
407,6.46729938e+05
408,6.46730000e+05
409,6.46730000e+05
410,6.46730000e+05
411,6.46730000e+05
412,6.46729938e+05
413,6.46729938e+05
414,6.46729938e+05
415,6.46730000e+05
416,6.46730000e+05
417,6.46729938e+05
418,6.46729938e+05
419,6.46730000e+05
420,6.46730000e+05
421,6.46729938e+05
422,6.46729938e+05
423,6.46730000e+05
424,6.46730000e+05
425,6.46729938e+05
426,6.46730000e+05
427,6.46729938e+05
428,6.46730000e+05
429,6.46730000e+05
430,6.46730000e+05
431,6.46730000e+05
432,6.46730000e+05
433,6.46729938e+05
434,6.46729938e+05
435,6.46730000e+05
436,6.46730000e+05
437,6.46730000e+05
438,6.46730000e+05
439,6.46730000e+05
440,6.46729938e+05
441,6.46730000e+05
442,6.46730000e+05
443,6.46730000e+05
444,6.46730000e+05
445,6.46729938e+05
446,6.46730000e+05
447,6.46729938e+05
448,6.46729938e+05
449,6.46730000e+05
450,6.46729938e+05
451,6.46730000e+05
452,6.46730000e+05
453,6.46729938e+05
454,6.46729938e+05
455,6.46730000e+05
456,6.46729938e+05
457,6.46730000e+05
458,6.46730000e+05
459,6.46730000e+05
460,6.46729938e+05
461,6.46730000e+05
462,6.46729938e+05
463,6.46730000e+05
464,6.46730000e+05
465,6.46729938e+05
466,6.46730000e+05
467,6.46730000e+05
468,6.46730000e+05
469,6.46730000e+05
470,6.46730000e+05
471,6.46730000e+05
472,6.46730000e+05
473,6.46729938e+05
474,6.46730000e+05
475,6.46730000e+05
476,6.46729938e+05
477,6.46730000e+05
478,6.46729938e+05
479,6.46729938e+05
480,6.46730000e+05
481,6.46730000e+05
482,6.46730000e+05
483,6.46729938e+05
484,6.46729938e+05
485,6.46730000e+05
486,6.46729938e+05
487,6.46730000e+05
488,6.46729938e+05
489,6.46730000e+05
490,6.46729938e+05
491,6.46730000e+05
492,6.46729938e+05
493,6.46729938e+05
494,6.46729938e+05
495,6.46729938e+05
496,6.46729938e+05
497,6.46729938e+05
498,6.46729938e+05
499,6.46729938e+05
500,6.46730000e+05
501,6.46730000e+05
502,6.46730000e+05
503,6.46730000e+05
504,6.46729938e+05
505,6.46730000e+05
506,6.46729938e+05
507,6.46729938e+05
508,6.46729938e+05
509,6.46729938e+05
510,6.46729938e+05
511,6.46730000e+05
512,6.46730000e+05
513,6.46730000e+05
514,6.46729938e+05
515,6.46729938e+05
516,6.46730000e+05
517,6.46729938e+05
518,6.46730000e+05
519,6.46729938e+05
520,6.46730000e+05
521,6.46730000e+05
522,6.46729938e+05
523,6.46729938e+05
524,6.46729938e+05
525,6.46730000e+05
526,6.46729938e+05
527,6.46729938e+05
528,6.46729938e+05
529,6.46729938e+05
530,6.46730000e+05
531,6.46730000e+05
532,6.46729938e+05
533,6.46729938e+05
534,6.46729938e+05
535,6.46730000e+05
536,6.46729938e+05
537,6.46729938e+05
538,6.46729938e+05
539,6.46730000e+05
540,6.46730000e+05
541,6.46730000e+05
542,6.46729938e+05
543,6.46729938e+05
544,6.46729938e+05
545,6.46730000e+05
546,6.46730000e+05
547,6.46729938e+05
548,6.46729938e+05
549,6.46730000e+05
550,6.46730000e+05
551,6.46730000e+05
552,6.46729938e+05
553,6.46729938e+05
554,6.46729938e+05
555,6.46729938e+05
556,6.46730000e+05
557,6.46729938e+05
558,6.46730000e+05
559,6.46729938e+05
560,6.46730000e+05
561,6.46730000e+05
562,6.46729938e+05
563,6.46730000e+05
564,6.46730000e+05
565,6.46730000e+05
566,6.46729938e+05
567,6.46730000e+05
568,6.46729938e+05
569,6.46729938e+05
570,6.46729938e+05
571,6.46729938e+05
572,6.46729938e+05
573,6.46729938e+05
574,6.46730000e+05
575,6.46729938e+05
576,6.46729938e+05
577,6.46730000e+05
578,6.46730000e+05
579,6.46729938e+05
580,6.46730000e+05
581,6.46729938e+05
582,6.46729938e+05
583,6.46730000e+05
584,6.46730000e+05
585,6.46730000e+05
586,6.46730000e+05
587,6.46729938e+05
588,6.46730000e+05
589,6.46730000e+05
590,6.46729938e+05
591,6.46729938e+05
592,6.46729938e+05
593,6.46729938e+05
594,6.46729938e+05
595,6.46730000e+05
596,6.46729938e+05
597,6.46729938e+05
598,6.46729938e+05
599,6.46730000e+05
600,6.46730000e+05
601,6.46730000e+05
602,6.46730000e+05
603,6.46730000e+05
604,6.46730000e+05
605,6.46730000e+05
606,6.46730000e+05
607,6.46730000e+05
608,6.46729938e+05
609,6.46730000e+05
610,6.46730000e+05
611,6.46730000e+05
612,6.46730000e+05
613,6.46730000e+05
614,6.46730000e+05
