[Name]
Momentum and Mass

[Data]
"Accumulated Timestep","RMS P-Mass","RMS U-Mom","RMS V-Mom","RMS W-Mom"
1,5.27139462e-04,4.33678619e+02,2.99453949e+02,0.00000000e+00
2,3.72035138e-05,1.80213422e-01,2.25443877e-02,0.00000000e+00
3,5.72842800e-05,9.29900780e-02,8.95353779e-03,0.00000000e+00
4,1.01113597e-04,6.19859919e-02,4.55943029e-03,0.00000000e+00
5,1.12176953e-04,4.42343019e-02,2.18198635e-03,0.00000000e+00
6,1.20277422e-04,3.18434350e-02,1.60690024e-03,0.00000000e+00
7,1.28287109e-04,2.28456110e-02,1.66014372e-03,0.00000000e+00
8,1.35218390e-04,1.51070310e-02,1.18724245e-03,0.00000000e+00
9,1.41987897e-04,1.08482223e-02,8.80167994e-04,0.00000000e+00
10,1.49228945e-04,8.17422755e-03,6.90621440e-04,0.00000000e+00
11,1.57348884e-04,6.16114633e-03,6.29900664e-04,0.00000000e+00
12,1.65942009e-04,5.13928430e-03,5.46614523e-04,0.00000000e+00
13,1.73864231e-04,4.75443574e-03,6.78478973e-04,0.00000000e+00
14,1.80159623e-04,4.22880612e-03,5.99752064e-04,0.00000000e+00
15,1.84992576e-04,4.17958386e-03,6.50742732e-04,0.00000000e+00
16,1.85866156e-04,3.52161820e-03,5.75730402e-04,0.00000000e+00
17,1.84854493e-04,3.27000092e-03,5.65780385e-04,0.00000000e+00
18,1.81892057e-04,2.79970933e-03,4.48467181e-04,0.00000000e+00
19,1.77646158e-04,2.92189140e-03,3.92360613e-04,0.00000000e+00
20,1.72439934e-04,2.83358316e-03,3.90469766e-04,0.00000000e+00
21,1.66935817e-04,2.77447258e-03,4.03560378e-04,0.00000000e+00
22,1.60279436e-04,2.85938755e-03,4.18441457e-04,0.00000000e+00
23,1.53273271e-04,2.64403271e-03,3.70140129e-04,0.00000000e+00
24,1.46568520e-04,2.63895444e-03,3.28442140e-04,0.00000000e+00
25,1.40172779e-04,2.46382738e-03,3.07766430e-04,0.00000000e+00
26,1.33720110e-04,1.81096955e-03,2.26414806e-04,0.00000000e+00
27,1.26279745e-04,1.51580328e-03,1.72768880e-04,0.00000000e+00
28,1.19941178e-04,1.41660322e-03,1.64718163e-04,0.00000000e+00
29,1.14185001e-04,1.34970644e-03,1.65161895e-04,0.00000000e+00
30,1.08814616e-04,1.32438599e-03,1.56141861e-04,0.00000000e+00
31,1.03649552e-04,1.29289634e-03,1.45930069e-04,0.00000000e+00
32,9.79501492e-05,1.22851285e-03,1.44045553e-04,0.00000000e+00
33,9.31244649e-05,1.15616817e-03,1.42188816e-04,0.00000000e+00
34,8.87889109e-05,1.08299137e-03,1.38706644e-04,0.00000000e+00
35,8.48162890e-05,9.91786248e-04,1.31988301e-04,0.00000000e+00
36,8.10010024e-05,8.73845129e-04,1.15152281e-04,0.00000000e+00
37,7.69267499e-05,7.61031581e-04,1.04969949e-04,0.00000000e+00
38,7.34205460e-05,6.60485995e-04,9.67219385e-05,0.00000000e+00
39,7.02151083e-05,5.73556172e-04,8.83212197e-05,0.00000000e+00
40,6.72506285e-05,4.93727683e-04,8.53309102e-05,0.00000000e+00
41,6.44160245e-05,4.18011856e-04,8.25914540e-05,0.00000000e+00
42,6.14632736e-05,3.55757889e-04,8.00283160e-05,0.00000000e+00
