[Name]
TurbKE and TurbFreq Quantities

[Data]
"Accumulated Timestep","MAX K-TurbKE","MAX O-TurbFreq"
1,4.69085813e-01,1.00427556e+00
2,8.85336304e+00,2.97497153e-01
3,3.55277300e-01,2.59073347e-01
4,2.66639858e-01,2.94378340e-01
5,2.08024755e-01,1.59765974e-01
6,1.73066273e-01,2.63580620e-01
7,1.49736315e-01,2.52938151e-01
8,1.34208322e-01,4.96397585e-01
9,1.24204971e-01,1.52496964e-01
10,1.22392453e-01,5.10538995e-01
11,1.19346187e-01,6.90732837e-01
12,1.12357907e-01,3.60704243e-01
13,1.04474314e-01,2.41271153e-01
14,9.59116891e-02,1.15548164e-01
15,8.74771103e-02,3.80250514e-01
16,1.69182494e-01,1.99658692e-01
17,3.69341582e-01,3.24280381e-01
18,4.07971203e-01,1.04782403e-01
19,3.66197199e-01,2.49381900e-01
20,3.50668609e-01,1.55543521e-01
21,4.06702459e-01,9.70903188e-02
22,3.87230754e-01,1.01472698e-01
23,3.82669687e-01,7.25198463e-02
24,2.96384066e-01,6.51348829e-02
25,2.62116104e-01,8.96454826e-02
26,1.46589339e-01,1.03896223e-01
27,9.26111639e-02,1.03816167e-01
28,4.57431450e-02,1.29366308e-01
29,3.65242064e-02,1.68322384e-01
30,2.67091356e-02,1.83729187e-01
31,2.48023644e-02,1.57405138e-01
32,2.15040632e-02,1.59625441e-01
33,1.95557438e-02,1.29292324e-01
34,1.79564599e-02,1.26132980e-01
35,1.90561973e-02,6.72320426e-02
36,2.04463266e-02,1.00154527e-01
37,2.44714711e-02,7.04603642e-02
38,2.78469250e-02,6.20805547e-02
39,3.84679548e-02,4.61034477e-02
40,4.15176563e-02,2.64803264e-02
41,3.61366309e-02,2.45466903e-02
42,3.46272700e-02,1.81999523e-02
43,3.13981734e-02,1.52370874e-02
44,2.89934203e-02,1.45486649e-02
45,2.28279252e-02,1.39906090e-02
46,2.16606855e-02,1.34136910e-02
47,1.53485294e-02,1.27447946e-02
48,1.34863472e-02,1.20996358e-02
49,1.07853645e-02,1.14435963e-02
50,1.01218140e-02,1.07618989e-02
51,9.49025620e-03,1.00736814e-02
52,8.84604733e-03,9.37767886e-03
53,8.21284764e-03,8.71271919e-03
54,7.59781571e-03,8.07612482e-03
55,7.00715790e-03,7.47377053e-03
56,6.48507243e-03,6.91323960e-03
57,6.02752995e-03,6.38934923e-03
58,5.59234945e-03,5.90049196e-03
59,5.17724967e-03,5.43637201e-03
60,4.78422036e-03,5.00159245e-03
61,4.41441266e-03,4.59145242e-03
62,4.06490453e-03,4.21727402e-03
63,3.74135375e-03,3.87516827e-03
64,3.44333891e-03,3.55967437e-03
65,3.16594006e-03,3.31822247e-03
66,2.90561491e-03,3.17307119e-03
67,2.66388175e-03,3.03822965e-03
68,2.44104955e-03,2.92727561e-03
69,2.35820748e-03,2.82513257e-03
70,2.28513195e-03,2.73684179e-03
71,2.21380265e-03,2.65744724e-03
72,2.15811678e-03,2.58945744e-03
73,2.10575503e-03,2.53403839e-03
74,2.06083711e-03,2.48799496e-03
75,2.02828087e-03,2.44982797e-03
76,2.00661807e-03,2.42569763e-03
77,1.98869850e-03,2.40685232e-03
78,1.97582226e-03,2.40173424e-03
79,1.96788087e-03,2.40794313e-03
80,1.96011504e-03,2.41940608e-03
81,1.96187501e-03,2.44300533e-03
82,1.95864704e-03,2.46685115e-03
83,1.96120818e-03,2.50035222e-03
84,1.97933684e-03,2.53480556e-03
85,2.01121182e-03,2.56851804e-03
86,2.04742048e-03,2.60390947e-03
87,2.08989438e-03,2.64333049e-03
88,2.12983997e-03,2.69145123e-03
89,2.18030624e-03,2.73501035e-03
90,3.04237800e-03,2.86600552e-03
91,3.29285557e-03,4.51368419e-03
92,2.94034090e-03,3.59936268e-03
93,3.49229388e-03,4.11399780e-03
94,3.59572144e-03,4.59385850e-03
95,3.31668952e-03,4.24037036e-03
96,3.11551942e-03,3.79912253e-03
97,2.56608031e-03,3.49143869e-03
98,2.51740287e-03,2.29303073e-03
99,3.24821961e-03,3.25387181e-03
100,3.09776491e-03,4.04773280e-03
101,2.77120573e-03,2.85086990e-03
102,3.46563221e-03,3.57686495e-03
103,3.23067117e-03,4.13813675e-03
104,2.98295473e-03,2.92701391e-03
105,3.13960295e-03,3.60344909e-03
106,2.69312994e-03,2.96323653e-03
107,3.28907231e-03,2.74618412e-03
108,3.65231186e-03,4.19663079e-03
109,3.03777750e-03,3.43679707e-03
110,2.91223871e-03,2.86784628e-03
111,3.08326143e-03,2.98828678e-03
112,3.19955940e-03,3.20615270e-03
113,3.19052301e-03,3.27113015e-03
114,3.26360180e-03,3.27052921e-03
115,3.30733787e-03,3.26913851e-03
116,3.31919291e-03,3.27210827e-03
117,3.29076778e-03,3.26656317e-03
118,3.22626834e-03,3.25781247e-03
119,3.29876598e-03,3.24319373e-03
120,3.33300745e-03,3.19848070e-03
121,3.31981783e-03,3.12313740e-03
122,3.26234614e-03,3.09460866e-03
123,3.16757034e-03,3.08089913e-03
124,3.05133779e-03,3.04200104e-03
125,3.01674404e-03,2.96784402e-03
126,2.99711153e-03,2.87911901e-03
127,2.94550625e-03,2.76858360e-03
128,2.86859460e-03,2.63569830e-03
129,2.76805251e-03,2.58657825e-03
130,2.64484435e-03,2.50484655e-03
131,2.50309892e-03,2.41723680e-03
132,2.35024281e-03,2.31449073e-03
133,2.18721200e-03,2.19354127e-03
134,2.10095197e-03,2.05897540e-03
135,2.01544468e-03,1.92013441e-03
136,1.92653283e-03,1.79352297e-03
137,1.83110021e-03,1.66754785e-03
138,1.73239491e-03,1.54615543e-03
139,1.62896840e-03,1.42862089e-03
140,1.52196153e-03,1.35608739e-03
141,1.41423498e-03,1.27376767e-03
142,1.30350119e-03,1.19844836e-03
143,1.19609607e-03,1.12727471e-03
144,1.09246792e-03,1.05931633e-03
145,9.91442939e-04,9.86040221e-04
146,9.00611223e-04,9.10465431e-04
