[Name]
Heat Transfer

[Data]
"Accumulated Timestep","RMS H-Energy"
1,1.69062440e-03
2,1.02480240e-02
3,6.31096400e-03
4,6.73248805e-03
5,8.17230344e-03
6,1.21989893e-02
7,1.60859171e-02
8,9.51751973e-03
9,8.10033921e-03
10,1.04933390e-02
11,9.37282201e-03
12,1.39444759e-02
13,2.66333595e-02
14,1.07642924e-02
15,9.48154740e-03
16,1.59033202e-02
17,1.43773286e-02
18,8.17297865e-03
19,4.30714665e-03
20,5.47306519e-03
21,7.70969270e-03
22,3.77889420e-03
23,2.57492159e-03
24,2.84265913e-03
25,3.25177331e-03
26,4.05159919e-03
27,3.51544307e-03
28,3.60855577e-03
29,3.12986760e-03
30,2.19535991e-03
31,2.21226015e-03
32,1.94724230e-03
33,1.81384280e-03
34,1.74660189e-03
35,1.54861738e-03
36,1.30761147e-03
37,1.58797193e-03
38,1.34644506e-03
39,1.22005702e-03
40,1.28715497e-03
41,1.21711346e-03
42,7.07367260e-04
43,3.98476463e-04
44,3.05517693e-04
45,2.73670274e-04
46,2.80144246e-04
47,2.27559867e-04
48,2.12685525e-04
49,2.01226343e-04
50,1.90042672e-04
51,1.86301259e-04
52,1.66056387e-04
53,1.58618990e-04
54,1.48945357e-04
55,1.38028074e-04
56,1.31299879e-04
57,1.17211137e-04
58,1.10801739e-04
59,1.03559723e-04
60,9.66742809e-05
61,9.23889529e-05
62,8.36632680e-05
63,7.90482445e-05
64,7.42119591e-05
65,6.96034840e-05
66,6.65491825e-05
67,6.09409472e-05
68,5.77597020e-05
69,5.47191266e-05
70,5.18412380e-05
71,5.00072747e-05
72,4.66915189e-05
73,4.47660277e-05
74,4.29270294e-05
75,4.11963119e-05
76,3.99851051e-05
77,3.78458717e-05
78,3.65586493e-05
79,3.52526804e-05
80,3.39453727e-05
81,3.29663526e-05
82,3.13958808e-05
83,3.03428515e-05
84,2.92849891e-05
85,2.81542343e-05
86,2.72026064e-05
87,2.59710796e-05
88,2.49954628e-05
89,2.40185891e-05
90,2.30595851e-05
91,2.22188137e-05
92,2.11858205e-05
93,2.03558393e-05
94,1.94987988e-05
95,1.86752604e-05
96,1.79551062e-05
97,1.71132979e-05
98,1.64112953e-05
99,1.57408831e-05
100,1.51031336e-05
101,1.45409222e-05
102,1.39118301e-05
103,1.33214407e-05
104,1.27854237e-05
105,1.22628126e-05
106,1.17755271e-05
107,1.12695507e-05
108,1.08266931e-05
109,1.03714838e-05
110,9.92846162e-06
111,9.51568290e-06
112,9.09094979e-06
113,8.69787345e-06
114,8.31239231e-06
115,7.93854906e-06
116,7.58243914e-06
117,7.22248069e-06
118,6.93079801e-06
119,6.66313008e-06
120,6.36285631e-06
121,6.07868560e-06
122,5.80223468e-06
123,5.54951203e-06
124,5.31569685e-06
125,5.09341635e-06
126,4.88521391e-06
127,4.67885820e-06
128,4.48897845e-06
129,4.30405908e-06
130,4.12682903e-06
131,3.95980487e-06
132,3.79327730e-06
133,3.63837944e-06
134,3.48943649e-06
135,3.34558536e-06
136,3.20119830e-06
137,3.06178526e-06
138,2.92986601e-06
139,2.80287031e-06
140,2.67980431e-06
141,2.56193789e-06
142,2.44645571e-06
143,2.33665810e-06
144,2.23174584e-06
145,2.13138583e-06
146,2.03572358e-06
147,1.94207109e-06
148,1.85520707e-06
149,1.77182403e-06
150,1.69176042e-06
151,1.61532182e-06
152,1.54156476e-06
153,1.47208107e-06
154,1.40620784e-06
155,1.34408276e-06
156,1.28520526e-06
157,1.22817494e-06
158,1.17359559e-06
159,1.12130181e-06
160,1.07129222e-06
161,1.02350998e-06
162,9.77348691e-07
