[Name]
Plot Monitor 1

[Data]
"Accumulated Timestep","U-Mom Boundary Flow on INLET"
1,5.28152938e+05
2,5.37677562e+05
3,5.39629250e+05
4,5.37988938e+05
5,5.38911438e+05
6,5.41201000e+05
7,5.44096375e+05
8,5.47382125e+05
9,5.51006938e+05
10,5.54930438e+05
11,5.59100875e+05
12,5.63460062e+05
13,5.67927438e+05
14,5.72406000e+05
15,5.76821312e+05
16,5.81112062e+05
17,5.85263438e+05
18,5.89217438e+05
19,5.92957062e+05
20,5.96385812e+05
21,5.99681750e+05
22,6.02696625e+05
23,6.05514125e+05
24,6.08137750e+05
25,6.10578562e+05
26,6.12849688e+05
27,6.14859812e+05
28,6.16736125e+05
29,6.18488438e+05
30,6.20128812e+05
31,6.21666812e+05
32,6.23033562e+05
33,6.24323125e+05
34,6.25539375e+05
35,6.26688625e+05
36,6.27775750e+05
37,6.28762312e+05
38,6.29700000e+05
39,6.30589625e+05
40,6.31434000e+05
41,6.32235125e+05
42,6.32972812e+05
43,6.33674312e+05
44,6.34340188e+05
45,6.34971938e+05
46,6.35571188e+05
47,6.36127188e+05
48,6.36655750e+05
49,6.37157375e+05
50,6.37633312e+05
51,6.38084812e+05
52,6.38506125e+05
53,6.38906438e+05
54,6.39286062e+05
55,6.39645938e+05
56,6.39987000e+05
57,6.40306312e+05
58,6.40609312e+05
59,6.40896500e+05
60,6.41168688e+05
61,6.41426750e+05
62,6.41669250e+05
63,6.41899625e+05
64,6.42118312e+05
65,6.42326000e+05
66,6.42523438e+05
67,6.42709812e+05
68,6.42887312e+05
69,6.43056312e+05
70,6.43217250e+05
71,6.43370562e+05
72,6.43515938e+05
73,6.43654750e+05
74,6.43787125e+05
75,6.43913562e+05
76,6.44034312e+05
77,6.44149125e+05
78,6.44258938e+05
79,6.44363938e+05
80,6.44464312e+05
81,6.44560375e+05
82,6.44651938e+05
83,6.44739562e+05
84,6.44823438e+05
85,6.44903750e+05
86,6.44980562e+05
87,6.45053875e+05
88,6.45124062e+05
89,6.45191250e+05
90,6.45255438e+05
91,6.45316875e+05
92,6.45375500e+05
93,6.45431562e+05
94,6.45485188e+05
95,6.45536438e+05
96,6.45585312e+05
97,6.45632000e+05
98,6.45676562e+05
99,6.45719125e+05
100,6.45759750e+05
101,6.45798438e+05
102,6.45835312e+05
103,6.45870438e+05
104,6.45903938e+05
105,6.45935875e+05
106,6.45966312e+05
107,6.45995250e+05
108,6.46022812e+05
109,6.46049125e+05
110,6.46074188e+05
111,6.46098062e+05
112,6.46120750e+05
113,6.46142438e+05
114,6.46163125e+05
115,6.46182812e+05
116,6.46201625e+05
117,6.46219500e+05
118,6.46236562e+05
119,6.46252812e+05
120,6.46268375e+05
121,6.46283188e+05
122,6.46297312e+05
123,6.46310812e+05
124,6.46323625e+05
125,6.46335938e+05
126,6.46347625e+05
127,6.46358812e+05
128,6.46369500e+05
129,6.46379688e+05
130,6.46389438e+05
131,6.46398688e+05
132,6.46407562e+05
133,6.46416062e+05
134,6.46424250e+05
135,6.46432000e+05
136,6.46439375e+05
137,6.46446500e+05
138,6.46453250e+05
139,6.46459688e+05
140,6.46465875e+05
141,6.46471812e+05
142,6.46477438e+05
143,6.46482812e+05
144,6.46488000e+05
145,6.46492875e+05
146,6.46497625e+05
147,6.46502125e+05
148,6.46506438e+05
149,6.46510500e+05
150,6.46514500e+05
151,6.46518250e+05
152,6.46521812e+05
153,6.46525188e+05
154,6.46528438e+05
155,6.46531562e+05
156,6.46534500e+05
157,6.46537375e+05
158,6.46540062e+05
159,6.46542688e+05
160,6.46545125e+05
161,6.46547500e+05
162,6.46549750e+05
