[Name]
Momentum and Mass

[Data]
"Accumulated Timestep","RMS P-Mass","RMS U-Mom","RMS V-Mom","RMS W-Mom"
1,5.27140219e-04,4.37080109e+02,2.99904297e+02,5.70294567e-08
2,3.75833442e-05,1.81438252e-01,2.27613673e-02,6.93740967e-11
3,5.73534780e-05,9.42023024e-02,9.01924632e-03,3.67092919e-11
4,1.02498183e-04,6.28432631e-02,4.52685356e-03,2.45074256e-11
5,1.13669943e-04,4.53824736e-02,2.16584280e-03,1.76778262e-11
6,1.22415382e-04,3.27917412e-02,1.61014334e-03,1.28159124e-11
7,1.31712120e-04,2.32430119e-02,1.68104563e-03,9.09181844e-12
8,1.40378397e-04,1.53844440e-02,1.16794754e-03,6.01653970e-12
9,1.49219006e-04,1.09807812e-02,8.30853998e-04,4.29341892e-12
10,1.58871044e-04,8.33001360e-03,6.48623391e-04,3.24957053e-12
11,1.69385807e-04,6.20508799e-03,5.50782075e-04,2.42786043e-12
12,1.80337898e-04,5.05532743e-03,4.62938740e-04,1.97338109e-12
13,1.90522027e-04,4.38164920e-03,5.35733998e-04,1.71307055e-12
14,1.99006245e-04,3.55184195e-03,4.38943098e-04,1.38940801e-12
15,2.05487479e-04,3.27934115e-03,4.33445093e-04,1.27992083e-12
16,2.07898804e-04,2.73041450e-03,3.59035534e-04,1.06762429e-12
17,2.07519071e-04,2.56355479e-03,3.77506949e-04,1.00086617e-12
18,2.04924552e-04,2.27204408e-03,3.37176461e-04,8.86388456e-13
19,2.00974464e-04,2.05077976e-03,2.91321980e-04,7.98130496e-13
20,1.94286084e-04,2.17021140e-03,2.75628816e-04,8.38116577e-13
21,1.88558450e-04,2.11405801e-03,2.66719551e-04,8.10559465e-13
22,1.81715877e-04,2.00014329e-03,2.47864838e-04,7.63052870e-13
23,1.74281726e-04,1.65292341e-03,1.76323229e-04,6.26337090e-13
24,1.66870654e-04,1.40602235e-03,1.30527493e-04,5.32103224e-13
25,1.59602365e-04,1.69125805e-03,1.29465887e-04,6.14417967e-13
26,1.52464534e-04,1.64705049e-03,1.40025004e-04,5.90124900e-13
27,1.43822486e-04,1.35006104e-03,1.35589798e-04,4.94282566e-13
28,1.36408533e-04,1.27348956e-03,1.27984909e-04,4.78050379e-13
29,1.29597160e-04,1.27352308e-03,1.26732790e-04,4.89164481e-13
30,1.23321413e-04,1.31293875e-03,1.28402302e-04,5.05378129e-13
31,1.17454802e-04,1.32704456e-03,1.30176806e-04,5.05646414e-13
