[Name]
TurbKE and TurbFreq Quantities

[Data]
"Accumulated Timestep","RMS K-TurbKE","RMS O-TurbFreq"
1,9.57243145e-03,6.00752234e-02
2,2.42546499e-01,1.81139354e-02
3,1.30829001e-02,1.98235624e-02
4,8.94435868e-03,1.16299493e-02
5,7.57232076e-03,8.81763734e-03
6,6.13663159e-03,1.20549956e-02
7,5.26424451e-03,1.39084989e-02
8,4.83194366e-03,1.70742236e-02
9,4.51615592e-03,9.79581941e-03
10,4.23421804e-03,2.12488826e-02
11,3.97813879e-03,1.34301912e-02
12,3.72047490e-03,1.67233255e-02
13,3.43488995e-03,1.31012322e-02
14,3.22350161e-03,6.86814170e-03
15,3.13211326e-03,1.41807823e-02
16,3.88557371e-03,7.93953706e-03
17,5.41367289e-03,1.01672439e-02
18,8.28913227e-03,4.58407914e-03
19,7.64021790e-03,2.92025623e-03
20,1.10168187e-02,1.27890278e-02
21,1.12495245e-02,9.16155428e-03
22,1.20936437e-02,5.72968833e-03
23,1.28740519e-02,4.35181847e-03
24,1.09220641e-02,4.03816532e-03
25,8.50687083e-03,4.54964256e-03
26,5.82811609e-03,5.00846794e-03
27,3.63186491e-03,4.68289992e-03
28,2.61833612e-03,4.10500960e-03
29,2.36122613e-03,4.20410652e-03
30,2.36088177e-03,6.03610510e-03
31,2.30031763e-03,6.10258430e-03
32,2.28313752e-03,6.03911001e-03
33,2.24229996e-03,5.64541155e-03
34,2.09413026e-03,4.88275476e-03
35,1.93522114e-03,3.93311912e-03
36,1.76461635e-03,3.13998573e-03
37,1.58977415e-03,2.53443979e-03
38,1.42335310e-03,2.03126995e-03
39,1.26565131e-03,1.63542782e-03
40,1.12275791e-03,1.31767895e-03
41,1.00528682e-03,1.08045340e-03
42,9.07383801e-04,9.06830421e-04
43,8.01296555e-04,7.73289008e-04
44,6.95052731e-04,6.73279574e-04
45,6.08010800e-04,5.95848716e-04
46,5.31658123e-04,5.30911610e-04
47,4.67274367e-04,4.70633066e-04
48,4.15466900e-04,4.21573117e-04
49,3.72809242e-04,3.81127524e-04
50,3.36962927e-04,3.46614892e-04
51,3.05566675e-04,3.16424703e-04
52,2.79484433e-04,2.88915617e-04
53,2.57666048e-04,2.66038842e-04
54,2.38841560e-04,2.46333715e-04
55,2.22402959e-04,2.28898498e-04
56,2.07348261e-04,2.13238309e-04
57,1.94519613e-04,1.98636073e-04
58,1.83331416e-04,1.86221587e-04
59,1.73209264e-04,1.75259949e-04
60,1.63919292e-04,1.65260324e-04
61,1.54961293e-04,1.55974849e-04
62,1.46978011e-04,1.47041545e-04
63,1.39809534e-04,1.39188880e-04
64,1.33230598e-04,1.32124973e-04
65,1.27143780e-04,1.25616891e-04
66,1.21276877e-04,1.19545890e-04
67,1.16020427e-04,1.13701739e-04
68,1.11280133e-04,1.08511769e-04
69,1.06894600e-04,1.03815393e-04
70,1.02795711e-04,9.94585134e-05
71,9.87892054e-05,9.53624040e-05
72,9.50937829e-05,9.13725089e-05
73,9.16567806e-05,8.77270213e-05
74,8.83882749e-05,8.43391244e-05
75,8.52455123e-05,8.11149730e-05
76,8.21321592e-05,7.80076225e-05
77,7.91862039e-05,7.49444225e-05
78,7.63721328e-05,7.20786556e-05
79,7.36442671e-05,6.93503462e-05
80,7.09837404e-05,6.67126587e-05
81,6.83318722e-05,6.41426814e-05
82,6.57834535e-05,6.15981699e-05
83,6.33178133e-05,5.91776879e-05
84,6.09077142e-05,5.68446740e-05
85,5.85619528e-05,5.45747826e-05
86,5.62505375e-05,5.23752424e-05
87,5.40250585e-05,5.02245748e-05
88,5.18762790e-05,4.81713796e-05
89,4.97972942e-05,4.61998607e-05
90,4.77876274e-05,4.42989040e-05
91,4.58262148e-05,4.24639256e-05
92,4.39525938e-05,4.06812069e-05
93,4.21569566e-05,3.89871966e-05
94,4.04344173e-05,3.73684743e-05
95,3.87821274e-05,3.58162943e-05
