[Name]
Heat Transfer

[Data]
"Accumulated Timestep","RMS H-Energy"
1,2.11777133e-05
2,2.72912032e-04
3,1.21643872e-03
4,1.43792795e-03
5,7.41805998e-04
6,5.97599486e-04
7,4.34565824e-04
8,6.05568290e-04
9,7.54405686e-04
10,6.69127505e-04
11,5.36362699e-04
12,5.03766409e-04
13,5.76192921e-04
14,7.43648619e-04
15,6.52832096e-04
16,4.48785198e-04
17,3.41006147e-04
18,2.81108689e-04
19,3.27461370e-04
20,3.28154973e-04
21,3.05064430e-04
22,2.96569342e-04
23,2.99452076e-04
24,2.67048192e-04
25,1.91833213e-04
26,1.87450569e-04
27,2.17293331e-04
28,2.50250712e-04
29,2.80119624e-04
30,2.57957610e-04
31,1.80006042e-04
32,1.17233547e-04
33,9.28235386e-05
34,8.53407983e-05
35,8.24148447e-05
36,8.66166447e-05
37,9.58974633e-05
38,1.16030642e-04
39,1.15793729e-04
40,1.28288331e-04
41,2.82911991e-04
42,1.77900001e-04
43,6.58691424e-05
44,9.22045656e-05
45,2.46584328e-04
46,2.02182302e-04
47,8.80985317e-05
48,6.07643015e-05
49,6.09391682e-05
50,5.98171900e-05
51,6.03352855e-05
52,6.04355300e-05
53,5.78475774e-05
54,5.82128814e-05
55,5.75769991e-05
56,5.79347834e-05
57,5.75536360e-05
58,6.09916715e-05
59,6.32196316e-05
60,6.72266397e-05
61,6.68907887e-05
62,7.09172091e-05
63,8.05645250e-05
64,8.28642587e-05
65,8.63944661e-05
66,9.65325598e-05
67,1.11091453e-04
68,1.31506982e-04
69,1.55972666e-04
70,1.87522077e-04
71,2.21339724e-04
72,2.68637872e-04
73,3.30206763e-04
74,4.25804377e-04
75,5.83326211e-04
76,7.61107542e-04
77,9.97123774e-04
78,1.19493529e-03
79,1.48390955e-03
80,1.56268745e-03
81,1.41403289e-03
82,1.21755945e-03
83,1.28355052e-03
84,1.29340705e-03
85,1.33453868e-03
86,1.35881384e-03
87,1.46699254e-03
88,1.55909767e-03
89,1.67938613e-03
90,1.58634945e-03
91,1.81150634e-03
92,5.81734255e-03
93,9.03410255e-04
94,8.14520638e-04
95,8.65974638e-04
96,8.09201738e-04
97,7.98102177e-04
98,7.89374579e-04
99,7.85220473e-04
100,7.85463955e-04
101,7.92675128e-04
102,8.03419796e-04
103,8.09929741e-04
104,8.14636936e-04
105,8.21179303e-04
106,8.28180637e-04
107,8.37423315e-04
108,8.47239222e-04
109,8.58721498e-04
110,8.68297124e-04
111,8.72685807e-04
112,8.78976891e-04
113,8.86868162e-04
114,8.95016768e-04
115,9.05104331e-04
116,9.19297803e-04
117,9.31844290e-04
118,9.41793085e-04
119,9.54178220e-04
120,9.66908527e-04
121,9.75919247e-04
122,9.82372439e-04
123,9.93027468e-04
124,1.00884936e-03
125,1.02334295e-03
126,1.03448494e-03
127,1.04706734e-03
128,1.06498029e-03
129,1.08052185e-03
130,1.09882478e-03
131,1.11166132e-03
132,1.12376909e-03
133,1.14059309e-03
134,1.15779915e-03
135,1.17186888e-03
136,1.18445104e-03
137,1.20344025e-03
138,1.21755234e-03
139,1.23329228e-03
140,1.24628854e-03
141,1.25381409e-03
142,1.26248412e-03
143,1.27959100e-03
144,1.29170669e-03
145,1.30808214e-03
146,1.32730370e-03
147,1.33994571e-03
148,1.35734584e-03
149,1.37933320e-03
150,1.38810545e-03
151,1.39409420e-03
152,1.39980565e-03
153,1.39864080e-03
154,1.39588118e-03
155,1.40226434e-03
156,1.41043891e-03
157,1.41327386e-03
158,1.41564966e-03
159,1.41817576e-03
160,1.41704571e-03
161,1.41445315e-03
162,1.41899718e-03
163,1.42718945e-03
164,1.43062975e-03
165,1.43296015e-03
166,1.43252860e-03
167,1.43600407e-03
168,1.43884122e-03
169,1.44116895e-03
170,1.44228840e-03
171,1.44471438e-03
172,1.44616247e-03
173,1.44210900e-03
174,1.43965194e-03
175,1.44118385e-03
176,1.44495955e-03
177,1.44256791e-03
178,1.44129666e-03
179,1.44323276e-03
180,1.44456082e-03
181,1.44657516e-03
182,1.44929730e-03
183,1.45339908e-03
184,1.45437056e-03
185,1.45577639e-03
186,1.45802624e-03
187,1.45929155e-03
188,1.45876268e-03
189,1.45877677e-03
190,1.45856815e-03
191,1.45857641e-03
192,1.45664043e-03
193,1.45456090e-03
194,1.45140220e-03
195,1.44904805e-03
196,1.44779310e-03
197,1.44649355e-03
198,1.44522544e-03
199,1.44476909e-03
200,1.44433079e-03
201,1.44346454e-03
202,1.44229282e-03
203,1.44101749e-03
204,1.43910630e-03
205,1.43591920e-03
206,1.43249810e-03
207,1.42880261e-03
208,1.42454950e-03
209,1.41915539e-03
210,1.41356897e-03
211,1.40807906e-03
212,1.40215864e-03
213,1.39609247e-03
214,1.38965854e-03
215,1.37660070e-03
216,1.36109267e-03
217,1.34754740e-03
218,1.33670459e-03
219,1.32847740e-03
220,1.32237014e-03
221,1.31822971e-03
222,1.31503050e-03
223,1.30424125e-03
224,1.29426853e-03
225,1.28606556e-03
226,1.27936888e-03
227,1.27419643e-03
228,1.27003295e-03
229,1.26740756e-03
230,1.26547634e-03
231,1.26371311e-03
232,1.26303115e-03
233,1.25649024e-03
234,1.24932441e-03
235,1.24370086e-03
236,1.23893563e-03
237,1.23579579e-03
238,1.23355363e-03
239,1.23167876e-03
240,1.23055337e-03
241,1.23007805e-03
242,1.22675614e-03
243,1.22265692e-03
244,1.21971685e-03
245,1.21782871e-03
246,1.21548132e-03
247,1.21163565e-03
248,1.20841351e-03
249,1.20540475e-03
250,1.19802495e-03
251,7.98539666e-04
252,6.22912368e-04
253,5.99184015e-04
