[Name]
Plot Monitor 1

[Data]
"Accumulated Timestep","U-Mom Boundary Flow on INLET"
1,5.28152938e+05
2,5.40107375e+05
3,5.40002250e+05
4,5.37285438e+05
5,5.38204500e+05
6,5.40587188e+05
7,5.43617688e+05
8,5.47042688e+05
9,5.50841250e+05
10,5.54907188e+05
11,5.59161500e+05
12,5.63568750e+05
13,5.68044062e+05
14,5.72510188e+05
15,5.76893750e+05
16,5.81135875e+05
17,5.85219312e+05
18,5.89095812e+05
19,5.92752250e+05
20,5.96187562e+05
21,5.99407062e+05
22,6.02440062e+05
23,6.05277250e+05
24,6.07928688e+05
25,6.10405250e+05
26,6.12718062e+05
27,6.14740562e+05
28,6.16627688e+05
29,6.18393688e+05
30,6.20049938e+05
31,6.21604938e+05
32,6.22982188e+05
33,6.24278625e+05
34,6.25501125e+05
35,6.26655500e+05
36,6.27746188e+05
37,6.28736688e+05
38,6.29674688e+05
39,6.30563500e+05
40,6.31406125e+05
41,6.32205062e+05
42,6.32941688e+05
43,6.33641438e+05
44,6.34306250e+05
45,6.34937875e+05
46,6.35538000e+05
47,6.36097438e+05
48,6.36629750e+05
49,6.37136125e+05
50,6.37617812e+05
51,6.38075875e+05
52,6.38506438e+05
53,6.38916250e+05
54,6.39306188e+05
55,6.39677125e+05
56,6.40029875e+05
57,6.40363750e+05
58,6.40681312e+05
59,6.40983062e+05
60,6.41269750e+05
61,6.41541875e+05
62,6.41800375e+05
63,6.42045500e+05
64,6.42277938e+05
65,6.42498312e+05
66,6.42707250e+05
67,6.42906375e+05
68,6.43095000e+05
69,6.43273688e+05
70,6.43443000e+05
71,6.43603438e+05
72,6.43756812e+05
73,6.43902062e+05
74,6.44039688e+05
75,6.44170125e+05
76,6.44293875e+05
77,6.44412625e+05
78,6.44525250e+05
79,6.44632188e+05
80,6.44733875e+05
81,6.44830562e+05
82,6.44923375e+05
83,6.45012438e+05
84,6.45097438e+05
85,6.45178562e+05
86,6.45256375e+05
87,6.45331938e+05
88,6.45404500e+05
89,6.45474188e+05
90,6.45540625e+05
91,6.45603438e+05
92,6.45662500e+05
93,6.45662375e+05
94,6.45662188e+05
95,6.45662062e+05
96,6.45661938e+05
97,6.45661750e+05
98,6.45661625e+05
99,6.45661438e+05
100,6.45661312e+05
101,6.45661188e+05
102,6.45661000e+05
103,6.45660875e+05
104,6.45660750e+05
105,6.45660562e+05
106,6.45660438e+05
107,6.45660250e+05
108,6.45660125e+05
109,6.45660000e+05
110,6.45659812e+05
111,6.45659688e+05
112,6.45659562e+05
113,6.45659375e+05
114,6.45659250e+05
115,6.45659125e+05
116,6.45658938e+05
117,6.45658812e+05
118,6.45658688e+05
119,6.45658500e+05
120,6.45658375e+05
121,6.45658250e+05
122,6.45658062e+05
123,6.45657938e+05
124,6.45657812e+05
125,6.45657688e+05
126,6.45657500e+05
127,6.45657375e+05
128,6.45657250e+05
129,6.45657062e+05
130,6.45656938e+05
131,6.45656812e+05
132,6.45656688e+05
133,6.45656500e+05
134,6.45656375e+05
135,6.45656250e+05
136,6.45656062e+05
137,6.45655938e+05
138,6.45655812e+05
139,6.45655688e+05
140,6.45655500e+05
141,6.45655375e+05
142,6.45655250e+05
143,6.45655125e+05
144,6.45655000e+05
145,6.45654812e+05
146,6.45654688e+05
147,6.45654562e+05
148,6.45654438e+05
149,6.45654312e+05
150,6.45654125e+05
151,6.45654000e+05
152,6.45653875e+05
153,6.45653750e+05
154,6.45653625e+05
155,6.45653500e+05
156,6.45653312e+05
157,6.45653188e+05
158,6.45653062e+05
159,6.45652938e+05
160,6.45652812e+05
161,6.45652625e+05
162,6.45652500e+05
163,6.45652375e+05
164,6.45652250e+05
165,6.45652125e+05
166,6.45652000e+05
167,6.45651875e+05
168,6.45651750e+05
169,6.45651562e+05
170,6.45651438e+05
171,6.45651312e+05
172,6.45651188e+05
173,6.45651062e+05
174,6.45650938e+05
175,6.45650812e+05
176,6.45650688e+05
177,6.45650500e+05
