[Name]
Momentum and Mass

[Data]
"Accumulated Timestep","RMS P-Mass","RMS U-Mom","RMS V-Mom","RMS W-Mom"
1,2.63814814e-04,1.32086273e+02,5.62810631e+01,1.48484238e-08
2,2.07535413e-05,7.64683783e-02,1.08489664e-02,2.91716547e-11
3,2.11942079e-05,3.95007655e-02,4.08147369e-03,1.54219155e-11
4,3.43829779e-05,2.44677551e-02,2.06029112e-03,9.54995371e-12
5,3.92094771e-05,1.60665531e-02,1.07761915e-03,6.26730829e-12
6,4.56127382e-05,1.08325407e-02,6.21051178e-04,4.24049554e-12
7,5.21755792e-05,7.89463986e-03,5.63909067e-04,3.09676351e-12
8,5.74647165e-05,6.18991489e-03,5.48659766e-04,2.43095518e-12
9,6.27453264e-05,4.78504179e-03,5.19298657e-04,1.88376766e-12
10,6.81806996e-05,3.63376830e-03,3.82272585e-04,1.43282565e-12
11,7.34250862e-05,2.87579908e-03,3.06942646e-04,1.13395328e-12
12,7.87820536e-05,2.35526939e-03,2.37882647e-04,9.27180750e-13
13,8.35512838e-05,1.96764083e-03,2.15870721e-04,7.74520096e-13
14,8.75199403e-05,1.69434259e-03,2.03650663e-04,6.66829873e-13
15,9.04447952e-05,1.51928724e-03,1.87461046e-04,5.96952392e-13
16,9.09941809e-05,1.38545816e-03,1.72892644e-04,5.43512663e-13
17,9.05663765e-05,1.25972752e-03,1.61570715e-04,4.94494203e-13
18,8.91241798e-05,1.15011225e-03,1.51037049e-04,4.51231527e-13
19,8.70487129e-05,1.05415424e-03,1.39890661e-04,4.12982474e-13
20,8.45699760e-05,9.70784284e-04,1.28512387e-04,3.79778321e-13
21,8.18764966e-05,8.77032406e-04,1.15112009e-04,3.42685651e-13
22,7.92329956e-05,7.87104713e-04,1.01389829e-04,3.07098422e-13
23,7.64498109e-05,6.97713927e-04,8.92086027e-05,2.72002744e-13
24,7.36310321e-05,6.13124750e-04,7.88526158e-05,2.39187034e-13
25,7.08095322e-05,5.38914057e-04,7.02324905e-05,2.10285565e-13
26,6.79108562e-05,4.72967688e-04,6.32156589e-05,1.84390602e-13
27,6.40149374e-05,4.17848787e-04,5.71901364e-05,1.62691095e-13
28,6.07806724e-05,3.68989626e-04,5.15242064e-05,1.43507046e-13
29,5.78449726e-05,3.25765111e-04,4.69926126e-05,1.26650765e-13
30,5.51555568e-05,2.88211973e-04,4.31300068e-05,1.12141511e-13
31,5.26047297e-05,2.56913161e-04,4.00135577e-05,1.00062638e-13
32,4.96356442e-05,2.32592763e-04,3.73064868e-05,9.06215072e-14
33,4.71604726e-05,2.11093880e-04,3.51237941e-05,8.22932149e-14
34,4.49532636e-05,1.92976106e-04,3.30123439e-05,7.52648134e-14
35,4.29494357e-05,1.77690235e-04,3.13346754e-05,6.93297009e-14
36,4.10736284e-05,1.63722507e-04,2.98487885e-05,6.38910582e-14
37,3.90494897e-05,1.52315755e-04,2.85437982e-05,5.94297831e-14
38,3.73026996e-05,1.41276541e-04,2.74179238e-05,5.51260325e-14
39,3.57096797e-05,1.31197346e-04,2.66971329e-05,5.11892164e-14
40,3.42705571e-05,1.21944089e-04,2.53150320e-05,4.75754418e-14
41,3.29812174e-05,1.13368871e-04,3.21357147e-05,4.42308814e-14
42,3.14442368e-05,1.05243118e-04,4.77655412e-05,4.10432322e-14
43,3.01076252e-05,9.74701397e-05,2.31770919e-05,3.79926532e-14
44,2.90071148e-05,9.08024886e-05,2.19421781e-05,3.53788925e-14
45,2.88987394e-05,8.48275813e-05,3.09019888e-05,3.30409562e-14
46,2.96291237e-05,8.11682839e-05,1.49496977e-04,3.16310122e-14
47,2.62614813e-05,7.42762641e-05,5.83009314e-05,2.89059751e-14
48,2.46966247e-05,6.90426168e-05,2.10886337e-05,2.68304581e-14
49,2.37201548e-05,6.51064256e-05,2.52869704e-05,2.52846484e-14
50,2.28469507e-05,6.17482874e-05,1.85983299e-05,2.39479186e-14
51,2.20187903e-05,5.89485899e-05,1.81275736e-05,2.28190151e-14
52,2.11938295e-05,5.69624099e-05,1.80550032e-05,2.19870305e-14
53,2.04230928e-05,5.46982337e-05,1.77686743e-05,2.10305812e-14
54,1.96913425e-05,5.37687447e-05,1.76066715e-05,2.05352686e-14
55,1.89914354e-05,5.22462833e-05,1.74059405e-05,1.98119583e-14
56,1.83159955e-05,5.21220354e-05,1.71773027e-05,1.95648636e-14
57,1.76520462e-05,5.27157135e-05,1.70102121e-05,1.95673488e-14
