[Name]
Reynolds Stress

[Data]
"Accumulated Timestep","RMS E-Diss.K","RMS uu-RS","RMS uv-RS","RMS uw-RS","RMS vv-RS","RMS vw-RS","RMS ww-RS"
1,2.62308214e-03,4.11992893e-03,5.06725113e-11,3.21722529e-20,4.20397939e-03,2.00831714e-20,4.20398079e-03
2,1.90295637e+00,9.93583351e-03,2.66393981e-05,5.89648014e-13,1.09349657e-02,1.05577371e-14,1.10315317e-02
3,4.22118884e-03,1.40794623e-03,1.26283994e-04,6.01714858e-14,1.53864233e-03,5.00501672e-14,1.48895185e-03
4,1.53545454e-01,9.18044429e-03,7.85138458e-04,1.07819637e-13,8.81071575e-03,3.11270947e-13,9.04516689e-03
5,5.78568736e-03,1.47695269e-03,5.41098962e-05,1.30107047e-14,1.46052055e-03,2.14034096e-14,1.47036545e-03
6,6.93689585e-02,8.05852842e-03,3.26607609e-04,4.91758564e-14,7.91349821e-03,1.29519347e-13,8.00566189e-03
7,7.16381054e-03,1.53555837e-03,2.30801106e-05,8.35170928e-15,1.52284815e-03,9.13058149e-15,1.52955274e-03
8,3.90367396e-02,7.12208357e-03,1.42823570e-04,1.35092988e-14,7.09094061e-03,5.66354215e-14,7.12092733e-03
9,7.69485766e-03,1.61178014e-03,1.32750383e-05,5.97042227e-15,1.60837534e-03,5.24752200e-15,1.60969002e-03
10,2.23436709e-02,6.10083947e-03,6.48575951e-05,7.30395494e-15,6.10278547e-03,2.57053883e-14,6.10952545e-03
11,7.57289724e-03,1.94168219e-03,1.13302694e-05,4.46055512e-15,1.94019417e-03,4.47317591e-15,1.94022944e-03
12,1.27500705e-02,5.16130263e-03,3.62274441e-05,7.46107108e-15,5.16674807e-03,1.43456295e-14,5.16763609e-03
13,7.14926980e-03,2.25059129e-03,9.53100061e-06,3.67400202e-15,2.24931492e-03,3.76406957e-15,2.24918360e-03
14,7.40232691e-03,3.10457009e-03,1.60649051e-05,4.38705257e-15,3.10649117e-03,6.35654224e-15,3.10655055e-03
15,5.88354049e-03,1.81164173e-03,5.82971870e-06,2.24975530e-15,1.81067770e-03,2.30410792e-15,1.81061530e-03
16,4.73576551e-03,2.00425042e-03,7.85802331e-06,2.63363486e-15,2.00448604e-03,3.10870536e-15,2.00451259e-03
17,4.17983392e-03,1.46356446e-03,3.82110602e-06,2.67735722e-15,1.46290706e-03,1.51345602e-15,1.46286690e-03
18,3.36997746e-03,1.44558866e-03,4.41455131e-06,4.07814219e-15,1.44535198e-03,1.74992835e-15,1.44536514e-03
19,3.16076749e-03,1.20637799e-03,3.06504762e-06,5.06152500e-15,1.20589824e-03,1.22090895e-15,1.20588834e-03
20,2.60443636e-03,1.13482960e-03,3.57100794e-06,5.70124070e-15,1.13446510e-03,1.42479592e-15,1.13448175e-03
21,2.50569289e-03,1.01497106e-03,4.03551212e-06,5.89926261e-15,1.01450644e-03,1.61486609e-15,1.01450621e-03
22,2.11369176e-03,9.36901546e-04,5.21256061e-06,6.16810536e-15,9.36364406e-04,2.08854502e-15,9.36360389e-04
23,2.01900024e-03,8.62744462e-04,6.68362600e-06,7.45001815e-15,8.61975132e-04,2.68267913e-15,8.61959299e-04
24,1.73572975e-03,7.95109023e-04,8.62203706e-06,9.46199245e-15,7.93936662e-04,3.46621213e-15,7.93937186e-04
25,1.64455920e-03,7.41889526e-04,1.11733043e-05,1.21120223e-14,7.39961339e-04,4.49843994e-15,7.39990210e-04
26,1.35920930e-03,6.66880398e-04,1.47270830e-05,1.56371566e-14,6.63405168e-04,5.94500281e-15,6.63492829e-04
27,1.34539756e-03,6.39172737e-04,2.02368956e-05,2.01751322e-14,6.33200631e-04,8.15975807e-15,6.33411109e-04
28,1.15266314e-03,5.86186768e-04,2.83295158e-05,2.58557841e-14,5.75562823e-04,1.14059119e-14,5.75887563e-04
29,1.12421578e-03,5.66822942e-04,4.11441870e-05,3.25715712e-14,5.49679040e-04,1.65405375e-14,5.49734628e-04
30,9.92286368e-04,5.39918488e-04,5.93098448e-05,4.18011234e-14,5.11000224e-04,2.38448431e-14,5.09730773e-04
31,9.07630485e-04,5.34788298e-04,8.47820193e-05,5.39897242e-14,4.87898564e-04,3.41292783e-14,4.82189120e-04
32,8.51785182e-04,5.61188033e-04,1.15952258e-04,7.05587593e-14,4.87243844e-04,4.66855524e-14,4.71658597e-04
33,7.86310877e-04,6.01985725e-04,1.47038954e-04,8.68701338e-14,5.03816002e-04,5.91991801e-14,4.67399659e-04
