[Name]
Heat Transfer

[Data]
"Accumulated Timestep","RMS H-Energy"
1,4.40799369e-04
2,8.83752131e-04
3,1.80177868e-03
4,2.74791638e-03
5,4.67360206e-03
6,3.62088578e-03
7,3.48718418e-03
8,2.07481813e-03
9,1.53744046e-03
10,1.52159878e-03
11,2.86053726e-03
12,1.79167744e-03
13,2.40814569e-03
14,2.35608011e-03
15,2.48888414e-03
16,1.40017562e-03
17,1.33697526e-03
18,1.34782947e-03
19,1.23197120e-03
20,1.46147900e-03
21,1.26994832e-03
22,1.01452309e-03
23,8.51968653e-04
24,1.54538115e-03
25,1.30365451e-03
26,9.52306320e-04
27,6.63114944e-04
28,5.78770938e-04
29,5.67550713e-04
30,6.58292556e-04
31,7.57535163e-04
32,7.42830336e-04
33,7.44365912e-04
34,8.36994906e-04
35,8.39930726e-04
36,7.15340138e-04
37,7.34584930e-04
38,7.92466395e-04
39,9.02375439e-04
40,9.81321442e-04
41,1.09697320e-03
42,1.20387436e-03
43,1.04438048e-03
44,9.03318520e-04
45,8.71094060e-04
46,9.55044583e-04
47,9.53171344e-04
48,1.07113528e-03
49,1.11026119e-03
50,1.31302548e-03
51,1.18261494e-03
52,1.01823197e-03
53,8.47669959e-04
54,6.95273920e-04
55,4.81679046e-04
56,2.50824552e-04
57,2.30006292e-04
58,2.71858327e-04
59,2.70027725e-04
60,2.56727333e-04
61,2.45544827e-04
62,2.28498204e-04
63,2.41454036e-04
64,2.60168541e-04
65,2.01282062e-04
66,1.56829323e-04
67,1.34586400e-04
68,1.15153976e-04
69,9.19077938e-05
70,7.07201980e-05
71,8.12465732e-05
72,1.12929003e-04
73,7.77988898e-05
74,5.88146613e-05
75,5.48450516e-05
76,4.76586902e-05
77,4.32048364e-05
78,3.80868842e-05
79,3.29828035e-05
80,3.06128532e-05
81,3.16661135e-05
82,3.13089658e-05
83,3.13350502e-05
84,3.08864364e-05
85,2.96971139e-05
86,2.86176964e-05
87,2.73133028e-05
88,2.56909516e-05
89,2.41652233e-05
90,2.28514073e-05
91,2.18891037e-05
92,2.07232624e-05
93,1.98180878e-05
94,1.91788386e-05
95,1.87513633e-05
96,1.86841025e-05
97,1.84963083e-05
98,1.78224418e-05
99,1.77554612e-05
100,1.78777391e-05
101,1.84622804e-05
102,1.76405192e-05
103,1.66024547e-05
104,1.59347346e-05
105,1.58021776e-05
106,1.55281086e-05
107,1.49078433e-05
108,1.66204027e-05
109,1.79198141e-05
110,1.87946425e-05
111,1.81309260e-05
112,1.75258792e-05
113,1.71239280e-05
114,1.55949947e-05
115,1.45512986e-05
116,1.35526407e-05
117,1.22010761e-05
118,1.10171522e-05
119,9.83633709e-06
120,9.39102392e-06
121,9.06628611e-06
122,8.25015377e-06
123,6.82118980e-06
124,5.97135113e-06
125,5.81175664e-06
126,5.46299361e-06
127,4.98442841e-06
128,5.04518175e-06
129,4.79002665e-06
130,4.32754041e-06
131,4.00096860e-06
132,3.60992954e-06
133,3.32217769e-06
134,3.28627493e-06
135,3.31958017e-06
136,3.34193601e-06
137,3.21774905e-06
138,3.14092199e-06
139,3.09978350e-06
140,3.14397585e-06
141,3.07496180e-06
142,3.01953469e-06
143,3.21500056e-06
144,3.49318407e-06
145,3.58810144e-06
146,3.78279606e-06
147,3.56539340e-06
148,3.23844392e-06
149,3.05130311e-06
150,2.91381207e-06
151,2.85671240e-06
152,2.65192079e-06
153,2.53066833e-06
154,2.45081901e-06
155,2.43396062e-06
156,2.41518342e-06
157,2.44489320e-06
158,2.51066081e-06
159,2.57526267e-06
160,2.43684394e-06
161,2.45199908e-06
162,2.47532080e-06
163,2.35697735e-06
164,2.36806159e-06
165,2.33669789e-06
166,2.19434560e-06
167,2.08609868e-06
168,2.07737025e-06
169,2.09529730e-06
170,2.25949998e-06
171,2.35367725e-06
172,2.33246965e-06
173,2.13394833e-06
174,2.26059183e-06
175,1.97498980e-06
176,1.94981271e-06
177,1.88091713e-06
178,1.82682209e-06
179,1.85139811e-06
180,1.81395933e-06
181,1.80914674e-06
182,1.81727933e-06
183,1.79991798e-06
184,1.80976622e-06
185,1.88450986e-06
186,1.86449665e-06
187,1.87809917e-06
188,1.87356113e-06
189,1.86028478e-06
190,1.77131119e-06
191,1.77090408e-06
192,1.79043843e-06
193,1.77169227e-06
194,1.78661003e-06
195,1.89458149e-06
196,1.95904613e-06
197,2.03676109e-06
198,1.91336289e-06
199,1.87769740e-06
200,1.71377189e-06
201,1.65897086e-06
202,1.61141384e-06
203,1.59419744e-06
204,1.56402439e-06
205,1.54478585e-06
206,1.57280726e-06
207,1.56374551e-06
208,1.52203347e-06
209,1.51894676e-06
210,1.51899428e-06
211,1.50615210e-06
212,1.50241681e-06
213,1.47298147e-06
214,1.45679485e-06
215,1.47043363e-06
216,1.45439481e-06
217,1.46270270e-06
218,1.47091771e-06
219,1.49064977e-06
220,1.55915188e-06
221,1.65846018e-06
222,1.60145021e-06
223,1.61317348e-06
224,1.55512600e-06
225,1.48172353e-06
226,1.46524462e-06
227,1.43585794e-06
228,1.40512441e-06
229,1.38420785e-06
230,1.38022870e-06
231,1.38316614e-06
232,1.37981806e-06
233,1.40829684e-06
234,1.42217482e-06
235,1.41054272e-06
236,1.40750956e-06
237,1.37426457e-06
238,1.36608719e-06
239,1.35513642e-06
240,1.33528363e-06
241,1.34173558e-06
242,1.36028257e-06
243,1.36251526e-06
244,1.39293377e-06
245,1.44971409e-06
246,1.46510115e-06
247,1.42912063e-06
248,1.52838209e-06
249,1.45537615e-06
250,1.34950233e-06
251,1.33465755e-06
252,1.30751130e-06
253,1.31868774e-06
254,1.30662488e-06
255,1.30697197e-06
256,1.31798947e-06
257,1.33396691e-06
258,1.34124957e-06
259,1.34964978e-06
260,1.33838535e-06
261,1.33611707e-06
262,1.32972502e-06
263,1.32092475e-06
264,1.29002649e-06
265,1.29740977e-06
266,1.30132355e-06
267,1.31654701e-06
268,1.33945537e-06
269,1.36349206e-06
270,1.39020699e-06
271,1.36998187e-06
272,1.42130580e-06
273,1.40125269e-06
274,1.30454009e-06
275,1.24549820e-06
276,1.23492680e-06
277,1.24418693e-06
278,1.24023484e-06
279,1.24998132e-06
280,1.24941516e-06
