[Name]
Plot Monitor 1

[Data]
"Accumulated Timestep","U-Mom Boundary Flow on INLET"
1,5.28153000e+05
2,5.40107250e+05
3,5.40003625e+05
4,5.37286625e+05
5,5.38206250e+05
6,5.40589375e+05
7,5.43618312e+05
8,5.47040625e+05
9,5.50783500e+05
10,5.54794625e+05
11,5.59079375e+05
12,5.63519500e+05
13,5.68006750e+05
14,5.72470625e+05
15,5.76846625e+05
16,5.81082500e+05
17,5.85157125e+05
18,5.89028500e+05
19,5.92682375e+05
20,5.96117000e+05
21,5.99335938e+05
22,6.02361500e+05
23,6.05189750e+05
24,6.07829875e+05
25,6.10292062e+05
26,6.12587250e+05
27,6.14726000e+05
28,6.16719625e+05
29,6.18579938e+05
30,6.20318000e+05
31,6.21944375e+05
32,6.23449438e+05
33,6.24862438e+05
34,6.26191312e+05
35,6.27442625e+05
36,6.28621500e+05
37,6.29724000e+05
38,6.30762000e+05
39,6.31737812e+05
40,6.32653688e+05
41,6.33512062e+05
42,6.34313250e+05
43,6.35063062e+05
44,6.35765250e+05
45,6.36423875e+05
46,6.37042688e+05
47,6.37624375e+05
48,6.38173062e+05
49,6.38691250e+05
50,6.39180562e+05
51,6.39642000e+05
52,6.40061000e+05
53,6.40455062e+05
54,6.40824375e+05
55,6.41169000e+05
56,6.41490125e+05
57,6.41778000e+05
58,6.42046500e+05
59,6.42298000e+05
60,6.42533500e+05
61,6.42754875e+05
62,6.42958250e+05
63,6.43149750e+05
64,6.43330750e+05
65,6.43501125e+05
66,6.43660375e+05
67,6.43807500e+05
68,6.43945375e+05
69,6.44075562e+05
70,6.44199250e+05
71,6.44316062e+05
72,6.44426875e+05
73,6.44533562e+05
74,6.44635625e+05
75,6.44733250e+05
76,6.44825500e+05
77,6.44912875e+05
78,6.44996750e+05
79,6.45077625e+05
80,6.45155625e+05
81,6.45231125e+05
82,6.45303375e+05
83,6.45373750e+05
84,6.45441625e+05
85,6.45507250e+05
86,6.45570375e+05
87,6.45630875e+05
88,6.45688875e+05
89,6.45744438e+05
90,6.45797250e+05
91,6.45847500e+05
92,6.45895000e+05
93,6.45939500e+05
94,6.45981562e+05
95,6.46020875e+05
96,6.46058125e+05
97,6.46093125e+05
98,6.46126438e+05
99,6.46157812e+05
100,6.46187562e+05
101,6.46215562e+05
102,6.46242125e+05
103,6.46266875e+05
104,6.46290125e+05
105,6.46311812e+05
106,6.46331938e+05
107,6.46350625e+05
108,6.46368125e+05
109,6.46384375e+05
110,6.46399875e+05
111,6.46414750e+05
112,6.46429125e+05
113,6.46443125e+05
114,6.46456312e+05
115,6.46468875e+05
116,6.46480438e+05
117,6.46491438e+05
118,6.46502000e+05
119,6.46512062e+05
120,6.46521688e+05
121,6.46531125e+05
122,6.46540125e+05
123,6.46548750e+05
124,6.46556875e+05
125,6.46564812e+05
126,6.46572250e+05
127,6.46579625e+05
128,6.46586750e+05
129,6.46593750e+05
130,6.46600375e+05
131,6.46607000e+05
132,6.46613125e+05
133,6.46619000e+05
134,6.46624625e+05
135,6.46630188e+05
136,6.46635375e+05
137,6.46640625e+05
138,6.46645625e+05
139,6.46650562e+05
140,6.46655250e+05
141,6.46659500e+05
142,6.46663875e+05
143,6.46667625e+05
144,6.46671250e+05
145,6.46674750e+05
146,6.46677875e+05
147,6.46680875e+05
148,6.46683750e+05
149,6.46686688e+05
150,6.46689250e+05
151,6.46691812e+05
152,6.46694125e+05
153,6.46696375e+05
154,6.46698250e+05
155,6.46700188e+05
156,6.46701750e+05
157,6.46703125e+05
158,6.46704625e+05
159,6.46705750e+05
160,6.46707000e+05
161,6.46708125e+05
162,6.46709250e+05
163,6.46710375e+05
164,6.46711375e+05
165,6.46712312e+05
166,6.46713375e+05
167,6.46714125e+05
168,6.46714875e+05
169,6.46715500e+05
170,6.46716000e+05
171,6.46716625e+05
172,6.46717125e+05
173,6.46717750e+05
174,6.46718250e+05
175,6.46718812e+05
176,6.46719250e+05
177,6.46719875e+05
178,6.46720438e+05
179,6.46720938e+05
180,6.46721375e+05
181,6.46721812e+05
182,6.46722250e+05
183,6.46722562e+05
184,6.46722875e+05
185,6.46723250e+05
186,6.46723625e+05
187,6.46723875e+05
188,6.46724375e+05
189,6.46724625e+05
190,6.46725000e+05
191,6.46725312e+05
192,6.46725625e+05
193,6.46725938e+05
194,6.46726125e+05
195,6.46726438e+05
196,6.46726625e+05
197,6.46726875e+05
198,6.46727000e+05
199,6.46727250e+05
200,6.46727625e+05
201,6.46727750e+05
202,6.46728000e+05
203,6.46728125e+05
204,6.46728312e+05
205,6.46728500e+05
206,6.46728625e+05
207,6.46728688e+05
208,6.46728812e+05
209,6.46728875e+05
210,6.46728875e+05
211,6.46729000e+05
212,6.46729062e+05
213,6.46729125e+05
214,6.46729188e+05
215,6.46729250e+05
216,6.46729375e+05
217,6.46729375e+05
218,6.46729500e+05
219,6.46729500e+05
220,6.46729500e+05
221,6.46729438e+05
222,6.46729438e+05
223,6.46729500e+05
224,6.46729500e+05
225,6.46729500e+05
226,6.46729562e+05
227,6.46729562e+05
228,6.46729625e+05
229,6.46729625e+05
230,6.46729688e+05
231,6.46729625e+05
232,6.46729688e+05
233,6.46729625e+05
234,6.46729688e+05
235,6.46729625e+05
236,6.46729688e+05
237,6.46729750e+05
238,6.46729750e+05
239,6.46729750e+05
240,6.46729750e+05
241,6.46729875e+05
242,6.46729875e+05
243,6.46729875e+05
244,6.46729875e+05
245,6.46729875e+05
246,6.46730000e+05
247,6.46729938e+05
248,6.46729938e+05
249,6.46730000e+05
250,6.46730000e+05
251,6.46730000e+05
252,6.46730000e+05
253,6.46730000e+05
254,6.46730000e+05
255,6.46730000e+05
256,6.46730000e+05
257,6.46730000e+05
258,6.46730000e+05
259,6.46730000e+05
260,6.46730000e+05
261,6.46730062e+05
262,6.46730062e+05
263,6.46730125e+05
264,6.46730125e+05
265,6.46730125e+05
266,6.46730125e+05
267,6.46730125e+05
268,6.46730125e+05
269,6.46730125e+05
270,6.46730125e+05
271,6.46730125e+05
272,6.46730125e+05
273,6.46730125e+05
274,6.46730125e+05
275,6.46730125e+05
276,6.46730125e+05
277,6.46730125e+05
278,6.46730125e+05
279,6.46730125e+05
280,6.46730125e+05
281,6.46730125e+05
282,6.46730125e+05
283,6.46730125e+05
284,6.46730125e+05
285,6.46730188e+05
286,6.46730125e+05
287,6.46730125e+05
288,6.46730125e+05
289,6.46730125e+05
290,6.46730188e+05
291,6.46730125e+05
292,6.46730188e+05
293,6.46730188e+05
294,6.46730125e+05
295,6.46730188e+05
296,6.46730188e+05
297,6.46730188e+05
298,6.46730125e+05
299,6.46730125e+05
300,6.46730125e+05
301,6.46730188e+05
302,6.46730188e+05
303,6.46730188e+05
304,6.46730188e+05
305,6.46730125e+05
306,6.46730125e+05
307,6.46730125e+05
308,6.46730125e+05
309,6.46730125e+05
310,6.46730125e+05
311,6.46730125e+05
312,6.46730125e+05
313,6.46730125e+05
314,6.46730125e+05
315,6.46730125e+05
316,6.46730125e+05
317,6.46730125e+05
318,6.46730125e+05
319,6.46730125e+05
320,6.46730125e+05
321,6.46730125e+05
322,6.46730125e+05
323,6.46730125e+05
324,6.46730125e+05
325,6.46730125e+05
326,6.46730125e+05
327,6.46730125e+05
328,6.46730125e+05
329,6.46730125e+05
330,6.46730125e+05
331,6.46730125e+05
332,6.46730125e+05
333,6.46730125e+05
334,6.46730125e+05
335,6.46730125e+05
336,6.46730125e+05
337,6.46730125e+05
338,6.46730125e+05
339,6.46730125e+05
340,6.46730125e+05
341,6.46730125e+05
342,6.46730125e+05
343,6.46730125e+05
344,6.46730125e+05
345,6.46730125e+05
346,6.46730125e+05
347,6.46730125e+05
348,6.46730125e+05
349,6.46730125e+05
350,6.46730125e+05
351,6.46730125e+05
352,6.46730125e+05
353,6.46730125e+05
354,6.46730125e+05
355,6.46730125e+05
356,6.46730125e+05
357,6.46730125e+05
358,6.46730125e+05
359,6.46730062e+05
360,6.46730125e+05
361,6.46730125e+05
362,6.46730125e+05
363,6.46730062e+05
364,6.46730125e+05
365,6.46730125e+05
366,6.46730125e+05
367,6.46730125e+05
368,6.46730125e+05
369,6.46730125e+05
370,6.46730125e+05
371,6.46730125e+05
372,6.46730125e+05
373,6.46730125e+05
374,6.46730125e+05
375,6.46730125e+05
376,6.46730125e+05
377,6.46730125e+05
378,6.46730125e+05
379,6.46730062e+05
380,6.46730062e+05
381,6.46730125e+05
382,6.46730125e+05
383,6.46730125e+05
384,6.46730125e+05
385,6.46730125e+05
386,6.46730125e+05
387,6.46730125e+05
388,6.46730125e+05
389,6.46730125e+05
390,6.46730125e+05
391,6.46730125e+05
392,6.46730125e+05
393,6.46730125e+05
394,6.46730125e+05
395,6.46730125e+05
396,6.46730125e+05
397,6.46730125e+05
398,6.46730125e+05
399,6.46730125e+05
400,6.46730125e+05
401,6.46730125e+05
402,6.46730125e+05
403,6.46730125e+05
404,6.46730062e+05
405,6.46730125e+05
406,6.46730125e+05
407,6.46730062e+05
408,6.46730062e+05
409,6.46730125e+05
410,6.46730062e+05
411,6.46730125e+05
412,6.46730062e+05
413,6.46730062e+05
414,6.46730125e+05
415,6.46730125e+05
416,6.46730125e+05
417,6.46730125e+05
418,6.46730062e+05
419,6.46730125e+05
420,6.46730125e+05
421,6.46730125e+05
422,6.46730125e+05
423,6.46730062e+05
424,6.46730062e+05
425,6.46730125e+05
426,6.46730125e+05
427,6.46730125e+05
428,6.46730125e+05
429,6.46730125e+05
430,6.46730062e+05
431,6.46730062e+05
432,6.46730125e+05
433,6.46730000e+05
434,6.46730125e+05
435,6.46730125e+05
436,6.46730000e+05
437,6.46730125e+05
438,6.46730125e+05
439,6.46730125e+05
440,6.46730125e+05
441,6.46730125e+05
442,6.46730062e+05
443,6.46730125e+05
444,6.46730000e+05
445,6.46730062e+05
446,6.46730125e+05
447,6.46730125e+05
448,6.46730125e+05
449,6.46730125e+05
450,6.46730125e+05
451,6.46730125e+05
452,6.46730000e+05
453,6.46730125e+05
454,6.46730062e+05
455,6.46730062e+05
456,6.46730125e+05
457,6.46730062e+05
458,6.46730062e+05
459,6.46730062e+05
460,6.46730062e+05
461,6.46730125e+05
462,6.46730125e+05
463,6.46730000e+05
464,6.46730062e+05
465,6.46730062e+05
466,6.46730062e+05
467,6.46730125e+05
468,6.46730125e+05
469,6.46730125e+05
470,6.46730125e+05
471,6.46730125e+05
472,6.46730125e+05
473,6.46730125e+05
474,6.46730125e+05
475,6.46730125e+05
476,6.46730125e+05
477,6.46730125e+05
478,6.46730125e+05
479,6.46730125e+05
480,6.46730062e+05
481,6.46730125e+05
482,6.46730125e+05
483,6.46730125e+05
484,6.46730125e+05
485,6.46730125e+05
486,6.46730125e+05
487,6.46730062e+05
488,6.46730125e+05
489,6.46730125e+05
490,6.46730125e+05
491,6.46730000e+05
492,6.46730125e+05
493,6.46730125e+05
494,6.46730125e+05
495,6.46730125e+05
496,6.46730125e+05
497,6.46730125e+05
498,6.46730125e+05
499,6.46730125e+05
500,6.46730062e+05
501,6.46730125e+05
502,6.46730000e+05
503,6.46730062e+05
504,6.46730125e+05
505,6.46730125e+05
506,6.46730125e+05
507,6.46730125e+05
508,6.46730125e+05
509,6.46730125e+05
510,6.46730125e+05
511,6.46730062e+05
512,6.46730125e+05
513,6.46730125e+05
514,6.46730125e+05
515,6.46730125e+05
516,6.46730125e+05
517,6.46730062e+05
518,6.46730062e+05
519,6.46730125e+05
520,6.46730125e+05
521,6.46730125e+05
522,6.46730125e+05
523,6.46730125e+05
524,6.46730125e+05
525,6.46730125e+05
526,6.46730125e+05
527,6.46730125e+05
528,6.46730125e+05
529,6.46730062e+05
530,6.46730062e+05
531,6.46730125e+05
532,6.46730062e+05
533,6.46730125e+05
534,6.46730125e+05
535,6.46730125e+05
536,6.46730125e+05
537,6.46730125e+05
538,6.46730125e+05
539,6.46730125e+05
540,6.46730125e+05
541,6.46730125e+05
542,6.46730125e+05
543,6.46730125e+05
544,6.46730125e+05
545,6.46730125e+05
546,6.46730125e+05
547,6.46730125e+05
548,6.46730125e+05
549,6.46730125e+05
550,6.46730000e+05
551,6.46730062e+05
552,6.46730000e+05
553,6.46730125e+05
554,6.46730125e+05
555,6.46730125e+05
556,6.46730125e+05
557,6.46730125e+05
558,6.46730125e+05
559,6.46730125e+05
560,6.46730062e+05
561,6.46730000e+05
562,6.46730062e+05
563,6.46730125e+05
564,6.46730125e+05
565,6.46730125e+05
566,6.46730000e+05
567,6.46730125e+05
568,6.46730125e+05
569,6.46730125e+05
570,6.46730125e+05
571,6.46730125e+05
572,6.46730062e+05
573,6.46730125e+05
574,6.46730125e+05
575,6.46730062e+05
576,6.46730125e+05
577,6.46730125e+05
578,6.46730125e+05
579,6.46730125e+05
580,6.46730125e+05
581,6.46730125e+05
582,6.46730062e+05
583,6.46730125e+05
584,6.46730125e+05
585,6.46730062e+05
586,6.46730000e+05
587,6.46730000e+05
588,6.46730125e+05
589,6.46730062e+05
590,6.46730125e+05
591,6.46730125e+05
592,6.46730125e+05
593,6.46730125e+05
594,6.46730125e+05
595,6.46730000e+05
596,6.46730125e+05
597,6.46730062e+05
598,6.46730125e+05
599,6.46730125e+05
600,6.46730062e+05
601,6.46730125e+05
602,6.46730125e+05
603,6.46730062e+05
604,6.46730125e+05
605,6.46730125e+05
606,6.46730125e+05
607,6.46730000e+05
608,6.46730125e+05
609,6.46730125e+05
610,6.46730125e+05
611,6.46730125e+05
612,6.46730125e+05
613,6.46730125e+05
614,6.46730125e+05
615,6.46730125e+05
616,6.46730125e+05
617,6.46730125e+05
618,6.46730125e+05
619,6.46730125e+05
620,6.46730062e+05
621,6.46730125e+05
622,6.46730062e+05
623,6.46730125e+05
624,6.46730125e+05
625,6.46730125e+05
626,6.46730125e+05
627,6.46730125e+05
628,6.46730125e+05
629,6.46730125e+05
630,6.46730125e+05
631,6.46730125e+05
632,6.46730062e+05
633,6.46730125e+05
634,6.46730125e+05
635,6.46730062e+05
636,6.46730062e+05
637,6.46730062e+05
638,6.46730125e+05
639,6.46730125e+05
640,6.46730062e+05
641,6.46730125e+05
642,6.46730125e+05
643,6.46730062e+05
644,6.46730125e+05
645,6.46730062e+05
646,6.46730125e+05
647,6.46730125e+05
648,6.46730062e+05
649,6.46730125e+05
650,6.46730125e+05
651,6.46730062e+05
652,6.46730062e+05
653,6.46730125e+05
654,6.46730062e+05
655,6.46730125e+05
