[Name]
Momentum and Mass

[Data]
"Accumulated Timestep","RMS P-Mass","RMS U-Mom","RMS V-Mom","RMS W-Mom"
1,2.63814552e-04,1.32099594e+02,5.62837181e+01,0.00000000e+00
2,2.01433540e-05,7.97244236e-02,1.10540604e-02,0.00000000e+00
3,2.04975404e-05,4.04951796e-02,4.16516513e-03,0.00000000e+00
4,3.39973849e-05,2.51496267e-02,2.07406282e-03,0.00000000e+00
5,3.91358226e-05,1.60395782e-02,1.06586632e-03,0.00000000e+00
6,4.55985282e-05,1.02247857e-02,5.72005403e-04,0.00000000e+00
7,5.21459988e-05,7.22202612e-03,5.08821046e-04,0.00000000e+00
8,5.74346050e-05,5.73572190e-03,5.13885752e-04,0.00000000e+00
9,6.21941945e-05,4.42584744e-03,4.75556764e-04,0.00000000e+00
10,6.71981106e-05,3.19505599e-03,3.61122336e-04,0.00000000e+00
11,7.30592728e-05,2.55782995e-03,2.93322752e-04,0.00000000e+00
12,7.90335980e-05,2.42063706e-03,2.42914204e-04,0.00000000e+00
13,8.37899061e-05,2.03120126e-03,1.89702449e-04,0.00000000e+00
14,8.76019112e-05,2.37819483e-03,2.17736146e-04,0.00000000e+00
15,9.04162298e-05,2.62040761e-03,2.54590646e-04,0.00000000e+00
16,9.09452647e-05,2.60703685e-03,2.88291048e-04,0.00000000e+00
17,9.05420748e-05,2.42207875e-03,2.65576557e-04,0.00000000e+00
18,8.92095268e-05,2.43297638e-03,3.38497426e-04,0.00000000e+00
19,8.77072525e-05,3.13487113e-03,5.73531142e-04,0.00000000e+00
20,8.60561559e-05,3.36863426e-03,7.73565436e-04,0.00000000e+00
21,8.42901281e-05,3.29563441e-03,8.74758523e-04,0.00000000e+00
22,8.24045201e-05,3.43171344e-03,1.03359274e-03,0.00000000e+00
23,7.55782457e-05,3.31776030e-03,9.80640296e-04,0.00000000e+00
24,7.43175988e-05,3.07620643e-03,9.17719619e-04,0.00000000e+00
25,5.70160919e-05,2.52475357e-03,7.89302692e-04,0.00000000e+00
26,8.44284586e-05,2.66390294e-03,9.82453581e-04,0.00000000e+00
27,7.53034692e-05,1.91502762e-03,8.26152449e-04,0.00000000e+00
28,6.79239311e-05,1.41717901e-03,6.07713708e-04,0.00000000e+00
29,6.45053733e-05,1.33445952e-03,4.04394203e-04,0.00000000e+00
30,6.12301010e-05,1.38606166e-03,2.60901026e-04,0.00000000e+00
31,5.77422579e-05,1.34210102e-03,1.97593457e-04,0.00000000e+00
32,5.47671771e-05,1.15607656e-03,2.09106642e-04,0.00000000e+00
33,5.23439812e-05,9.62850638e-04,1.71635795e-04,0.00000000e+00
34,5.13831110e-05,7.75165448e-04,1.67066348e-04,0.00000000e+00
35,5.33375678e-05,7.65732490e-04,1.93496366e-04,0.00000000e+00
36,5.72047320e-05,7.63069023e-04,2.05552002e-04,0.00000000e+00
37,5.66613126e-05,7.81394658e-04,2.19147987e-04,0.00000000e+00
38,5.36582374e-05,7.56361231e-04,2.20527450e-04,0.00000000e+00
39,5.08107732e-05,6.77229196e-04,2.00190698e-04,0.00000000e+00
40,4.78353541e-05,5.97463397e-04,1.63932171e-04,0.00000000e+00
41,4.49902109e-05,5.32211154e-04,1.27936684e-04,0.00000000e+00
42,4.24828577e-05,4.84002521e-04,1.03460872e-04,0.00000000e+00
43,4.30802102e-05,4.45412530e-04,9.03361215e-05,0.00000000e+00
44,4.88348342e-05,4.02724283e-04,8.16157262e-05,0.00000000e+00
45,9.06415298e-05,3.65850196e-04,7.39198076e-05,0.00000000e+00
46,1.23954247e-04,3.44679866e-04,7.54065040e-05,0.00000000e+00
47,1.20409502e-04,3.43779655e-04,8.25950920e-05,0.00000000e+00
48,1.19275886e-04,3.81858437e-04,9.29207235e-05,0.00000000e+00
49,4.31949971e-04,4.04879334e-04,8.86925045e-05,0.00000000e+00
50,6.05778419e-04,3.70345806e-04,8.54347527e-05,0.00000000e+00
51,8.95670732e-04,3.13818775e-04,8.18022963e-05,0.00000000e+00
52,7.95282016e-04,2.62295187e-04,7.99151239e-05,0.00000000e+00
53,5.43237489e-04,2.29714802e-04,8.23009177e-05,0.00000000e+00
54,3.40881408e-04,2.13810359e-04,8.81052110e-05,0.00000000e+00
55,1.63432313e-04,2.03208285e-04,8.80260995e-05,0.00000000e+00
56,6.70159570e-05,1.93590808e-04,7.90634076e-05,0.00000000e+00
57,6.00037674e-05,1.84778663e-04,6.55724361e-05,0.00000000e+00
58,7.81715426e-05,1.75984605e-04,5.28255041e-05,0.00000000e+00
59,1.23877107e-04,1.62696975e-04,4.48343635e-05,0.00000000e+00
60,1.74928515e-04,1.49780855e-04,4.26136648e-05,0.00000000e+00
61,1.76393572e-04,1.36928778e-04,4.49251675e-05,0.00000000e+00
62,9.57481170e-05,1.27128544e-04,4.91343199e-05,0.00000000e+00
63,4.62280877e-05,1.18173113e-04,5.41265472e-05,0.00000000e+00
64,4.62501848e-05,1.17127027e-04,5.17264452e-05,0.00000000e+00
65,4.97400797e-05,1.04487503e-04,4.78185175e-05,0.00000000e+00
66,5.03072479e-05,9.64651335e-05,4.48192768e-05,0.00000000e+00
67,4.81477837e-05,9.38601952e-05,4.06938998e-05,0.00000000e+00
68,4.43877871e-05,9.30909155e-05,3.56174460e-05,0.00000000e+00
69,4.09761087e-05,8.35143146e-05,3.15960096e-05,0.00000000e+00
70,3.74708106e-05,7.42325865e-05,3.58654943e-05,0.00000000e+00
71,3.59115620e-05,6.81667007e-05,3.31073243e-05,0.00000000e+00
72,3.52567658e-05,7.74499713e-05,2.98397026e-05,0.00000000e+00
73,3.47846653e-05,7.31515611e-05,2.31792656e-05,0.00000000e+00
74,3.44877117e-05,7.27686493e-05,2.20809125e-05,0.00000000e+00
75,3.40610641e-05,7.76859015e-05,2.03928121e-05,0.00000000e+00
76,3.26479530e-05,6.46719709e-05,2.46892978e-05,0.00000000e+00
77,3.12649499e-05,6.16750622e-05,2.30998212e-05,0.00000000e+00
78,3.12325137e-05,6.33312884e-05,2.17120469e-05,0.00000000e+00
79,3.02993030e-05,6.06664798e-05,2.08380825e-05,0.00000000e+00
80,3.04621972e-05,5.38901695e-05,2.02849678e-05,0.00000000e+00
81,2.81268185e-05,4.64350596e-05,1.96061665e-05,0.00000000e+00
82,2.74456761e-05,5.44252835e-05,1.86593570e-05,0.00000000e+00
83,2.55777431e-05,5.58357060e-05,1.77727197e-05,0.00000000e+00
84,2.40585887e-05,5.22069859e-05,1.71473002e-05,0.00000000e+00
85,2.31436952e-05,4.77636859e-05,1.61330099e-05,0.00000000e+00
86,2.35955904e-05,4.89559352e-05,1.56805763e-05,0.00000000e+00
87,2.42934602e-05,5.01686663e-05,1.50813194e-05,0.00000000e+00
88,2.45426236e-05,4.84037992e-05,1.49757207e-05,0.00000000e+00
89,2.29544912e-05,4.53209141e-05,1.40691300e-05,0.00000000e+00
90,2.16656081e-05,4.56815615e-05,1.37287070e-05,0.00000000e+00
91,2.22942745e-05,4.21413752e-05,1.36305698e-05,0.00000000e+00
92,2.16464159e-05,3.59225196e-05,1.25688439e-05,0.00000000e+00
93,1.88652702e-05,3.65017258e-05,1.25799061e-05,0.00000000e+00
94,1.88523445e-05,3.40459083e-05,1.18236576e-05,0.00000000e+00
95,1.75850455e-05,3.40862061e-05,1.12746748e-05,0.00000000e+00
96,1.71729444e-05,3.66789136e-05,1.11864238e-05,0.00000000e+00
97,1.65143574e-05,3.49573747e-05,1.08825061e-05,0.00000000e+00
98,1.63985133e-05,3.45268854e-05,1.02702970e-05,0.00000000e+00
99,1.52722369e-05,3.52514908e-05,1.06543212e-05,0.00000000e+00
100,1.63845089e-05,3.79758967e-05,1.06699981e-05,0.00000000e+00
101,1.54757272e-05,3.59441874e-05,1.06404796e-05,0.00000000e+00
102,1.61314601e-05,3.93351329e-05,1.07521691e-05,0.00000000e+00
103,1.68777351e-05,3.95010575e-05,1.13092783e-05,0.00000000e+00
104,1.67293110e-05,4.33615969e-05,1.16105093e-05,0.00000000e+00
105,1.67967137e-05,4.18946911e-05,1.18995140e-05,0.00000000e+00
106,1.73435110e-05,4.32095148e-05,1.30516282e-05,0.00000000e+00
107,1.82847398e-05,4.54439505e-05,1.22698448e-05,0.00000000e+00
108,1.82522272e-05,4.70984523e-05,1.32899359e-05,0.00000000e+00
109,1.98866019e-05,5.73060715e-05,1.34876664e-05,0.00000000e+00
110,2.19865888e-05,7.87469326e-05,1.46870634e-05,0.00000000e+00
111,2.62363938e-05,8.44879833e-05,1.69024079e-05,0.00000000e+00
112,2.60378129e-05,9.80724362e-05,1.94943950e-05,0.00000000e+00
113,2.70696637e-05,9.94602306e-05,1.90552892e-05,0.00000000e+00
114,2.93598550e-05,9.97018142e-05,2.29296038e-05,0.00000000e+00
115,2.80429504e-05,8.60244036e-05,2.30400565e-05,0.00000000e+00
116,2.24395008e-05,5.46551200e-05,1.80113821e-05,0.00000000e+00
117,2.14995343e-05,5.21659822e-05,1.51722079e-05,0.00000000e+00
118,1.97972513e-05,4.96110806e-05,1.35993860e-05,0.00000000e+00
119,1.91376275e-05,4.56619491e-05,1.14588574e-05,0.00000000e+00
120,1.75712194e-05,4.32321431e-05,1.07876622e-05,0.00000000e+00
121,1.75270616e-05,4.15254908e-05,1.00808056e-05,0.00000000e+00
122,1.60810905e-05,3.82289363e-05,9.44889507e-06,0.00000000e+00
123,1.58638904e-05,3.44818436e-05,8.67331983e-06,0.00000000e+00
124,1.49291945e-05,3.22789419e-05,7.82656480e-06,0.00000000e+00
125,1.45841386e-05,3.09526949e-05,7.51671678e-06,0.00000000e+00
126,1.40604870e-05,3.09385396e-05,6.87222382e-06,0.00000000e+00
127,1.33217200e-05,2.97789829e-05,6.75600495e-06,0.00000000e+00
128,1.27903368e-05,2.73015266e-05,7.32191074e-06,0.00000000e+00
129,1.24082544e-05,2.72196285e-05,6.18030163e-06,0.00000000e+00
130,1.24410399e-05,2.64227911e-05,5.98871929e-06,0.00000000e+00
131,1.16556203e-05,2.60603665e-05,5.90877471e-06,0.00000000e+00
132,1.13178876e-05,2.43592440e-05,6.35164633e-06,0.00000000e+00
133,1.09334906e-05,2.31149861e-05,6.17611431e-06,0.00000000e+00
134,1.05764311e-05,2.21818427e-05,5.78236723e-06,0.00000000e+00
135,1.03258999e-05,2.15012169e-05,5.52848633e-06,0.00000000e+00
136,9.81912672e-06,2.04888438e-05,5.35664867e-06,0.00000000e+00
137,9.72030193e-06,2.00398135e-05,5.19621017e-06,0.00000000e+00
138,9.39526490e-06,1.86906764e-05,4.99638099e-06,0.00000000e+00
139,8.90214960e-06,1.83596749e-05,4.74864464e-06,0.00000000e+00
140,8.78467472e-06,1.82606473e-05,4.68629150e-06,0.00000000e+00
141,8.36436902e-06,1.74952620e-05,4.43614954e-06,0.00000000e+00
142,7.92263927e-06,1.63464974e-05,4.35668699e-06,0.00000000e+00
143,7.75473836e-06,1.65430938e-05,4.13494308e-06,0.00000000e+00
144,7.41380882e-06,1.62577289e-05,4.13007638e-06,0.00000000e+00
145,7.07567460e-06,1.54355930e-05,3.99036708e-06,0.00000000e+00
