[Name]
TurbKE and TurbFreq Quantities

[Data]
"Accumulated Timestep","RMS K-TurbKE","RMS O-TurbFreq"
1,3.91021650e-03,4.32487167e-02
2,2.12839127e-01,1.30188704e-01
3,7.13309273e-03,6.43984526e-02
4,5.51796239e-03,3.14424522e-02
5,4.89419326e-03,1.51151484e-02
6,4.14746162e-03,7.15654809e-03
7,3.58427572e-03,3.35965329e-03
8,3.23506747e-03,1.59626629e-03
9,3.01291537e-03,8.84342298e-04
10,2.85532279e-03,6.63258077e-04
11,2.68289703e-03,7.32203771e-04
12,2.45905621e-03,5.02089679e-04
13,2.27876520e-03,5.67064038e-04
14,2.19894736e-03,5.84189664e-04
15,3.07544693e-03,6.03358028e-04
16,6.11379044e-03,6.09778799e-04
17,6.55881641e-03,6.31624425e-04
18,5.64925419e-03,6.58491743e-04
19,4.59944503e-03,7.07481347e-04
20,3.83658591e-03,7.55614834e-04
21,2.92435358e-03,8.20553745e-04
22,2.34229886e-03,8.97837861e-04
23,1.88912812e-03,9.79002682e-04
24,1.60714332e-03,1.07204600e-03
25,1.35328167e-03,1.15445151e-03
26,1.05243875e-03,1.23269937e-03
27,9.26036562e-04,1.34907337e-03
28,9.21839732e-04,1.31646986e-03
29,9.32924566e-04,1.21468864e-03
30,1.06139586e-03,1.12053426e-03
31,1.23357866e-03,1.04300224e-03
32,1.37459964e-03,9.54154471e-04
33,1.42341817e-03,8.57696286e-04
34,1.11840677e-03,7.44216435e-04
35,1.16570084e-03,7.27282895e-04
36,1.19543122e-03,6.53798576e-04
37,1.07320724e-03,5.97966427e-04
38,1.03434653e-03,5.56852785e-04
39,1.11451512e-03,5.21005422e-04
40,1.21882895e-03,4.66921832e-04
41,1.28440442e-03,4.16347524e-04
42,1.27479911e-03,3.73683055e-04
43,1.24674710e-03,3.61909915e-04
44,1.18151144e-03,3.57623561e-04
45,1.09597901e-03,3.85046209e-04
46,1.04086020e-03,4.26133163e-04
47,1.00753433e-03,4.65036079e-04
48,9.62972757e-04,4.74813423e-04
49,9.09817696e-04,4.83250624e-04
50,8.53234902e-04,5.12310420e-04
51,7.94372172e-04,5.46215451e-04
52,7.27511186e-04,5.60491288e-04
53,6.85647770e-04,5.67244773e-04
54,5.82220906e-04,5.66176255e-04
55,4.61987016e-04,5.64026355e-04
56,4.42286284e-04,5.67940820e-04
57,4.79387585e-04,5.72378107e-04
58,5.06414217e-04,5.79189393e-04
59,5.02548239e-04,5.82630164e-04
60,5.22928312e-04,5.76671970e-04
61,5.19938301e-04,5.61293622e-04
62,5.30878315e-04,5.40172681e-04
63,6.20902749e-04,5.19252615e-04
64,5.03682357e-04,8.61273031e-04
65,4.33656882e-04,7.97225162e-04
66,4.08418768e-04,7.36699963e-04
67,3.59381345e-04,6.91195310e-04
68,3.07044160e-04,6.35203323e-04
69,2.02669005e-04,5.65635099e-04
70,1.80931951e-04,2.70033692e-04
71,2.43458213e-04,2.71008059e-04
72,1.95144676e-04,4.47185332e-04
73,1.62257478e-04,3.77924385e-04
74,1.45264596e-04,3.28960828e-04
75,9.45323045e-05,2.84706970e-04
76,8.59614956e-05,1.38609845e-04
77,7.90518752e-05,1.43555080e-04
78,7.37776645e-05,1.35623748e-04
79,7.04706545e-05,1.28717118e-04
80,6.90601228e-05,1.19360062e-04
81,6.71756861e-05,1.08988810e-04
82,6.48290297e-05,9.90932895e-05
83,6.20861392e-05,9.00671876e-05
84,5.95536112e-05,8.19813504e-05
85,5.69868207e-05,7.54358189e-05
86,5.45875046e-05,6.98661315e-05
87,5.21919319e-05,6.52339659e-05
88,4.93922234e-05,6.15059107e-05
89,4.63019896e-05,5.73935067e-05
90,4.36888768e-05,5.29685822e-05
91,4.16295952e-05,4.96227985e-05
92,3.97294862e-05,4.72717547e-05
93,3.80138626e-05,4.51499654e-05
94,3.64753396e-05,4.41944212e-05
