[Name]
Heat Transfer

[Data]
"Accumulated Timestep","RMS H-Energy"
1,6.91263704e-05
2,2.54375249e-04
3,8.17137363e-04
4,2.17013550e-03
5,2.38556811e-03
6,2.62302579e-03
7,2.76467623e-03
8,3.20856622e-03
9,3.21197789e-03
10,2.38806987e-03
11,1.66053534e-03
12,1.40697730e-03
13,1.28775230e-03
14,1.00841210e-03
15,7.41722353e-04
16,7.28635699e-04
17,9.83983977e-04
18,1.21213158e-03
19,1.34165387e-03
20,1.13059068e-03
21,8.82464345e-04
22,8.55465478e-04
23,7.59057119e-04
24,6.98928547e-04
25,6.53214287e-04
26,7.00975419e-04
27,6.35496981e-04
28,6.91378780e-04
29,5.46687690e-04
30,4.67067264e-04
31,4.67660633e-04
32,4.26796585e-04
33,3.71992704e-04
34,4.16702678e-04
35,4.37422859e-04
36,4.97027591e-04
37,4.96849243e-04
38,4.54893336e-04
39,4.51611937e-04
40,4.50246938e-04
41,5.02365292e-04
42,5.99008170e-04
43,6.83168706e-04
44,6.96234812e-04
45,6.38411031e-04
46,5.60787274e-04
47,4.78665112e-04
48,3.54870746e-04
49,3.22728389e-04
50,4.06995969e-04
51,4.02633159e-04
52,3.25028348e-04
53,2.66378833e-04
54,2.37063141e-04
55,2.11890132e-04
56,1.90790379e-04
57,1.73565248e-04
58,1.57411472e-04
59,1.44545644e-04
60,1.33330715e-04
61,1.22844722e-04
62,1.13642192e-04
63,1.07597501e-04
64,1.02938633e-04
65,1.01569458e-04
66,1.00172118e-04
67,1.01926693e-04
68,1.02425052e-04
69,1.02525570e-04
70,1.00978847e-04
71,1.00333797e-04
72,9.94415605e-05
73,9.84822036e-05
74,9.83038481e-05
75,9.77539821e-05
76,9.80573459e-05
77,9.88132379e-05
78,9.95499213e-05
79,1.00011770e-04
80,1.00994352e-04
81,1.01697413e-04
82,1.02543127e-04
83,1.03097569e-04
84,1.03587037e-04
85,1.04315237e-04
86,1.04614657e-04
87,1.05044986e-04
88,1.05783482e-04
89,1.06114967e-04
90,1.05974861e-04
91,1.05685023e-04
92,1.05214807e-04
93,1.03797342e-04
94,1.02008009e-04
95,1.00928242e-04
96,9.96786839e-05
97,9.75314833e-05
98,9.61156184e-05
99,9.50493122e-05
100,9.35865537e-05
101,9.14011980e-05
102,9.04635672e-05
103,8.99680526e-05
104,8.97649516e-05
105,8.85176414e-05
106,8.70635995e-05
107,8.60396904e-05
108,8.53777747e-05
109,8.43704838e-05
110,8.35693791e-05
111,8.26407850e-05
112,8.20924761e-05
113,8.14831801e-05
114,8.05959135e-05
115,8.05329692e-05
116,8.06618846e-05
117,8.11031132e-05
118,8.09994890e-05
119,8.12654616e-05
120,8.14500308e-05
121,8.14803207e-05
122,8.25839743e-05
123,8.35936371e-05
124,8.39960703e-05
125,8.47982737e-05
126,8.57696650e-05
127,8.69932337e-05
128,8.78775973e-05
129,8.86678754e-05
130,8.96180936e-05
131,9.05686029e-05
132,9.07424619e-05
133,9.14663033e-05
134,9.28891823e-05
135,9.34066047e-05
136,9.43208361e-05
137,9.52893461e-05
138,9.56201693e-05
139,9.63113198e-05
140,9.68405438e-05
141,9.74599971e-05
142,9.83771897e-05
143,9.90470726e-05
144,9.99304029e-05
145,1.00807192e-04
146,1.01563986e-04
147,1.02405487e-04
148,1.03328981e-04
149,1.03456900e-04
150,1.04399609e-04
151,1.04842329e-04
152,1.05043408e-04
153,1.05222847e-04
154,1.05118583e-04
155,1.05737548e-04
156,1.05926410e-04
157,1.05951440e-04
158,1.05943029e-04
159,1.05757048e-04
160,1.05834653e-04
161,1.05413550e-04
162,1.05457359e-04
163,1.05167819e-04
164,1.05224099e-04
165,1.04737694e-04
166,1.04616083e-04
167,1.03985592e-04
168,1.03627091e-04
169,1.03405211e-04
170,1.02939608e-04
171,1.02515813e-04
172,1.01755460e-04
173,1.01281272e-04
174,1.00591453e-04
175,1.00119658e-04
176,9.96014278e-05
177,9.93141730e-05
178,9.87523090e-05
179,9.81818885e-05
180,9.77456366e-05
181,9.76008741e-05
182,9.71862246e-05
183,9.69284738e-05
184,9.67352753e-05
185,9.63830462e-05
186,9.60883845e-05
187,9.58260425e-05
188,9.56082222e-05
189,9.51406473e-05
190,9.47690933e-05
191,9.45224674e-05
192,9.39773381e-05
193,9.36759971e-05
194,9.34233904e-05
195,9.31112008e-05
196,9.28873633e-05
197,9.24103952e-05
198,9.21481333e-05
199,9.16749923e-05
200,9.12689138e-05
201,9.07577414e-05
202,9.02961910e-05
203,8.95774501e-05
204,8.86630005e-05
205,8.78471037e-05
206,8.69083160e-05
207,8.59377978e-05
208,8.48212294e-05
209,8.39033019e-05
210,8.27968179e-05
211,8.29348573e-05
212,8.37561165e-05
213,8.35061364e-05
214,8.31996585e-05
215,8.20760179e-05
216,8.21086142e-05
217,8.16029933e-05
218,7.94093939e-05
219,7.69957696e-05
220,7.56584268e-05
221,7.36011280e-05
222,7.09078813e-05
223,6.77660937e-05
224,6.40859434e-05
225,6.01473912e-05
226,5.59225264e-05
227,5.12923943e-05
228,4.61925301e-05
229,4.11162437e-05
230,3.62513856e-05
231,3.14465615e-05
232,2.68849981e-05
233,2.27696510e-05
234,2.03870040e-05
235,1.77797392e-05
236,1.40973634e-05
237,8.73392128e-06
238,8.81159212e-06
239,1.20708019e-05
240,1.14139839e-05
241,9.16035606e-06
