[Name]
Plot Monitor 1

[Data]
"Accumulated Timestep","U-Mom Boundary Flow on INLET"
1,5.28152875e+05
2,5.31380062e+05
3,5.32437188e+05
4,5.33476125e+05
5,5.33913562e+05
6,5.33962500e+05
7,5.34092312e+05
8,5.34371312e+05
9,5.34776875e+05
10,5.35275562e+05
11,5.35841875e+05
12,5.36456312e+05
13,5.37106000e+05
14,5.37784125e+05
15,5.38488000e+05
16,5.39217312e+05
17,5.39974562e+05
18,5.40764938e+05
19,5.41595250e+05
20,5.42474000e+05
21,5.43408250e+05
22,5.44405125e+05
23,5.45469250e+05
24,5.46601000e+05
25,5.47798000e+05
26,5.49054688e+05
27,5.50363938e+05
28,5.51712250e+05
29,5.53095812e+05
30,5.54500438e+05
31,5.55918938e+05
32,5.57344688e+05
33,5.58772500e+05
34,5.60197625e+05
35,5.61622125e+05
36,5.63043125e+05
37,5.64460062e+05
38,5.65874312e+05
39,5.67280438e+05
40,5.68679938e+05
41,5.70071875e+05
42,5.71457250e+05
43,5.72835250e+05
44,5.74205938e+05
45,5.75568750e+05
46,5.76923188e+05
47,5.78267312e+05
48,5.79600875e+05
49,5.80922188e+05
50,5.82229062e+05
51,5.83520750e+05
52,5.84795812e+05
53,5.86052500e+05
54,5.87290562e+05
55,5.88508562e+05
56,5.89705688e+05
57,5.90881062e+05
58,5.92034812e+05
59,5.93165625e+05
60,5.94273312e+05
61,5.95358312e+05
62,5.96419938e+05
63,5.97458125e+05
64,5.98472875e+05
65,5.99464125e+05
66,6.00432688e+05
67,6.01377812e+05
68,6.02300438e+05
69,6.03200438e+05
70,6.04078438e+05
71,6.04934188e+05
72,6.05768062e+05
73,6.06581375e+05
74,6.07373438e+05
75,6.08145000e+05
76,6.08896500e+05
77,6.09628562e+05
78,6.10341312e+05
79,6.11035562e+05
80,6.11711938e+05
81,6.12370562e+05
82,6.13012562e+05
83,6.13638125e+05
84,6.14248250e+05
85,6.14843312e+05
86,6.15424000e+05
87,6.15991062e+05
88,6.16545312e+05
89,6.17087000e+05
90,6.17616750e+05
91,6.18135375e+05
92,6.18643375e+05
93,6.19140875e+05
94,6.19628812e+05
95,6.20107688e+05
96,6.20577750e+05
97,6.21039188e+05
98,6.21492438e+05
99,6.21937875e+05
100,6.22375812e+05
101,6.22806688e+05
102,6.23230250e+05
103,6.23647000e+05
104,6.24057000e+05
105,6.24460438e+05
106,6.24858000e+05
107,6.25248938e+05
108,6.25633688e+05
109,6.26012500e+05
110,6.26385562e+05
111,6.26752812e+05
112,6.27114125e+05
113,6.27470125e+05
114,6.27820750e+05
115,6.28165125e+05
116,6.28505062e+05
117,6.28839312e+05
118,6.29168250e+05
119,6.29492000e+05
120,6.29810625e+05
121,6.30124312e+05
122,6.30432812e+05
123,6.30736500e+05
124,6.31035062e+05
125,6.31328812e+05
126,6.31617875e+05
127,6.31901688e+05
128,6.32180938e+05
129,6.32455625e+05
130,6.32725312e+05
131,6.32990250e+05
132,6.33250438e+05
133,6.33506562e+05
134,6.33757625e+05
135,6.34004000e+05
136,6.34246000e+05
137,6.34483625e+05
138,6.34716375e+05
139,6.34945188e+05
140,6.35169500e+05
141,6.35389375e+05
142,6.35605188e+05
143,6.35816750e+05
144,6.36024000e+05
145,6.36227250e+05
146,6.36426438e+05
147,6.36621625e+05
148,6.36812938e+05
149,6.37000562e+05
150,6.37184125e+05
151,6.37363875e+05
152,6.37540688e+05
153,6.37713438e+05
154,6.37882562e+05
155,6.38048500e+05
156,6.38211000e+05
157,6.38370000e+05
158,6.38525812e+05
159,6.38678375e+05
160,6.38827812e+05
161,6.38974375e+05
162,6.39117625e+05
163,6.39258250e+05
164,6.39395812e+05
165,6.39530750e+05
166,6.39662500e+05
167,6.39791750e+05
168,6.39918375e+05
169,6.40042438e+05
170,6.40163812e+05
171,6.40282438e+05
172,6.40399125e+05
173,6.40513000e+05
174,6.40624688e+05
175,6.40733938e+05
176,6.40841250e+05
177,6.40945875e+05
178,6.41048688e+05
179,6.41149250e+05
180,6.41247688e+05
181,6.41344312e+05
182,6.41438688e+05
183,6.41531375e+05
184,6.41622188e+05
185,6.41711000e+05
186,6.41798375e+05
187,6.41883750e+05
188,6.41967250e+05
189,6.42049500e+05
190,6.42129875e+05
191,6.42208688e+05
192,6.42286312e+05
193,6.42361938e+05
194,6.42436500e+05
195,6.42509438e+05
196,6.42581125e+05
197,6.42651625e+05
198,6.42720500e+05
199,6.42788438e+05
200,6.42854875e+05
201,6.42920062e+05
202,6.42984500e+05
203,6.43047562e+05
204,6.43109250e+05
205,6.43170312e+05
206,6.43230062e+05
207,6.43289062e+05
208,6.43346750e+05
209,6.43403625e+05
210,6.43459438e+05
211,6.43514312e+05
212,6.43568375e+05
213,6.43621562e+05
214,6.43673938e+05
215,6.43725312e+05
216,6.43775688e+05
217,6.43825875e+05
218,6.43874688e+05
219,6.43922750e+05
220,6.43970188e+05
221,6.44017062e+05
222,6.44062938e+05
223,6.44108062e+05
224,6.44152312e+05
225,6.44196125e+05
226,6.44239188e+05
227,6.44281750e+05
228,6.44323250e+05
229,6.44364438e+05
230,6.44405000e+05
231,6.44444438e+05
232,6.44483938e+05
233,6.44522188e+05
234,6.44560250e+05
235,6.44597375e+05
236,6.44634250e+05
237,6.44670438e+05
238,6.44706062e+05
239,6.44741062e+05
240,6.44775625e+05
241,6.44809625e+05
