[Name]
Momentum and Mass

[Data]
"Accumulated Timestep","RMS P-Mass","RMS U-Mom","RMS V-Mom","RMS W-Mom"
1,2.64189584e-04,3.03730164e+02,1.33092545e+02,0.00000000e+00
2,4.37077506e-05,4.36131954e-01,3.98910902e-02,0.00000000e+00
3,1.77985021e-05,1.98981315e-01,2.09014639e-02,0.00000000e+00
4,1.41944220e-05,1.15888476e-01,1.17646176e-02,0.00000000e+00
5,1.37073084e-05,8.22225362e-02,7.93645531e-03,0.00000000e+00
6,1.44537553e-05,6.39689863e-02,5.95890684e-03,0.00000000e+00
7,1.52295324e-05,5.24436273e-02,4.74516489e-03,0.00000000e+00
8,1.56104634e-05,4.37447801e-02,3.85322771e-03,0.00000000e+00
9,1.55042453e-05,3.68288644e-02,3.06404615e-03,0.00000000e+00
10,1.51617523e-05,3.12198848e-02,2.26047449e-03,0.00000000e+00
11,1.52150596e-05,2.66916733e-02,1.58434233e-03,0.00000000e+00
12,1.61307435e-05,2.27697808e-02,1.15781301e-03,0.00000000e+00
13,1.77246784e-05,1.93145815e-02,1.00382627e-03,0.00000000e+00
14,1.94050554e-05,1.61145721e-02,9.40122467e-04,0.00000000e+00
15,2.06567893e-05,1.38059761e-02,9.65428888e-04,0.00000000e+00
16,2.13320709e-05,1.22041423e-02,1.01123564e-03,0.00000000e+00
17,2.16436983e-05,1.09736929e-02,1.01031666e-03,0.00000000e+00
18,2.19756512e-05,9.90309473e-03,9.06111265e-04,0.00000000e+00
19,2.26360953e-05,8.91925301e-03,7.99916044e-04,0.00000000e+00
20,2.37305303e-05,8.05354118e-03,6.62111910e-04,0.00000000e+00
21,2.51264573e-05,7.23996060e-03,5.77219587e-04,0.00000000e+00
22,2.66590232e-05,6.51445752e-03,5.02861571e-04,0.00000000e+00
23,2.82122382e-05,5.96931577e-03,4.77788795e-04,0.00000000e+00
24,2.97679926e-05,5.43911057e-03,4.77588561e-04,0.00000000e+00
25,3.13566670e-05,4.93168971e-03,4.74071800e-04,0.00000000e+00
26,3.30036710e-05,4.62646550e-03,4.75782028e-04,0.00000000e+00
27,3.45679800e-05,4.09846287e-03,4.16623632e-04,0.00000000e+00
28,3.62173014e-05,3.85056017e-03,4.12755209e-04,0.00000000e+00
29,3.75795244e-05,3.50735220e-03,3.64915439e-04,0.00000000e+00
30,3.87523469e-05,3.25510697e-03,3.39221500e-04,0.00000000e+00
31,3.96603609e-05,3.00962501e-03,3.13688302e-04,0.00000000e+00
32,4.03032936e-05,2.79926346e-03,2.91807490e-04,0.00000000e+00
33,4.07129301e-05,2.59460206e-03,2.70738528e-04,0.00000000e+00
34,4.14714741e-05,2.43690377e-03,2.70756980e-04,0.00000000e+00
35,4.22410012e-05,2.28510401e-03,2.58317421e-04,0.00000000e+00
36,4.28902786e-05,2.13472429e-03,2.49853532e-04,0.00000000e+00
37,4.33767673e-05,2.04020762e-03,2.42864277e-04,0.00000000e+00
38,4.28641870e-05,1.92143116e-03,2.19333480e-04,0.00000000e+00
39,4.26587249e-05,1.82756735e-03,2.13455016e-04,0.00000000e+00
40,4.26681654e-05,1.73006277e-03,2.05958597e-04,0.00000000e+00
41,4.28472340e-05,1.63719861e-03,1.89135142e-04,0.00000000e+00
42,4.31367298e-05,1.52361928e-03,1.76336252e-04,0.00000000e+00
43,4.34889880e-05,1.43937604e-03,1.66027196e-04,0.00000000e+00
44,4.38618954e-05,1.38313847e-03,1.60578711e-04,0.00000000e+00
45,4.42351520e-05,1.32678135e-03,1.55994872e-04,0.00000000e+00
46,4.45965452e-05,1.24702638e-03,1.40419012e-04,0.00000000e+00
47,4.47711354e-05,1.18272414e-03,1.26856918e-04,0.00000000e+00
48,4.48697538e-05,1.13248068e-03,1.21683923e-04,0.00000000e+00
49,4.49310501e-05,1.10460643e-03,1.17912859e-04,0.00000000e+00
50,4.49486652e-05,1.09239551e-03,1.15805218e-04,0.00000000e+00
51,4.49298350e-05,1.05870154e-03,1.13003713e-04,0.00000000e+00
52,4.48629035e-05,1.04027416e-03,1.12053043e-04,0.00000000e+00
53,4.47338134e-05,1.02723925e-03,1.12459144e-04,0.00000000e+00
54,4.45310288e-05,1.01861346e-03,1.14156217e-04,0.00000000e+00
55,4.42854471e-05,1.01541425e-03,1.17467083e-04,0.00000000e+00
56,4.39937539e-05,9.91965062e-04,1.19336233e-04,0.00000000e+00
57,4.36650407e-05,9.63635161e-04,1.20886412e-04,0.00000000e+00
58,4.33067944e-05,9.37512377e-04,1.22089899e-04,0.00000000e+00
59,4.29125903e-05,9.13365802e-04,1.22267767e-04,0.00000000e+00
60,4.24890750e-05,8.90946423e-04,1.20969700e-04,0.00000000e+00
61,4.20390279e-05,8.69881711e-04,1.17962227e-04,0.00000000e+00
62,4.15653558e-05,8.49849952e-04,1.13265844e-04,0.00000000e+00
63,4.10700231e-05,8.30506207e-04,1.07036183e-04,0.00000000e+00
64,4.05583232e-05,8.11540405e-04,9.95536320e-05,0.00000000e+00
65,4.00327408e-05,7.92727922e-04,9.11788375e-05,0.00000000e+00
66,3.94965537e-05,7.73828011e-04,8.23312730e-05,0.00000000e+00
67,3.89526031e-05,7.54660810e-04,7.34787318e-05,0.00000000e+00
68,3.84022096e-05,7.35091104e-04,6.50854709e-05,0.00000000e+00
69,3.78491059e-05,7.14966329e-04,5.75886625e-05,0.00000000e+00
70,3.72903960e-05,6.94249524e-04,5.13556188e-05,0.00000000e+00
71,3.67284774e-05,6.73100934e-04,4.66262027e-05,0.00000000e+00
72,3.61648817e-05,6.51602692e-04,4.34190806e-05,0.00000000e+00
73,3.55996017e-05,6.26647845e-04,4.13007765e-05,0.00000000e+00
74,3.50336486e-05,6.00596017e-04,4.00171630e-05,0.00000000e+00
75,3.44683212e-05,5.74897858e-04,3.92145012e-05,0.00000000e+00
76,3.39058497e-05,5.49805409e-04,3.85243475e-05,0.00000000e+00
77,3.33451790e-05,5.25362557e-04,3.76917487e-05,0.00000000e+00
78,3.27873604e-05,5.01680828e-04,3.65676715e-05,0.00000000e+00
79,3.22331762e-05,4.78884729e-04,3.51088420e-05,0.00000000e+00
80,3.16830083e-05,4.57052025e-04,3.33376156e-05,0.00000000e+00
81,3.11382428e-05,4.36232949e-04,3.13116216e-05,0.00000000e+00
82,3.05994108e-05,4.16462455e-04,2.91267479e-05,0.00000000e+00
83,3.00677202e-05,3.97747266e-04,2.68728454e-05,0.00000000e+00
84,2.95440368e-05,3.80088895e-04,2.46588716e-05,0.00000000e+00
85,2.90295302e-05,3.63463972e-04,2.25622516e-05,0.00000000e+00
86,2.85253955e-05,3.47835448e-04,2.06587883e-05,0.00000000e+00
87,2.80320892e-05,3.33118136e-04,1.89795901e-05,0.00000000e+00
88,2.75515886e-05,3.19296727e-04,1.75557325e-05,0.00000000e+00
89,2.70842793e-05,3.06331640e-04,1.63669993e-05,0.00000000e+00
90,2.66309544e-05,2.94166559e-04,1.53794372e-05,0.00000000e+00
91,2.61919322e-05,2.82742229e-04,1.45539507e-05,0.00000000e+00
92,2.57678785e-05,2.71997356e-04,1.38465384e-05,0.00000000e+00
93,2.53588296e-05,2.61873618e-04,1.32171999e-05,0.00000000e+00
94,2.49655677e-05,2.52327765e-04,1.26435116e-05,0.00000000e+00
95,2.45874635e-05,2.43313218e-04,1.21088560e-05,0.00000000e+00
96,2.42250899e-05,2.34786086e-04,1.16028677e-05,0.00000000e+00
97,2.38773519e-05,2.26701246e-04,1.11296467e-05,0.00000000e+00
98,2.35449734e-05,2.19022390e-04,1.06897560e-05,0.00000000e+00
99,2.32263064e-05,2.11718114e-04,1.02862014e-05,0.00000000e+00
100,2.29207490e-05,2.04751850e-04,9.92190598e-06,0.00000000e+00
101,2.26274205e-05,1.98102745e-04,9.59416957e-06,0.00000000e+00
102,2.23454481e-05,1.91746774e-04,9.29683029e-06,0.00000000e+00
103,2.20739385e-05,1.85662822e-04,9.02949796e-06,0.00000000e+00
104,2.18119185e-05,1.79826951e-04,8.78470564e-06,0.00000000e+00
105,2.15576747e-05,1.74224682e-04,8.55176313e-06,0.00000000e+00
106,2.13114799e-05,1.68840896e-04,8.32631304e-06,0.00000000e+00
107,2.10715334e-05,1.63667879e-04,8.10094207e-06,0.00000000e+00
108,2.08369656e-05,1.58696392e-04,7.87479803e-06,0.00000000e+00
109,2.06077930e-05,1.53917324e-04,7.64043034e-06,0.00000000e+00
110,2.03824693e-05,1.49325235e-04,7.40032783e-06,0.00000000e+00
111,2.01603398e-05,1.44913953e-04,7.15185161e-06,0.00000000e+00
112,1.99413425e-05,1.40675940e-04,6.89934177e-06,0.00000000e+00
113,1.97247173e-05,1.36605217e-04,6.64294566e-06,0.00000000e+00
114,1.95093089e-05,1.32693982e-04,6.38338497e-06,0.00000000e+00
115,1.92956340e-05,1.28939719e-04,6.13246539e-06,0.00000000e+00
116,1.90832234e-05,1.25339386e-04,5.88670582e-06,0.00000000e+00
117,1.88709346e-05,1.21884863e-04,5.65628943e-06,0.00000000e+00
118,1.86593243e-05,1.18570242e-04,5.43583656e-06,0.00000000e+00
119,1.84483488e-05,1.15391951e-04,5.22912569e-06,0.00000000e+00
120,1.82372605e-05,1.12345297e-04,5.04452510e-06,0.00000000e+00
121,1.80258339e-05,1.09416309e-04,4.87270472e-06,0.00000000e+00
122,1.78147893e-05,1.06605643e-04,4.72104603e-06,0.00000000e+00
123,1.76034810e-05,1.03907427e-04,4.57691613e-06,0.00000000e+00
124,1.73926346e-05,1.01315483e-04,4.44790339e-06,0.00000000e+00
125,1.71809515e-05,9.88259417e-05,4.32442948e-06,0.00000000e+00
126,1.69695304e-05,9.64347491e-05,4.21043205e-06,0.00000000e+00
127,1.67578164e-05,9.41349863e-05,4.10525263e-06,0.00000000e+00
128,1.65459478e-05,9.19191880e-05,4.00261706e-06,0.00000000e+00
129,1.63340665e-05,8.97824648e-05,3.90466403e-06,0.00000000e+00
130,1.61219068e-05,8.77178973e-05,3.81676591e-06,0.00000000e+00
131,1.59094197e-05,8.57216874e-05,3.73012449e-06,0.00000000e+00
132,1.56977530e-05,8.37859625e-05,3.65018468e-06,0.00000000e+00
133,1.54855043e-05,8.19132547e-05,3.57795739e-06,0.00000000e+00
134,1.52732355e-05,8.01007627e-05,3.50532468e-06,0.00000000e+00
135,1.50616261e-05,7.83361902e-05,3.44363389e-06,0.00000000e+00
136,1.48502377e-05,7.66243902e-05,3.38368636e-06,0.00000000e+00
137,1.46392958e-05,7.49592000e-05,3.32610625e-06,0.00000000e+00
138,1.44281612e-05,7.33335983e-05,3.27007933e-06,0.00000000e+00
139,1.42183926e-05,7.17512157e-05,3.21589755e-06,0.00000000e+00
