[Name]
TurbKE and TurbFreq Quantities

[Data]
"Accumulated Timestep","RMS K-TurbKE","RMS O-TurbFreq"
1,9.70763434e-03,4.32487540e-02
2,8.41164216e-03,1.18915588e-01
3,5.90112293e-03,5.81799559e-02
4,5.47677418e-03,2.81141251e-02
5,4.42178408e-03,1.34232342e-02
6,3.81691917e-03,6.32662233e-03
7,3.43481591e-03,2.94256886e-03
8,3.14191100e-03,1.35671929e-03
9,2.88011343e-03,6.37721329e-04
10,2.62946100e-03,3.30339361e-04
11,2.38889735e-03,1.97553032e-04
12,2.16518203e-03,1.07508007e-04
13,1.96812209e-03,3.50793307e-05
14,1.80181733e-03,6.06066315e-05
15,1.66655728e-03,1.26308427e-04
16,1.56012864e-03,1.86739475e-04
17,1.48184935e-03,2.20387534e-04
18,1.42858340e-03,2.44654220e-04
19,1.39660179e-03,2.50406592e-04
20,1.38100865e-03,2.53816514e-04
21,1.37582317e-03,2.44085866e-04
22,1.37451908e-03,2.43265473e-04
23,1.37225364e-03,2.37247616e-04
24,1.36609515e-03,2.28901670e-04
25,1.35348551e-03,2.19518726e-04
26,1.33838668e-03,2.12002473e-04
27,1.30318396e-03,1.81479088e-04
28,1.27749087e-03,1.99035640e-04
29,1.23675540e-03,1.68283193e-04
30,1.19545544e-03,1.66168509e-04
31,1.15436327e-03,1.66782993e-04
32,1.11427635e-03,1.54694324e-04
33,1.07499829e-03,1.47851286e-04
34,1.05424819e-03,1.75091714e-04
35,1.08479057e-03,1.62236131e-04
36,1.32265536e-03,1.59130475e-04
37,2.14587548e-03,1.60959622e-04
38,3.96263041e-03,1.37860086e-04
39,6.23777928e-03,1.49976986e-04
40,8.38329270e-03,1.62287819e-04
41,7.51929684e-03,1.70838568e-04
42,6.63499022e-03,1.72870277e-04
43,5.93500771e-03,1.73335371e-04
44,5.16132452e-03,1.73793364e-04
45,3.84659576e-03,1.74702509e-04
46,2.83724559e-03,1.75519439e-04
47,2.20744032e-03,1.75670109e-04
48,1.69423304e-03,1.76978603e-04
49,1.38300750e-03,1.77884911e-04
50,1.16534019e-03,1.78060800e-04
51,1.00361370e-03,1.78652233e-04
52,8.81325104e-04,1.80137024e-04
53,7.25991791e-04,1.82526797e-04
54,5.20119385e-04,1.84327087e-04
55,4.20471944e-04,1.85789933e-04
56,2.81355664e-04,1.85834011e-04
57,2.58085929e-04,2.12309140e-04
58,2.65642098e-04,1.79543451e-04
59,2.78132909e-04,1.76194211e-04
60,2.77239509e-04,1.75027366e-04
61,2.68278178e-04,1.72956294e-04
62,2.56330095e-04,1.69710023e-04
63,2.44277471e-04,1.64423298e-04
64,2.34370789e-04,1.59934498e-04
65,2.25997603e-04,1.57037080e-04
66,2.19368303e-04,1.54223337e-04
67,2.17918903e-04,1.51820612e-04
68,2.19465583e-04,1.50000444e-04
69,2.19197958e-04,1.47493425e-04
70,2.18533358e-04,1.45809041e-04
71,2.23894342e-04,1.44334874e-04
72,2.28330435e-04,1.43271973e-04
73,2.35909203e-04,1.42338089e-04
74,2.20694274e-04,1.41646378e-04
75,1.97088026e-04,1.41030483e-04
76,1.77063703e-04,1.40413060e-04
77,1.59037969e-04,1.39657117e-04
78,1.45090424e-04,1.38855859e-04
79,1.32292684e-04,1.37953670e-04
80,1.23036836e-04,1.37183612e-04
81,1.15737843e-04,1.35778522e-04
82,1.08455803e-04,1.34364658e-04
83,1.03058541e-04,1.32883943e-04
84,9.90717745e-05,1.31381239e-04
85,9.58079108e-05,1.29780427e-04
86,9.38356243e-05,1.28274463e-04
87,9.26038556e-05,1.26711428e-04
88,9.15269120e-05,1.25216684e-04
89,9.10669914e-05,1.23630089e-04
90,9.16961581e-05,1.22274883e-04
91,9.26803041e-05,1.20978497e-04
92,9.31884424e-05,1.19559620e-04
93,9.44517305e-05,1.18154443e-04
94,9.69127141e-05,1.16671457e-04
95,9.97866518e-05,1.15342838e-04
96,1.03380953e-04,1.13773407e-04
97,1.05659034e-04,1.12403817e-04
98,1.02624719e-04,1.10892899e-04
99,9.93214708e-05,1.09578468e-04
100,9.57107914e-05,1.07929663e-04
101,9.25872664e-05,1.06630519e-04
102,8.99244624e-05,1.05323001e-04
103,8.73613462e-05,1.04040213e-04
104,8.46322509e-05,1.02915452e-04
105,8.18634289e-05,1.01588877e-04
106,7.92019782e-05,1.00317273e-04
107,7.69244434e-05,9.89363180e-05
108,7.46093210e-05,9.79366450e-05
109,7.26532526e-05,9.65312574e-05
110,7.06722785e-05,9.55178257e-05
111,6.92662288e-05,9.42524784e-05
112,6.79327131e-05,9.30277311e-05
113,6.63606043e-05,9.18146761e-05
114,6.52149756e-05,9.06110654e-05
115,6.41796360e-05,8.94036348e-05
116,6.34765893e-05,8.82037348e-05
117,6.26575857e-05,8.70084405e-05
118,6.20037026e-05,8.58145359e-05
119,6.13647499e-05,8.46225739e-05
120,6.07484253e-05,8.33123995e-05
121,6.03670378e-05,8.23589216e-05
122,5.99686828e-05,8.11489008e-05
123,5.95073034e-05,7.99922200e-05
124,5.90150994e-05,7.88634206e-05
125,5.86553178e-05,7.80112750e-05
126,5.84075460e-05,7.64539000e-05
127,5.81295426e-05,7.57556481e-05
128,5.76978055e-05,7.42560078e-05
129,5.73278157e-05,7.36079455e-05
130,5.69820986e-05,7.21519318e-05
131,5.64070324e-05,7.12715046e-05
132,5.59148575e-05,7.02988837e-05
133,5.55596962e-05,6.93346446e-05
134,5.50643308e-05,6.86116473e-05
135,5.46450792e-05,6.72636597e-05
136,5.42284324e-05,6.64602703e-05
137,5.37646338e-05,6.58239733e-05
138,5.31977057e-05,6.45561158e-05
139,5.26290460e-05,6.38073252e-05
140,5.21681359e-05,6.29869464e-05
141,5.17303924e-05,6.21603976e-05
142,5.11870749e-05,6.15537647e-05
143,5.07246223e-05,6.02513901e-05
144,5.02310540e-05,5.97555336e-05
145,4.97201872e-05,5.89310948e-05
146,4.92261897e-05,5.81193672e-05
147,4.87576654e-05,5.73238394e-05
148,4.81035131e-05,5.65353293e-05
149,4.76005735e-05,5.57482490e-05
150,4.70671512e-05,5.49695869e-05
151,4.64722179e-05,5.41930131e-05
152,4.58549111e-05,5.34222017e-05
153,4.52330496e-05,5.26505319e-05
154,4.47191851e-05,5.18747584e-05
155,4.41540178e-05,5.11194521e-05
156,4.35504953e-05,5.03572774e-05
157,4.29644933e-05,4.96040302e-05
158,4.23574020e-05,4.88509068e-05
159,4.17558877e-05,4.81122552e-05
160,4.10754219e-05,4.73731852e-05
161,4.05294159e-05,4.66458550e-05
162,3.99273376e-05,4.59316070e-05
163,3.93586706e-05,4.52151653e-05
164,3.86886277e-05,4.45175428e-05
165,3.81379105e-05,4.38264397e-05
166,3.74692063e-05,4.33059067e-05
167,3.68021647e-05,4.23819947e-05
168,3.62179671e-05,4.18171039e-05
169,3.56040800e-05,4.12134796e-05
170,3.50014016e-05,4.06154759e-05
171,3.43413740e-05,4.01731813e-05
172,3.37450365e-05,3.93561531e-05
173,3.31103183e-05,3.88783883e-05
174,3.24876055e-05,3.83756160e-05
175,3.19318424e-05,3.78778459e-05
176,3.13808778e-05,3.74039882e-05
177,3.07986120e-05,3.69483787e-05
178,3.02094322e-05,3.65198503e-05
179,2.96723028e-05,3.61212915e-05
180,2.91553570e-05,3.57380486e-05
181,2.86176837e-05,3.54930889e-05
182,2.81365683e-05,3.49171314e-05
183,2.76274877e-05,3.46347006e-05
184,2.70543678e-05,3.43121610e-05
185,2.65597391e-05,3.39875805e-05
186,2.60707766e-05,3.36743142e-05
187,2.55816904e-05,3.33756325e-05
188,2.51133461e-05,3.30408948e-05
189,2.46573018e-05,3.28618480e-05
190,2.42207279e-05,3.25640358e-05
191,2.37760432e-05,3.22872511e-05
192,2.33585124e-05,3.20054132e-05
193,2.29267735e-05,3.17057202e-05
194,2.25099011e-05,3.13961609e-05
195,2.21009286e-05,3.10903051e-05
196,2.16309381e-05,3.07590672e-05
197,2.12998420e-05,3.06163347e-05
198,2.09121172e-05,3.03566285e-05
199,2.06465957e-05,3.03356610e-05
200,2.03722957e-05,3.00663196e-05
201,1.99146216e-05,2.97574970e-05
202,1.95266093e-05,2.94764268e-05
203,1.89898383e-05,2.91712513e-05
204,1.85657937e-05,2.88848478e-05
205,1.80380048e-05,2.86477498e-05
206,1.76402136e-05,2.84896323e-05
207,1.72969376e-05,2.84015205e-05
208,1.70557905e-05,2.83811769e-05
209,1.68811184e-05,2.84902217e-05
210,1.68056140e-05,2.88230476e-05
211,2.17095239e-05,2.87481926e-05
212,1.75554360e-05,3.97866243e-05
213,1.99144270e-05,2.38404755e-05
214,1.62355063e-05,3.70235357e-05
215,1.81616288e-05,2.18035384e-05
216,1.92663119e-05,3.54050608e-05
217,1.79491599e-05,3.26871013e-05
218,1.42084509e-05,3.15534271e-05
219,1.47922810e-05,2.13404510e-05
220,1.60387353e-05,3.09470161e-05
221,1.66822974e-05,2.74814556e-05
222,1.55464313e-05,2.49375989e-05
223,1.42058134e-05,2.36909345e-05
224,1.29289292e-05,2.30147543e-05
225,1.22274614e-05,2.29388152e-05
226,1.21187441e-05,2.31869581e-05
227,1.25875877e-05,2.41278613e-05
228,1.57619470e-05,2.53143062e-05
229,1.43982397e-05,2.95113477e-05
230,1.70945459e-05,2.59915432e-05
231,1.60452819e-05,2.94326273e-05
232,1.78064511e-05,2.43368577e-05
233,1.78681676e-05,2.76879218e-05
234,1.61072076e-05,2.56431358e-05
235,1.32503856e-05,2.44485764e-05
236,1.10354385e-05,2.43113263e-05
237,9.78065509e-06,2.45302435e-05
238,1.10772198e-05,2.39799610e-05
239,1.29885693e-05,2.29076468e-05
240,1.42645804e-05,2.24249798e-05
241,1.32582027e-05,2.26644697e-05
