[Name]
Series 1 at /POLYLINE:outlet

[Data]
Velocity [ m s^-1 ],Y [ m ]
2.36975311e+002, -5.82074022e+000
2.36959564e+002, -5.55574846e+000
2.36944153e+002, -5.29075670e+000
2.36930771e+002, -5.04967165e+000
2.36921677e+002, -4.80858707e+000
2.36916153e+002, -4.58927345e+000
2.36920029e+002, -4.36996031e+000
2.36929520e+002, -4.17047215e+000
2.36945984e+002, -3.97098446e+000
2.36964386e+002, -3.78954792e+000
2.36983994e+002, -3.60811138e+000
2.37001907e+002, -3.44311023e+000
2.37018387e+002, -3.27810884e+000
2.37032623e+002, -3.12806964e+000
2.37045456e+002, -2.97803068e+000
2.37056656e+002, -2.84161162e+000
2.37066956e+002, -2.70519280e+000
2.37076172e+002, -2.58117127e+000
2.37085022e+002, -2.45714974e+000
2.37093018e+002, -2.34441161e+000
2.37100372e+002, -2.23167372e+000
2.37106644e+002, -2.12920427e+000
2.37112289e+002, -2.02673483e+000
2.37117096e+002, -1.93360972e+000
2.37120819e+002, -1.84048462e+000
2.37123505e+002, -1.75586188e+000
2.37125381e+002, -1.67123902e+000
2.37126556e+002, -1.59435165e+000
2.37127014e+002, -1.51746440e+000
2.37126816e+002, -1.44761419e+000
2.37125748e+002, -1.37776399e+000
2.37124054e+002, -1.31431496e+000
2.37121552e+002, -1.25086594e+000
2.37118759e+002, -1.19323909e+000
2.37115433e+002, -1.13561225e+000
2.37111984e+002, -1.08328021e+000
2.37108093e+002, -1.03094828e+000
2.37104187e+002, -9.83431280e-001
2.37099976e+002, -9.35914218e-001
2.37095856e+002, -8.92775238e-001
2.37091522e+002, -8.49636197e-001
2.37087341e+002, -8.10477436e-001
2.37083008e+002, -7.71318674e-001
2.37078873e+002, -7.35778213e-001
2.37074615e+002, -7.00237691e-001
2.37070633e+002, -6.67986035e-001
2.37066605e+002, -6.35734379e-001
2.37062881e+002, -6.06471777e-001
2.37059113e+002, -5.77209115e-001
2.37055527e+002, -5.50662696e-001
2.37051773e+002, -5.24116278e-001
2.37048080e+002, -5.00037909e-001
2.37044357e+002, -4.75959510e-001
2.37040924e+002, -4.54123348e-001
2.37037674e+002, -4.32287186e-001
2.37034760e+002, -4.12487864e-001
2.37031937e+002, -3.92688543e-001
2.37029373e+002, -3.74739200e-001
2.37026840e+002, -3.56789887e-001
2.37024521e+002, -3.40520650e-001
2.37022263e+002, -3.24251413e-001
2.37020172e+002, -3.09507728e-001
2.37018051e+002, -2.94764072e-001
2.37016006e+002, -2.81405479e-001
2.37013947e+002, -2.68046886e-001
2.37012039e+002, -2.55945653e-001
2.37010239e+002, -2.43844390e-001
2.37008652e+002, -2.32884347e-001
2.37007217e+002, -2.21924305e-001
2.37006027e+002, -2.11999923e-001
2.37004913e+002, -2.02075541e-001
2.37003983e+002, -1.93090871e-001
2.37003265e+002, -1.84106201e-001
2.37002396e+002, -1.75974071e-001
2.37001175e+002, -1.67841941e-001
2.37002335e+002, -1.60483107e-001
2.37008041e+002, -1.53124288e-001
2.37009521e+002, -1.46466807e-001
2.36956268e+002, -1.39809325e-001
2.36767944e+002, -1.33787796e-001
2.36267548e+002, -1.27766252e-001
2.35566208e+002, -1.22321285e-001
2.34820313e+002, -1.16876319e-001
2.34125290e+002, -1.11953974e-001
2.33377991e+002, -1.07031628e-001
2.32651779e+002, -1.02582924e-001
2.31873856e+002, -9.81342196e-002
2.31157303e+002, -9.41146985e-002
2.30461212e+002, -9.00951698e-002
2.29889038e+002, -8.64644498e-002
2.29407318e+002, -8.28337222e-002
2.29066956e+002, -7.95551613e-002
2.28830673e+002, -7.62766004e-002
2.28698914e+002, -7.33169392e-002
2.28646729e+002, -7.03572854e-002
2.28666031e+002, -6.76863492e-002
2.28733185e+002, -6.50154203e-002
