[Name]
Series 1 at /POLYLINE:outlet

[Data]
Velocity [ m s^-1 ],Y [ m ]
2.37091125e+002, -5.82074022e+000
2.37097641e+002, -5.55574846e+000
2.37101318e+002, -5.29075670e+000
2.37104279e+002, -5.04967165e+000
2.37108688e+002, -4.80858707e+000
2.37111679e+002, -4.58927345e+000
2.37114624e+002, -4.36996031e+000
2.37116394e+002, -4.17047215e+000
2.37117630e+002, -3.97098446e+000
2.37118301e+002, -3.78954792e+000
2.37118515e+002, -3.60811138e+000
2.37118546e+002, -3.44311023e+000
2.37118286e+002, -3.27810884e+000
2.37118057e+002, -3.12806964e+000
2.37117615e+002, -2.97803068e+000
2.37117279e+002, -2.84161162e+000
2.37116669e+002, -2.70519280e+000
2.37116180e+002, -2.58117127e+000
2.37115616e+002, -2.45714974e+000
2.37115036e+002, -2.34441161e+000
2.37114426e+002, -2.23167372e+000
2.37113907e+002, -2.12920427e+000
2.37113358e+002, -2.02673483e+000
2.37112778e+002, -1.93360972e+000
2.37112228e+002, -1.84048462e+000
2.37111832e+002, -1.75586188e+000
2.37111343e+002, -1.67123902e+000
2.37110886e+002, -1.59435165e+000
2.37110474e+002, -1.51746440e+000
2.37110016e+002, -1.44761419e+000
2.37109558e+002, -1.37776399e+000
2.37109238e+002, -1.31431496e+000
2.37108810e+002, -1.25086594e+000
2.37108429e+002, -1.19323909e+000
2.37108032e+002, -1.13561225e+000
2.37107666e+002, -1.08328021e+000
2.37107300e+002, -1.03094828e+000
2.37106949e+002, -9.83431280e-001
2.37106628e+002, -9.35914218e-001
2.37106232e+002, -8.92775238e-001
2.37105881e+002, -8.49636197e-001
2.37105591e+002, -8.10477436e-001
2.37105255e+002, -7.71318674e-001
2.37104980e+002, -7.35778213e-001
2.37104675e+002, -7.00237691e-001
2.37104401e+002, -6.67986035e-001
2.37104218e+002, -6.35734379e-001
2.37104050e+002, -6.06471777e-001
2.37103943e+002, -5.77209115e-001
2.37103790e+002, -5.50662696e-001
2.37103683e+002, -5.24116278e-001
2.37103516e+002, -5.00037909e-001
2.37103409e+002, -4.75959510e-001
2.37103333e+002, -4.54123348e-001
2.37103210e+002, -4.32287186e-001
2.37103119e+002, -4.12487864e-001
2.37103058e+002, -3.92688543e-001
2.37103058e+002, -3.74739200e-001
2.37102997e+002, -3.56789887e-001
2.37102951e+002, -3.40520650e-001
2.37103012e+002, -3.24251413e-001
2.37103043e+002, -3.09507728e-001
2.37103149e+002, -2.94764072e-001
2.37103210e+002, -2.81405479e-001
2.37103409e+002, -2.68046886e-001
2.37103561e+002, -2.55945653e-001
2.37103760e+002, -2.43844390e-001
2.37104034e+002, -2.32884347e-001
2.37104401e+002, -2.21924305e-001
2.37104752e+002, -2.11999923e-001
2.37105225e+002, -2.02075541e-001
2.37105682e+002, -1.93090871e-001
2.37106201e+002, -1.84106201e-001
2.37106750e+002, -1.75974071e-001
2.37107178e+002, -1.67841941e-001
2.37107819e+002, -1.60483107e-001
2.37109818e+002, -1.53124288e-001
2.37108368e+002, -1.46466807e-001
2.37096313e+002, -1.39809325e-001
2.37022766e+002, -1.33787796e-001
2.36715530e+002, -1.27766252e-001
2.36071609e+002, -1.22321285e-001
2.35239532e+002, -1.16876319e-001
2.34459412e+002, -1.11953974e-001
2.33683060e+002, -1.07031628e-001
2.32999161e+002, -1.02582924e-001
2.32339325e+002, -9.81342196e-002
2.31771378e+002, -9.41146985e-002
2.31236771e+002, -9.00951698e-002
2.30788879e+002, -8.64644498e-002
2.30380768e+002, -8.28337222e-002
2.30052338e+002, -7.95551613e-002
2.29768112e+002, -7.62766004e-002
2.29554123e+002, -7.33169392e-002
2.29385269e+002, -7.03572854e-002
2.29274292e+002, -6.76863492e-002
2.29207382e+002, -6.50154203e-002
2.29185257e+002, -6.26058355e-002
2.29200363e+002, -6.01962507e-002
2.29244095e+002, -5.80231808e-002
2.29317017e+002, -5.58501109e-002
2.29407654e+002, -5.38910255e-002
2.29521255e+002, -5.19319437e-002
2.29642288e+002, -5.01664206e-002
2.29780365e+002, -4.84008975e-002
2.29918518e+002, -4.68104146e-002
2.30069183e+002, -4.52199318e-002
2.30214935e+002, -4.37877029e-002
2.30369843e+002, -4.23554741e-002
2.30516602e+002, -4.10662852e-002
2.30670135e+002, -3.97770926e-002
2.30813705e+002, -3.86171490e-002
2.30962265e+002, -3.74572091e-002
2.31099869e+002, -3.64140235e-002
2.31241196e+002, -3.53708379e-002
2.31371262e+002, -3.44330966e-002
2.31504120e+002, -3.34953554e-002
2.31625748e+002, -3.26528065e-002
2.31749527e+002, -3.18102576e-002
2.31862381e+002, -3.10536288e-002
2.31976913e+002, -3.02969981e-002
2.32080948e+002, -2.96178870e-002
2.32186295e+002, -2.89387740e-002
2.32281784e+002, -2.83295792e-002
2.32378220e+002, -2.77203824e-002
2.32465469e+002, -2.71742269e-002
2.32553482e+002, -2.66280696e-002
2.32632950e+002, -2.61387303e-002
2.32712967e+002, -2.56493893e-002
2.32785110e+002, -2.52112411e-002
2.32857635e+002, -2.47730911e-002
2.32922928e+002, -2.43810434e-002
2.32988602e+002, -2.39889957e-002
2.33047577e+002, -2.36384515e-002
2.33106857e+002, -2.32879072e-002
2.33160049e+002, -2.29747109e-002
2.33213455e+002, -2.26615146e-002
2.33261307e+002, -2.23819111e-002
2.33309357e+002, -2.21023057e-002
2.33352341e+002, -2.18529049e-002
2.33395432e+002, -2.16035023e-002
2.33433975e+002, -2.13812403e-002
2.33472580e+002, -2.11589783e-002
2.33507065e+002, -2.09610928e-002
2.33541580e+002, -2.07632072e-002
2.33572342e+002, -2.05872040e-002
2.33603195e+002, -2.04112008e-002
2.33630661e+002, -2.02548318e-002
2.33658173e+002, -2.00984627e-002
2.33682648e+002, -1.99596975e-002
2.33707169e+002, -1.98209323e-002
2.33728882e+002, -1.96979437e-002
2.33750656e+002, -1.95749551e-002
2.33769928e+002, -1.94660965e-002
2.33789215e+002, -1.93572361e-002
2.33806351e+002, -1.92610212e-002
