[Name]
Series 1 at PressurePorts

[Data]
X [ m ],Cp [ m s^-1 ]
3.28212112e-001, -3.15396309e-001
3.33127618e-001, -2.94880390e-001
3.38301718e-001, -2.73974240e-001
3.43792140e-001, -2.52307147e-001
3.49743217e-001, -2.28723481e-001
3.56211901e-001, -2.02310309e-001
3.63110155e-001, -1.73315570e-001
3.70407969e-001, -1.42125621e-001
3.78017664e-001, -1.09331422e-001
3.85851860e-001, -7.53969699e-002
3.93794149e-001, -4.07408215e-002
4.01815265e-001, -5.32755954e-003
4.09827858e-001, 3.05337738e-002
4.17687744e-001, 6.60347044e-002
4.25423205e-001, 1.00820728e-001
4.32976365e-001, 1.34194061e-001
4.40288424e-001, 1.62878871e-001
4.47385222e-001, 2.02094838e-001
4.38836247e-001, 2.66442329e-001
4.30325359e-001, 2.93580741e-001
4.21388924e-001, 3.00596088e-001
4.12015885e-001, 3.00287336e-001
4.02643144e-001, 2.96370119e-001
3.93273622e-001, 2.87906349e-001
3.83908957e-001, 2.76141107e-001
3.74549866e-001, 2.61926204e-001
3.65196615e-001, 2.45908394e-001
3.55849087e-001, 2.28337988e-001
3.46507043e-001, 2.09108710e-001
3.37170303e-001, 1.87989742e-001
3.27838421e-001, 1.64930016e-001
3.18510532e-001, 1.40107229e-001
3.09185505e-001, 1.13595180e-001
2.99862355e-001, 8.53342339e-002
2.90539891e-001, 5.53376712e-002
2.81217039e-001, 2.38850247e-002
2.71892697e-001, -8.49652663e-003
2.62565970e-001, -4.14843597e-002
2.53235847e-001, -7.51732290e-002
2.43901327e-001, -1.10851854e-001
2.34561563e-001, -1.50604442e-001
2.25215748e-001, -1.95557073e-001
2.15863198e-001, -2.43786991e-001
2.06503853e-001, -2.89335281e-001
1.97138309e-001, -3.24293405e-001
1.87767968e-001, -3.44159365e-001
1.78394943e-001, -3.50096166e-001
1.67739153e-001, -3.51099133e-001
1.57783642e-001, -3.37579668e-001
1.47895247e-001, -3.10212225e-001
1.38105109e-001, -2.75713384e-001
1.28442600e-001, -2.39632159e-001
1.18935913e-001, -2.05044195e-001
1.09612465e-001, -1.72531590e-001
1.00499734e-001, -1.41550928e-001
9.16246474e-002, -1.11126363e-001
8.30139518e-002, -8.01929235e-002
7.46937245e-002, -4.84365486e-002
6.66889474e-002, -1.53158857e-002
5.90241924e-002, 1.98904611e-002
5.17232716e-002, 5.75609058e-002
4.48088273e-002, 9.79295149e-002
3.83029096e-002, 1.41681984e-001
3.22270095e-002, 1.90083995e-001
2.66024619e-002, 2.45021105e-001
2.14504134e-002, 3.08991671e-001
1.67918727e-002, 3.84800404e-001
1.26483822e-002, 4.76027459e-001
9.04244836e-003, 5.88813305e-001
6.00137748e-003, 7.25117207e-001
3.55690881e-003, 8.98976803e-001
1.75081450e-003, 1.07817304e+000
6.19000522e-004, 1.16270614e+000
1.09668959e-004, 1.10494459e+000
-1.71360807e-006, 9.04544592e-001
3.98867206e-016, 7.44690359e-001
7.01100998e-006, 6.81398690e-001
5.21553884e-005, 5.61037600e-001
2.08455560e-004, 3.57504666e-001
5.70264878e-004, 7.48331919e-002
1.21362193e-003, -2.20703959e-001
2.17371434e-003, -5.09124219e-001
3.44971428e-003, -7.23850071e-001
5.02776494e-003, -8.71891201e-001
6.89126505e-003, -9.63210344e-001
9.02556162e-003, -1.01851642e+000
1.14183575e-002, -1.04819047e+000
1.40583962e-002, -1.06066680e+000
1.69367753e-002, -1.06236649e+000
2.00449321e-002, -1.05788791e+000
2.33753342e-002, -1.05131876e+000
2.69208234e-002, -1.04432273e+000
3.06744296e-002, -1.03753352e+000
3.46289910e-002, -1.03130031e+000
3.87771726e-002, -1.02604866e+000
4.31115329e-002, -1.02176678e+000
4.76244241e-002, -1.01842916e+000
5.23078889e-002, -1.01601398e+000
5.71538210e-002, -1.01452589e+000
6.21539503e-002, -1.01410151e+000
6.72997534e-002, -1.01478124e+000
7.25825578e-002, -1.01639712e+000
7.79934675e-002, -1.01861656e+000
8.35233554e-002, -1.02111685e+000
8.91628563e-002, -1.02401710e+000
9.49025601e-002, -1.02733111e+000
1.00732878e-001, -1.03091753e+000
1.06644079e-001, -1.03485513e+000
1.12626344e-001, -1.03915012e+000
1.18669748e-001, -1.04360139e+000
1.24764234e-001, -1.04805279e+000
1.30899698e-001, -1.05256188e+000
1.37066036e-001, -1.05738986e+000
1.43252999e-001, -1.06257045e+000
1.49582282e-001, -1.06779742e+000
1.55866832e-001, -1.07292545e+000
1.61645874e-001, -1.07791829e+000
1.66658059e-001, -1.08270764e+000
1.71375141e-001, -1.08711672e+000
1.75914988e-001, -1.09123397e+000
1.80307075e-001, -1.09513366e+000
1.84610337e-001, -1.09884775e+000
1.88824728e-001, -1.10244477e+000
1.93009153e-001, -1.10599470e+000
1.97134107e-001, -1.10946238e+000
2.01199561e-001, -1.11251223e+000
