[Name]
Series 1 at PressurePorts

[Data]
X [ m ],Cp [ m s^-1 ]
3.28212112e-001, -3.40435475e-001
3.33127618e-001, -3.20855826e-001
3.38301718e-001, -3.00452054e-001
3.43792140e-001, -2.79149354e-001
3.49743217e-001, -2.56487072e-001
3.56211901e-001, -2.31903076e-001
3.63110155e-001, -2.05374196e-001
3.70407969e-001, -1.76816896e-001
3.78017664e-001, -1.46382004e-001
3.85851860e-001, -1.14381522e-001
3.93794149e-001, -8.13340619e-002
4.01815265e-001, -4.74698581e-002
4.09827858e-001, -1.31327938e-002
4.17687744e-001, 2.08435729e-002
4.25423205e-001, 5.40383235e-002
4.32976365e-001, 8.64207596e-002
4.40288424e-001, 1.10964015e-001
4.47385222e-001, 1.72728166e-001
4.38836247e-001, 2.59333104e-001
4.30325359e-001, 2.67046839e-001
4.21388924e-001, 2.70907700e-001
4.12015885e-001, 2.69174457e-001
4.02643144e-001, 2.62639940e-001
3.93273622e-001, 2.52124727e-001
3.83908957e-001, 2.38821313e-001
3.74549866e-001, 2.23381460e-001
3.65196615e-001, 2.06174701e-001
3.55849087e-001, 1.87313795e-001
3.46507043e-001, 1.66547269e-001
3.37170303e-001, 1.43638372e-001
3.27838421e-001, 1.18662693e-001
3.18510532e-001, 9.18498561e-002
3.09185505e-001, 6.32913783e-002
2.99862355e-001, 3.30388993e-002
2.90539891e-001, 1.14054466e-003
2.81217039e-001, -3.25332694e-002
2.71892697e-001, -6.82809651e-002
2.62565970e-001, -1.06256612e-001
2.53235847e-001, -1.46431893e-001
2.43901327e-001, -1.88444316e-001
2.34561563e-001, -2.31311560e-001
2.25215748e-001, -2.72841662e-001
2.15863198e-001, -3.10009718e-001
2.06503853e-001, -3.39499772e-001
1.97138309e-001, -3.58137369e-001
1.87767968e-001, -3.64702582e-001
1.78394943e-001, -3.62970382e-001
1.67739153e-001, -3.49673480e-001
1.57783642e-001, -3.25919807e-001
1.47895247e-001, -2.95156807e-001
1.38105109e-001, -2.61179715e-001
1.28442600e-001, -2.27258846e-001
1.18935913e-001, -1.94920093e-001
1.09612465e-001, -1.64074913e-001
1.00499734e-001, -1.33972675e-001
9.16246474e-002, -1.03853911e-001
8.30139518e-002, -7.28708878e-002
7.46937245e-002, -4.08131406e-002
6.66889474e-002, -7.30845938e-003
5.90241924e-002, 2.84008607e-002
5.17232716e-002, 6.66498393e-002
4.48088273e-002, 1.07834011e-001
3.83029096e-002, 1.52853057e-001
3.22270095e-002, 2.03106686e-001
2.66024619e-002, 2.60533571e-001
2.14504134e-002, 3.27321857e-001
1.67918727e-002, 4.06170577e-001
1.26483822e-002, 5.00141263e-001
9.04244836e-003, 6.15338922e-001
6.00137748e-003, 7.51402259e-001
3.55690881e-003, 9.10561383e-001
1.75081450e-003, 1.06343102e+000
6.19000522e-004, 1.13362050e+000
1.09668959e-004, 1.14436126e+000
-1.71360807e-006, 1.09214234e+000
3.98867206e-016, 9.72816706e-001
7.01100998e-006, 9.19502735e-001
5.21553884e-005, 8.43302310e-001
2.08455560e-004, 7.03470767e-001
5.70264878e-004, 4.70364869e-001
1.21362193e-003, 1.94327980e-001
2.17371434e-003, -6.41134307e-002
3.44971428e-003, -2.82840163e-001
5.02776494e-003, -4.39367831e-001
6.89126505e-003, -5.48783660e-001
9.02556162e-003, -6.25253141e-001
1.14183575e-002, -6.77478552e-001
1.40583962e-002, -7.13255703e-001
1.69367753e-002, -7.38409400e-001
2.00449321e-002, -7.56662428e-001
2.33753342e-002, -7.71285951e-001
2.69208234e-002, -7.84002244e-001
3.06744296e-002, -7.95529902e-001
3.46289910e-002, -8.06064010e-001
3.87771726e-002, -8.15932512e-001
4.31115329e-002, -8.25370312e-001
4.76244241e-002, -8.34310770e-001
5.23078889e-002, -8.42845380e-001
5.71538210e-002, -8.51244211e-001
6.21539503e-002, -8.59572530e-001
6.72997534e-002, -8.67836118e-001
7.25825578e-002, -8.76019776e-001
7.79934675e-002, -8.83880377e-001
8.35233554e-002, -8.91164482e-001
8.91628563e-002, -8.98056448e-001
9.49025601e-002, -9.04690742e-001
1.00732878e-001, -9.10972416e-001
1.06644079e-001, -9.16986108e-001
1.12626344e-001, -9.22745526e-001
1.18669748e-001, -9.28135216e-001
1.24764234e-001, -9.33051169e-001
1.30899698e-001, -9.37537491e-001
1.37066036e-001, -9.41810966e-001
1.43252999e-001, -9.45939660e-001
1.49582282e-001, -9.49900150e-001
1.55866832e-001, -9.53575611e-001
1.61645874e-001, -9.56516147e-001
1.66658059e-001, -9.58364964e-001
1.71375141e-001, -9.59039867e-001
1.75914988e-001, -9.59107757e-001
1.80307075e-001, -9.58534837e-001
1.84610337e-001, -9.57076073e-001
1.88824728e-001, -9.54723835e-001
1.93009153e-001, -9.51421201e-001
1.97134107e-001, -9.47116852e-001
2.01199561e-001, -9.41700578e-001
2.05264375e-001, -9.34906304e-001
2.09269583e-001, -9.26680028e-001
2.13274047e-001, -9.16760027e-001
2.17248231e-001, -9.05123472e-001
2.21221507e-001, -8.91556025e-001
2.25164369e-001, -8.76080871e-001
2.29106173e-001, -8.58577788e-001
2.33076230e-001, -8.38939071e-001
2.37015650e-001, -8.17635953e-001
2.40953773e-001, -7.94874072e-001
2.44890466e-001, -7.71005869e-001
2.48825654e-001, -7.46304989e-001
2.52759248e-001, -7.21136212e-001
2.56720513e-001, -6.95679724e-001
2.60680050e-001, -6.70432746e-001
2.64667124e-001, -6.45458281e-001
2.68652320e-001, -6.21097982e-001
2.72635698e-001, -5.97522914e-001
2.76646495e-001, -5.74704647e-001
2.80684710e-001, -5.52697480e-001
2.84750313e-001, -5.31483769e-001
2.88843244e-001, -5.11000037e-001
2.92963475e-001, -4.91187781e-001
2.97140151e-001, -4.71831888e-001
3.01373214e-001, -4.52774704e-001
3.05633426e-001, -4.34041739e-001
3.09949815e-001, -4.15484279e-001
3.14351499e-001, -3.96973610e-001
3.18867445e-001, -3.78310472e-001
3.23468298e-001, -3.59545052e-001


