[Name]
Series 1 at PressurePorts

[Data]
X [ m ],Cp [ m s^-1 ]
3.56211931e-001, -2.05014080e-001
3.59661788e-001, -1.90517008e-001
3.63110214e-001, -1.76018164e-001
3.66759926e-001, -1.60531953e-001
3.70408028e-001, -1.44945100e-001
3.74213696e-001, -1.28542691e-001
3.78017694e-001, -1.12121679e-001
3.81935686e-001, -9.51510593e-002
3.85851890e-001, -7.81131387e-002
3.89824003e-001, -6.06484041e-002
3.93794179e-001, -4.29587439e-002
3.97805721e-001, -2.48528942e-002
4.01815295e-001, -6.58823969e-003
4.05822694e-001, 1.18842162e-002
4.09827888e-001, 3.06013692e-002
4.13758993e-001, 4.91355136e-002
4.17687804e-001, 6.77957013e-002
4.21556681e-001, 8.62982646e-002
4.25423235e-001, 1.04845688e-001
4.29201186e-001, 1.22869782e-001
4.32976395e-001, 1.40811816e-001
4.36633974e-001, 1.57891944e-001
4.40288454e-001, 1.75165117e-001
4.43839282e-001, 1.89438745e-001
4.47385222e-001, 2.03973308e-001
4.44537848e-001, 2.53441483e-001
4.41688150e-001, 2.71784365e-001
4.38836426e-001, 2.85972089e-001
4.36001062e-001, 2.96689779e-001
4.33164060e-001, 3.04779857e-001
4.30325717e-001, 3.10733199e-001
4.27347809e-001, 3.15422595e-001
4.24368978e-001, 3.18641454e-001
4.21389431e-001, 3.20367903e-001
4.18265343e-001, 3.20900977e-001
4.15140986e-001, 3.20755750e-001
4.12016511e-001, 3.20156842e-001
4.08892065e-001, 3.18867832e-001
4.05767798e-001, 3.16978455e-001
4.02643830e-001, 3.14615011e-001
3.99520189e-001, 3.11823249e-001
3.96396995e-001, 3.08603525e-001
3.93274307e-001, 3.04991215e-001
3.90152186e-001, 3.01067799e-001
3.87030602e-001, 2.96884298e-001
3.83909643e-001, 2.92445511e-001
3.80789310e-001, 2.87773818e-001
3.77669603e-001, 2.82897592e-001
3.74550551e-001, 2.77805567e-001
3.71432126e-001, 2.72499561e-001
3.68314385e-001, 2.67004639e-001
3.65197271e-001, 2.61350036e-001
3.62080783e-001, 2.55555212e-001
3.58964950e-001, 2.49624029e-001
3.55849713e-001, 2.43546426e-001
3.52735072e-001, 2.37317115e-001
3.49621058e-001, 2.30926350e-001
3.46507609e-001, 2.24362016e-001
3.43394786e-001, 2.17602581e-001
3.40282530e-001, 2.10625306e-001
3.37170839e-001, 2.03423694e-001
3.34059685e-001, 1.95999235e-001
3.30949068e-001, 1.88356638e-001
3.27838898e-001, 1.80501238e-001
3.24729204e-001, 1.72445685e-001
3.21619898e-001, 1.64207742e-001
3.18510950e-001, 1.55803591e-001
3.15402329e-001, 1.47238880e-001
3.12293977e-001, 1.38506517e-001
3.09185892e-001, 1.29599109e-001
3.06078017e-001, 1.20517850e-001
3.02970290e-001, 1.11270703e-001
2.99862683e-001, 1.01867408e-001
2.96755165e-001, 9.23144594e-002
2.93647677e-001, 8.26139227e-002
2.90540159e-001, 7.27687553e-002
2.87432611e-001, 6.27792478e-002
2.84325004e-001, 5.26433401e-002
2.81217247e-001, 4.23604324e-002
2.78109312e-001, 3.19322981e-002
2.75001198e-001, 2.13598274e-002
2.71892846e-001, 1.06344577e-002
2.68784225e-001, -2.64474133e-004
2.65675306e-001, -1.13481833e-002
2.62566060e-001, -2.26240493e-002
2.59456426e-001, -3.40861678e-002
2.56346375e-001, -4.57298197e-002
2.53235877e-001, -5.75490966e-002
2.50124902e-001, -6.95307180e-002
2.47013390e-001, -8.16767514e-002
2.43901327e-001, -9.39892679e-002
2.40788683e-001, -1.06475629e-001
2.37675428e-001, -1.19133785e-001
2.34561518e-001, -1.31968156e-001
2.31446952e-001, -1.44947767e-001
2.28331670e-001, -1.58000857e-001
2.25215673e-001, -1.71053365e-001
2.22098917e-001, -1.84050381e-001
2.18981400e-001, -1.96951762e-001
2.15863109e-001, -2.09703773e-001
2.12744072e-001, -2.22194865e-001
2.09624276e-001, -2.34288365e-001
2.06503764e-001, -2.45866194e-001
2.03382552e-001, -2.56841570e-001
2.00260684e-001, -2.67222166e-001
1.97138235e-001, -2.77027190e-001
1.94015235e-001, -2.86312431e-001
1.90891773e-001, -2.94943690e-001
1.87767923e-001, -3.02694172e-001
1.84643760e-001, -3.09162289e-001
1.81519404e-001, -3.13892126e-001
1.78394943e-001, -3.16394448e-001
1.74876586e-001, -3.18049610e-001
1.71358377e-001, -3.18248272e-001
1.67840481e-001, -3.17770392e-001
1.64519697e-001, -3.15414190e-001
1.61199480e-001, -3.11465234e-001
1.57879919e-001, -3.06065351e-001
1.54581100e-001, -2.99285531e-001
1.51283175e-001, -2.91228533e-001
1.47986203e-001, -2.81990379e-001
1.44719869e-001, -2.71748930e-001
1.41454637e-001, -2.60764688e-001
1.38190523e-001, -2.49339327e-001
1.34966627e-001, -2.37685055e-001
1.31743878e-001, -2.25846142e-001
1.28522277e-001, -2.13942751e-001
1.25350282e-001, -2.02137336e-001
1.22179434e-001, -1.90448523e-001
1.19009741e-001, -1.79057837e-001
1.15898818e-001, -1.68165997e-001
1.12789012e-001, -1.57549843e-001
1.09680362e-001, -1.47045553e-001
1.06639571e-001, -1.36654899e-001
1.03599988e-001, -1.26253337e-001
1.00561649e-001, -1.15982533e-001
9.76000205e-002, -1.06040843e-001
9.46396366e-002, -9.61794406e-002
9.16805938e-002, -8.62705186e-002
8.88069421e-002, -7.63610005e-002
8.59347060e-002, -6.62445724e-002
8.30639675e-002, -5.59091233e-002
8.02870244e-002, -4.55004722e-002
7.75116459e-002, -3.48784104e-002
7.47378841e-002, -2.41344441e-002
7.20659867e-002, -1.34627959e-002
6.93957806e-002, -2.61050137e-003
6.67273626e-002, 8.44191946e-003
6.41686171e-002, 1.95811205e-002
6.16117939e-002, 3.11134923e-002
5.90570085e-002, 4.30390313e-002
5.66193685e-002, 5.51292785e-002
5.41838780e-002, 6.76726103e-002
5.17506935e-002, 8.05553943e-002
4.94416654e-002, 9.35090184e-002
4.71350625e-002, 1.06987752e-001
4.48310748e-002, 1.20899506e-001
4.26579304e-002, 1.34931400e-001
4.04875576e-002, 1.49621218e-001
3.83202396e-002, 1.64852977e-001
3.62900198e-002, 1.80217281e-001
3.42630520e-002, 1.96444944e-001
3.22397351e-002, 2.13408485e-001
3.03593520e-002, 2.30663657e-001
2.84829214e-002, 2.49128133e-001
