[Name]
Series 1 at PressurePorts

[Data]
X [ m ],Cp [ m s^-1 ]
3.56211931e-001, -2.04035297e-001
3.59661788e-001, -1.89810365e-001
3.63110214e-001, -1.75587207e-001
3.66759926e-001, -1.60399139e-001
3.70408028e-001, -1.45100951e-001
3.74213696e-001, -1.28976002e-001
3.78017694e-001, -1.12797625e-001
3.81935686e-001, -9.60460231e-002
3.85851890e-001, -7.92164952e-002
3.89824003e-001, -6.19831719e-002
3.93794179e-001, -4.45635952e-002
3.97805721e-001, -2.67715119e-002
4.01815295e-001, -8.85220896e-003
4.05822694e-001, 9.24478751e-003
4.09827888e-001, 2.75572594e-002
4.13758993e-001, 4.56613414e-002
4.17687804e-001, 6.38504326e-002
4.21556681e-001, 8.18429366e-002
4.25423235e-001, 9.98301283e-002
4.29201186e-001, 1.17263578e-001
4.32976395e-001, 1.34577185e-001
4.36633974e-001, 1.51028007e-001
4.40288454e-001, 1.67643532e-001
4.43839282e-001, 1.81355461e-001
4.47385222e-001, 1.95372000e-001
4.44537848e-001, 2.46151626e-001
4.41688150e-001, 2.65039384e-001
4.38836426e-001, 2.79620588e-001
4.36001062e-001, 2.90633440e-001
4.33164060e-001, 2.98950821e-001
4.30325717e-001, 3.05073261e-001
4.27347809e-001, 3.09896380e-001
4.24368978e-001, 3.13232422e-001
4.21389431e-001, 3.15073699e-001
4.18265343e-001, 3.15700650e-001
4.15140986e-001, 3.15574318e-001
4.12016511e-001, 3.15021157e-001
4.08892065e-001, 3.13766688e-001
4.05767798e-001, 3.11900020e-001
4.02643830e-001, 3.09551626e-001
3.99520189e-001, 3.06767553e-001
3.96396995e-001, 3.03547829e-001
3.93274307e-001, 2.99929589e-001
3.90152186e-001, 2.95995265e-001
3.87030602e-001, 2.91795552e-001
3.83909643e-001, 2.87336379e-001
3.80789310e-001, 2.82640189e-001
3.77669603e-001, 2.77735621e-001
3.74550551e-001, 2.72611737e-001
3.71432126e-001, 2.67270297e-001
3.68314385e-001, 2.61737287e-001
3.65197271e-001, 2.56041646e-001
3.62080783e-001, 2.50203729e-001
3.58964950e-001, 2.44226515e-001
3.55849713e-001, 2.38100797e-001
3.52735072e-001, 2.31821015e-001
3.49621058e-001, 2.25376830e-001
3.46507609e-001, 2.18756706e-001
3.43394786e-001, 2.11939111e-001
3.40282530e-001, 2.04900146e-001
3.37170839e-001, 1.97634190e-001
3.34059685e-001, 1.90142140e-001
3.30949068e-001, 1.82428703e-001
3.27838898e-001, 1.74499795e-001
3.24729204e-001, 1.66367516e-001
3.21619898e-001, 1.58050150e-001
3.18510950e-001, 1.49563655e-001
3.15402329e-001, 1.40914232e-001
3.12293977e-001, 1.32094204e-001
3.09185892e-001, 1.23096175e-001
3.06078017e-001, 1.13921642e-001
3.02970290e-001, 1.04577973e-001
2.99862683e-001, 9.50754955e-002
2.96755165e-001, 8.54204223e-002
2.93647677e-001, 7.56148100e-002
2.90540159e-001, 6.56616092e-002
2.87432611e-001, 5.55614084e-002
2.84325004e-001, 4.53112647e-002
2.81217247e-001, 3.49111743e-002
2.78109312e-001, 2.43623182e-002
2.75001198e-001, 1.36658745e-002
2.71892846e-001, 2.81298929e-003
2.68784225e-001, -8.21758900e-003
2.65675306e-001, -1.94373727e-002
2.62566060e-001, -3.08537409e-002
2.59456426e-001, -4.24610861e-002
2.56346375e-001, -5.42537980e-002
2.53235877e-001, -6.62277490e-002
2.50124902e-001, -7.83687606e-002
2.47013390e-001, -9.06803831e-002
2.43901327e-001, -1.03164099e-001
2.40788683e-001, -1.15827858e-001
2.37675428e-001, -1.28668427e-001
2.34561518e-001, -1.41689941e-001
2.31446952e-001, -1.54862583e-001
2.28331670e-001, -1.68115810e-001
2.25215673e-001, -1.81378484e-001
2.22098917e-001, -1.94593921e-001
2.18981400e-001, -2.07719043e-001
2.15863109e-001, -2.20693916e-001
2.12744072e-001, -2.33399302e-001
2.09624276e-001, -2.45695576e-001
2.06503764e-001, -2.57469416e-001
2.03382552e-001, -2.68644899e-001
2.00260684e-001, -2.79239237e-001
1.97138235e-001, -2.89269030e-001
1.94015235e-001, -2.98778147e-001
1.90891773e-001, -3.07612628e-001
1.87767923e-001, -3.15525025e-001
1.84643760e-001, -3.22099984e-001
1.81519404e-001, -3.26886475e-001
1.78394943e-001, -3.29412550e-001
1.74876586e-001, -3.31079096e-001
1.71358377e-001, -3.31274509e-001
1.67840481e-001, -3.30755442e-001
1.64519697e-001, -3.28311861e-001
1.61199480e-001, -3.24235976e-001
1.57879919e-001, -3.18673015e-001
1.54581100e-001, -3.11699867e-001
1.51283175e-001, -3.03422958e-001
1.47986203e-001, -2.93943524e-001
1.44719869e-001, -2.83449411e-001
1.41454637e-001, -2.72205859e-001
1.38190523e-001, -2.60519266e-001
1.34966627e-001, -2.48607755e-001
1.31743878e-001, -2.36515284e-001
1.28522277e-001, -2.24364534e-001
1.25350282e-001, -2.12323576e-001
1.22179434e-001, -2.00409397e-001
1.19009741e-001, -1.88803837e-001
1.15898818e-001, -1.77709788e-001
1.12789012e-001, -1.66897640e-001
1.09680362e-001, -1.56201497e-001
1.06639571e-001, -1.45626068e-001
1.03599988e-001, -1.35043561e-001
1.00561649e-001, -1.24598011e-001
9.76000205e-002, -1.14489555e-001
9.46396366e-002, -1.04463741e-001
9.16805938e-002, -9.43912864e-002
8.88069421e-002, -8.43212008e-002
8.59347060e-002, -7.40430132e-002
8.30639675e-002, -6.35440424e-002
8.02870244e-002, -5.29757030e-002
7.75116459e-002, -4.21930701e-002
7.47378841e-002, -3.12891193e-002
7.20659867e-002, -2.04625055e-002
6.93957806e-002, -9.45435930e-003
6.67273626e-002, 1.75509288e-003
6.41686171e-002, 1.30489646e-002
6.16117939e-002, 2.47383676e-002
5.90570085e-002, 3.68247740e-002
5.66193685e-002, 4.90729399e-002
5.41838780e-002, 6.17765523e-002
5.17506935e-002, 7.48222694e-002
4.94416654e-002, 8.79349932e-002
4.71350625e-002, 1.01576068e-001
4.48310748e-002, 1.15653418e-001
4.26579304e-002, 1.29846469e-001
4.04875576e-002, 1.44701287e-001
3.83202396e-002, 1.60102189e-001
3.62900198e-002, 1.75630897e-001
3.42630520e-002, 1.92028582e-001
3.22397351e-002, 2.09167153e-001
3.03593520e-002, 2.26592347e-001
2.84829214e-002, 2.45228916e-001
2.66109183e-002, 2.64852256e-001
2.48872228e-002, 2.84924239e-001
2.31683645e-002, 3.06731552e-001
2.14550029e-002, 3.29837620e-001
1.98947676e-002, 3.53260696e-001
1.83404498e-002, 3.78711015e-001
1.67930424e-002, 4.06041592e-001
1.54029010e-002, 4.34777170e-001
1.40203433e-002, 4.66555089e-001
1.26466723e-002, 4.98531669e-001
1.14335427e-002, 5.30056357e-001
1.02301827e-002, 5.65891981e-001
9.03850142e-003, 6.04200602e-001
8.01008567e-003, 6.44188404e-001
6.99500507e-003, 6.88574314e-001
5.99604845e-003, 7.36625075e-001
5.16119692e-003, 7.83274949e-001
4.34460491e-003, 8.36077988e-001
3.55135743e-003, 8.92373800e-001
2.92125321e-003, 9.45036590e-001
2.31772056e-003, 1.00071871e+000
1.74647465e-003, 1.05405045e+000
1.33208663e-003, 1.09528029e+000
9.52080358e-004, 1.12945127e+000
6.17176760e-004, 1.14206898e+000
4.11194284e-004, 1.13353026e+000
2.39835441e-004, 1.10335386e+000
1.09440669e-004, 1.04641664e+000
5.35317267e-005, 9.82422233e-001
1.63861550e-005, 9.14554477e-001
-1.71443799e-006, 8.44752789e-001
-3.21501875e-006, 8.00722599e-001
-2.64121991e-006, 7.71451533e-001
3.98867206e-016, 7.42746353e-001
2.77981667e-006, 7.16956019e-001
7.01078625e-006, 6.94905758e-001
2.46720156e-005, 6.39708340e-001
5.21577349e-005, 5.47720015e-001
