[Name]
Series 1 at PressurePorts

[Data]
X [ m ],Cp [ m s^-1 ]
3.56211931e-001, -2.03411296e-001
3.59661788e-001, -1.89103425e-001
3.63110214e-001, -1.74820349e-001
3.66759926e-001, -1.59613684e-001
3.70408028e-001, -1.44311368e-001
3.74213696e-001, -1.28194690e-001
3.78017694e-001, -1.12033717e-001
3.81935686e-001, -9.53435153e-002
3.85851890e-001, -7.86137506e-002
3.89824003e-001, -6.15303777e-002
3.93794179e-001, -4.43209633e-002
3.97805721e-001, -2.68087033e-002
4.01815295e-001, -9.22825839e-003
4.05822694e-001, 8.43896810e-003
4.09827888e-001, 2.62038969e-002
4.13758993e-001, 4.36706990e-002
4.17687804e-001, 6.11168407e-002
4.21556681e-001, 7.82489181e-002
4.25423235e-001, 9.52437446e-002
4.29201186e-001, 1.11609854e-001
4.32976395e-001, 1.27704993e-001
4.36633974e-001, 1.42914027e-001
4.40288454e-001, 1.57887518e-001
4.43839282e-001, 1.70907557e-001
4.47385222e-001, 1.88264847e-001
4.44537848e-001, 2.29250073e-001
4.41688150e-001, 2.49485880e-001
4.38836426e-001, 2.65101671e-001
4.36001062e-001, 2.76783973e-001
4.33164060e-001, 2.85669535e-001
4.30325717e-001, 2.92260438e-001
4.27347809e-001, 2.97444254e-001
4.24368978e-001, 3.01085502e-001
4.21389431e-001, 3.03315818e-001
4.18265343e-001, 3.04360718e-001
4.15140986e-001, 3.04386109e-001
4.12016511e-001, 3.04062009e-001
4.08892065e-001, 3.03043365e-001
4.05767798e-001, 3.01395416e-001
4.02643830e-001, 2.99232990e-001
3.99520189e-001, 2.96614230e-001
3.96396995e-001, 2.93548584e-001
3.93274307e-001, 2.90071458e-001
3.90152186e-001, 2.86264032e-001
3.87030602e-001, 2.82180309e-001
3.83909643e-001, 2.77834803e-001
3.80789310e-001, 2.73241341e-001
3.77669603e-001, 2.68411726e-001
3.74550551e-001, 2.63350397e-001
3.71432126e-001, 2.58080989e-001
3.68314385e-001, 2.52623260e-001
3.65197271e-001, 2.46986657e-001
3.62080783e-001, 2.41183281e-001
3.58964950e-001, 2.35229671e-001
3.55849713e-001, 2.29134366e-001
3.52735072e-001, 2.22885579e-001
3.49621058e-001, 2.16458797e-001
3.46507609e-001, 2.09834248e-001
3.43394786e-001, 2.03007802e-001
3.40282530e-001, 1.95970014e-001
3.37170839e-001, 1.88703179e-001
3.34059685e-001, 1.81197241e-001
3.30949068e-001, 1.73460200e-001
3.27838898e-001, 1.65517122e-001
3.24729204e-001, 1.57369778e-001
3.21619898e-001, 1.49025261e-001
3.18510950e-001, 1.40498340e-001
3.15402329e-001, 1.31804630e-001
3.12293977e-001, 1.22940324e-001
3.09185892e-001, 1.13890648e-001
3.06078017e-001, 1.04655899e-001
3.02970290e-001, 9.52511281e-002
2.99862683e-001, 8.56860727e-002
2.96755165e-001, 7.59607479e-002
2.93647677e-001, 6.60748482e-002
2.90540159e-001, 5.60354553e-002
2.87432611e-001, 4.58458215e-002
2.84325004e-001, 3.55021097e-002
2.81217247e-001, 2.50063837e-002
2.78109312e-001, 1.43565768e-002
2.75001198e-001, 3.55150970e-003
2.71892846e-001, -7.42151029e-003
2.68784225e-001, -1.85804889e-002
2.65675306e-001, -2.99328044e-002
2.62566060e-001, -4.14834768e-002
2.59456426e-001, -5.32295518e-002
2.56346375e-001, -6.51692599e-002
2.53235877e-001, -7.72963986e-002
2.50124902e-001, -8.95994678e-002
2.47013390e-001, -1.02081701e-001
2.43901327e-001, -1.14746355e-001
2.40788683e-001, -1.27596363e-001
2.37675428e-001, -1.40632942e-001
2.34561518e-001, -1.53854281e-001
2.31446952e-001, -1.67225286e-001
2.28331670e-001, -1.80691913e-001
2.25215673e-001, -1.94174781e-001
2.22098917e-001, -2.07631677e-001
2.18981400e-001, -2.21005470e-001
2.15863109e-001, -2.34228149e-001
2.12744072e-001, -2.47171879e-001
2.09624276e-001, -2.59693533e-001
2.06503764e-001, -2.71682233e-001
2.03382552e-001, -2.83071280e-001
2.00260684e-001, -2.93888450e-001
1.97138235e-001, -3.04167092e-001
1.94015235e-001, -3.13946128e-001
1.90891773e-001, -3.23059142e-001
1.87767923e-001, -3.31220776e-001
1.84643760e-001, -3.38031888e-001
1.81519404e-001, -3.42968047e-001
1.78394943e-001, -3.45587701e-001
1.74876586e-001, -3.47306490e-001
1.71358377e-001, -3.47567111e-001
1.67840481e-001, -3.47065032e-001
1.64519697e-001, -3.44627351e-001
1.61199480e-001, -3.40559304e-001
1.57879919e-001, -3.34978908e-001
1.54581100e-001, -3.27952951e-001
1.51283175e-001, -3.19582164e-001
1.47986203e-001, -3.10002923e-001
1.44719869e-001, -2.99400955e-001
1.41454637e-001, -2.88026631e-001
1.38190523e-001, -2.76210010e-001
1.34966627e-001, -2.64189273e-001
1.31743878e-001, -2.51975805e-001
1.28522277e-001, -2.39691198e-001
1.25350282e-001, -2.27546334e-001
1.22179434e-001, -2.15554684e-001
1.19009741e-001, -2.03865275e-001
1.15898818e-001, -1.92677379e-001
1.12789012e-001, -1.81779325e-001
1.09680362e-001, -1.70997277e-001
1.06639571e-001, -1.60345703e-001
1.03599988e-001, -1.49714783e-001
1.00561649e-001, -1.39232352e-001
9.76000205e-002, -1.29071638e-001
9.46396366e-002, -1.18991517e-001
9.16805938e-002, -1.08872131e-001
8.88069421e-002, -9.87607166e-002
8.59347060e-002, -8.84568542e-002
8.30639675e-002, -7.79195130e-002
8.02870244e-002, -6.73145726e-002
7.75116459e-002, -5.65186515e-002
7.47378841e-002, -4.55961078e-002
7.20659867e-002, -3.47582772e-002
