[Name]
Series 1 at PressurePorts

[Data]
X [ m ],Cp [ m s^-1 ]
3.56211931e-001, -2.12038890e-001
3.59661788e-001, -1.98197976e-001
3.63110214e-001, -1.84312493e-001
3.66759926e-001, -1.69527024e-001
3.70408028e-001, -1.54604316e-001
3.74213696e-001, -1.38864264e-001
3.78017694e-001, -1.22995228e-001
3.81935686e-001, -1.06553555e-001
3.85851890e-001, -8.99997205e-002
3.89824003e-001, -7.30792806e-002
3.93794179e-001, -5.60236499e-002
3.97805721e-001, -3.86634022e-002
4.01815295e-001, -2.12022066e-002
4.05822694e-001, -3.65688605e-003
4.09827888e-001, 1.40935788e-002
4.13758993e-001, 3.16146947e-002
4.17687804e-001, 4.90938947e-002
4.21556681e-001, 6.62569702e-002
4.25423235e-001, 8.33713338e-002
4.29201186e-001, 9.99115929e-002
4.32976395e-001, 1.16221324e-001
4.36633974e-001, 1.31730556e-001
4.40288454e-001, 1.47034034e-001
4.43839282e-001, 1.59636706e-001
4.47385222e-001, 1.80354238e-001
4.44537848e-001, 2.34847128e-001
4.41688150e-001, 2.49993578e-001
4.38836426e-001, 2.64479160e-001
4.36001062e-001, 2.75014728e-001
4.33164060e-001, 2.83068478e-001
4.30325717e-001, 2.89038330e-001
4.27347809e-001, 2.93526143e-001
4.24368978e-001, 2.96550483e-001
4.21389431e-001, 2.98293769e-001
4.18265343e-001, 2.98903286e-001
4.15140986e-001, 2.98836291e-001
4.12016511e-001, 2.98299074e-001
4.08892065e-001, 2.97044873e-001
4.05767798e-001, 2.95191497e-001
4.02643830e-001, 2.92864352e-001
3.99520189e-001, 2.90098310e-001
3.96396995e-001, 2.86898941e-001
3.93274307e-001, 2.83323228e-001
3.90152186e-001, 2.79448211e-001
3.87030602e-001, 2.75305748e-001
3.83909643e-001, 2.70897955e-001
3.80789310e-001, 2.66252846e-001
3.77669603e-001, 2.61388987e-001
3.74550551e-001, 2.56296396e-001
3.71432126e-001, 2.50991255e-001
3.68314385e-001, 2.45503426e-001
3.65197271e-001, 2.39854127e-001
3.62080783e-001, 2.34053105e-001
3.58964950e-001, 2.28100076e-001
3.55849713e-001, 2.21982047e-001
3.52735072e-001, 2.15692237e-001
3.49621058e-001, 2.09216446e-001
3.46507609e-001, 2.02541143e-001
3.43394786e-001, 1.95648283e-001
3.40282530e-001, 1.88519880e-001
3.37170839e-001, 1.81159467e-001
3.34059685e-001, 1.73571482e-001
3.30949068e-001, 1.65762708e-001
3.27838898e-001, 1.57742292e-001
3.24729204e-001, 1.49522930e-001
3.21619898e-001, 1.41122326e-001
3.18510950e-001, 1.32551715e-001
3.15402329e-001, 1.23805180e-001
3.12293977e-001, 1.14879176e-001
3.09185892e-001, 1.05769284e-001
3.06078017e-001, 9.64799225e-002
3.02970290e-001, 8.70223194e-002
2.99862683e-001, 7.74011910e-002
2.96755165e-001, 6.76250905e-002
2.93647677e-001, 5.76907806e-002
2.90540159e-001, 4.76012118e-002
2.87432611e-001, 3.73563804e-002
2.84325004e-001, 2.69551091e-002
2.81217247e-001, 1.63947400e-002
2.78109312e-001, 5.66789322e-003
2.75001198e-001, -5.22513501e-003
2.71892846e-001, -1.62993986e-002
2.68784225e-001, -2.75714286e-002
2.65675306e-001, -3.90450582e-002
2.62566060e-001, -5.07211797e-002
2.59456426e-001, -6.25953600e-002
2.56346375e-001, -7.46661201e-002
2.53235877e-001, -8.69314075e-002
2.50124902e-001, -9.93785188e-002
2.47013390e-001, -1.12015419e-001
2.43901327e-001, -1.24838576e-001
2.40788683e-001, -1.37848869e-001
2.37675428e-001, -1.51030079e-001
2.34561518e-001, -1.64375395e-001
2.31446952e-001, -1.77819893e-001
2.28331670e-001, -1.91284165e-001
2.25215673e-001, -2.04671100e-001
2.22098917e-001, -2.17914879e-001
2.18981400e-001, -2.30946124e-001
2.15863109e-001, -2.43697852e-001
2.12744072e-001, -2.56078541e-001
2.09624276e-001, -2.67981648e-001
2.06503764e-001, -2.79327035e-001
2.03382552e-001, -2.89997071e-001
2.00260684e-001, -2.99907476e-001
1.97138235e-001, -3.08935732e-001
1.94015235e-001, -3.17017555e-001
1.90891773e-001, -3.23977858e-001
1.87767923e-001, -3.29760283e-001
1.84643760e-001, -3.34297359e-001
1.81519404e-001, -3.37293357e-001
1.78394943e-001, -3.38155568e-001
1.74876586e-001, -3.38134021e-001
1.71358377e-001, -3.36586416e-001
1.67840481e-001, -3.33520770e-001
1.64519697e-001, -3.29135388e-001
1.61199480e-001, -3.23433250e-001
1.57879919e-001, -3.16447735e-001
1.54581100e-001, -3.08337718e-001
1.51283175e-001, -2.99187541e-001
1.47986203e-001, -2.89122313e-001
1.44719869e-001, -2.78374076e-001
1.41454637e-001, -2.67129779e-001
1.38190523e-001, -2.55637258e-001
1.34966627e-001, -2.44077146e-001
1.31743878e-001, -2.32446492e-001
1.28522277e-001, -2.20866889e-001
1.25350282e-001, -2.09476501e-001
1.22179434e-001, -1.98220402e-001
1.19009741e-001, -1.87255353e-001
1.15898818e-001, -1.76741332e-001
1.12789012e-001, -1.66398793e-001
1.09680362e-001, -1.56129465e-001
1.06639571e-001, -1.46002114e-001
1.03599988e-001, -1.35864139e-001
1.00561649e-001, -1.25851318e-001
9.76000205e-002, -1.16131887e-001
9.46396366e-002, -1.06373206e-001
9.16805938e-002, -9.64935049e-002
8.88069421e-002, -8.66321027e-002
8.59347060e-002, -7.65496194e-002
8.30639675e-002, -6.62596226e-002
8.02870244e-002, -5.59722893e-002
7.75116459e-002, -4.54795137e-002
7.47378841e-002, -3.48568633e-002
7.20659867e-002, -2.43245363e-002
6.93957806e-002, -1.35451490e-002
6.67273626e-002, -2.50542001e-003
6.41686171e-002, 8.58360250e-003
6.16117939e-002, 2.01062318e-002
5.90570085e-002, 3.20270509e-002
5.66193685e-002, 4.40113284e-002
5.41838780e-002, 5.64711317e-002
5.17506935e-002, 6.92792311e-002
4.94416654e-002, 8.20826143e-002
4.71350625e-002, 9.54787061e-002
4.48310748e-002, 1.09321386e-001
4.26579304e-002, 1.23181775e-001
4.04875576e-002, 1.37786895e-001
3.83202396e-002, 1.52961686e-001
3.62900198e-002, 1.68146506e-001
3.42630520e-002, 1.84349090e-001
3.22397351e-002, 2.01326206e-001
3.03593520e-002, 2.18452081e-001
2.84829214e-002, 2.36953169e-001
2.66109183e-002, 2.56439835e-001
2.48872228e-002, 2.76183009e-001
2.31683645e-002, 2.97813207e-001
2.14550029e-002, 3.20767552e-001
1.98947676e-002, 3.43867421e-001
1.83404498e-002, 3.69368821e-001
1.67930424e-002, 3.96539986e-001
1.54029010e-002, 4.24014598e-001
1.40203433e-002, 4.54851806e-001
1.26466723e-002, 4.87444133e-001
1.14335427e-002, 5.19987404e-001
1.02301827e-002, 5.56763470e-001
9.03850142e-003, 5.95770776e-001
8.01008567e-003, 6.35302305e-001
6.99500507e-003, 6.80680275e-001
5.99604845e-003, 7.28624165e-001
5.16119692e-003, 7.75148273e-001
4.34460491e-003, 8.29194903e-001
3.55135743e-003, 8.84948730e-001
2.92125321e-003, 9.36975777e-001
2.31772056e-003, 9.94298756e-001
1.74647465e-003, 1.04637659e+000
1.33208663e-003, 1.08781457e+000
9.52080358e-004, 1.12529612e+000
6.17176760e-004, 1.13999331e+000
4.11194284e-004, 1.14372039e+000
2.39835441e-004, 1.14246571e+000
1.09440669e-004, 1.10915613e+000
5.35317267e-005, 1.06243658e+000
1.63861550e-005, 1.01444566e+000
-1.71443799e-006, 9.44872200e-001
-3.21501875e-006, 9.08308625e-001
-2.64121991e-006, 8.81127417e-001
3.98867206e-016, 8.58151257e-001
2.77981667e-006, 8.41385782e-001
7.01078625e-006, 8.27208936e-001
2.46720156e-005, 7.87696660e-001
5.21577349e-005, 7.32923925e-001
1.18292359e-004, 6.42817676e-001
2.08396537e-004, 5.35727739e-001
3.70696827e-004, 4.00997400e-001
5.69916039e-004, 2.58086592e-001
8.70344113e-004, 1.04771607e-001
1.21277641e-003, -3.86574976e-002
1.67388574e-003, -1.74982995e-001
2.17247754e-003, -2.99742013e-001
2.79620453e-003, -4.01925415e-001
3.44848284e-003, -4.90322202e-001
4.22650296e-003, -5.65634131e-001
5.02687413e-003, -6.26252592e-001
5.95050585e-003, -6.75240517e-001
6.89103454e-003, -7.15486348e-001
7.95224775e-003, -7.47897863e-001
9.02624894e-003, -7.75178075e-001
1.02185318e-002, -7.95509815e-001
1.14202052e-002, -8.11398387e-001
1.27371550e-002, -8.24064612e-001
1.40615739e-002, -8.34334135e-001
1.54985478e-002, -8.41883719e-001
1.69414375e-002, -8.47656131e-001
1.84940025e-002, -8.51479650e-001
2.00512204e-002, -8.54919136e-001
2.17153355e-002, -8.57742310e-001
2.33833641e-002, -8.60391736e-001
2.51553617e-002, -8.62731457e-001
2.69307066e-002, -8.65245402e-001
2.88070478e-002, -8.67514372e-001
3.06862686e-002, -8.69867802e-001
3.26633342e-002, -8.72003675e-001
3.46428752e-002, -8.74258518e-001
3.67169417e-002, -8.76499414e-001
