[Name]
Series 1 at /POLYLINE:PressurePorts

[Data]
X [ m ],Shear [ Pa ]
3.28212112e-001, 5.58326874e+001
3.33127618e-001, 5.44385223e+001
3.38301718e-001, 5.30469360e+001
3.43792140e-001, 5.16233330e+001
3.49743217e-001, 5.00253029e+001
3.56211901e-001, 4.81100540e+001
3.63110155e-001, 4.59428062e+001
3.70407969e-001, 4.35156670e+001
3.78017664e-001, 4.08780632e+001
3.85851860e-001, 3.80995216e+001
3.93794149e-001, 3.51304245e+001
4.01815265e-001, 3.19891071e+001
4.09827858e-001, 2.86154938e+001
4.17687744e-001, 2.51199703e+001
4.25423205e-001, 2.14994946e+001
4.32976365e-001, 1.78977718e+001
4.40288424e-001, 1.38182468e+001
4.47385222e-001, 5.04572639e+001
4.38836247e-001, 4.93470345e+001
4.30325359e-001, 4.29835396e+001
4.21388924e-001, 4.01429596e+001
4.12015885e-001, 3.90439644e+001
4.02643144e-001, 3.86028061e+001
3.93273622e-001, 3.86105728e+001
3.83908957e-001, 3.90771828e+001
3.74549866e-001, 3.98168793e+001
3.65196615e-001, 4.07958527e+001
3.55849087e-001, 4.18987961e+001
3.46507043e-001, 4.31443672e+001
3.37170303e-001, 4.46122513e+001
3.27838421e-001, 4.63562431e+001
3.18510532e-001, 4.83328896e+001
3.09185505e-001, 5.04973564e+001
2.99862355e-001, 5.28860626e+001
2.90539891e-001, 5.54673920e+001
2.81217039e-001, 5.82338638e+001
2.71892697e-001, 6.11416321e+001
2.62565970e-001, 6.41704025e+001
2.53235847e-001, 6.73771210e+001
2.43901327e-001, 7.08604965e+001
2.34561563e-001, 7.49067383e+001
2.25215748e-001, 7.97592087e+001
2.15863198e-001, 8.51751785e+001
2.06503853e-001, 9.07166367e+001
1.97138309e-001, 9.56479111e+001
1.87767968e-001, 9.95644150e+001
1.78394943e-001, 1.03200500e+002
1.67739153e-001, 1.05836800e+002
1.57783642e-001, 1.07041382e+002
1.47895247e-001, 1.07186295e+002
1.38105109e-001, 1.06232742e+002
1.28442600e-001, 1.04958389e+002
1.18935913e-001, 1.03705589e+002
1.09612465e-001, 1.02889244e+002
1.00499734e-001, 1.02253456e+002
9.16246474e-002, 1.01878586e+002
8.30139518e-002, 1.01530296e+002
7.46937245e-002, 1.01124557e+002
6.66889474e-002, 1.00751907e+002
5.90241924e-002, 1.00158264e+002
5.17232716e-002, 9.93370743e+001
4.48088273e-002, 9.84192657e+001
3.83029096e-002, 9.73618317e+001
3.22270095e-002, 9.60676727e+001
2.66024619e-002, 9.44374771e+001
2.14504134e-002, 9.16441498e+001
1.67918727e-002, 8.58031387e+001
1.26483822e-002, 7.65364380e+001
9.04244836e-003, 6.43378220e+001
