[Name]
Series 1 at /POLYLINE:PressurePorts

[Data]
X [ m ],shearwall [ Pa ]
3.56211931e-001, 6.01064377e+001
3.59661788e-001, 5.91677284e+001
3.63110214e-001, 5.81786919e+001
3.66759926e-001, 5.71491165e+001
3.70408028e-001, 5.60502701e+001
3.74213696e-001, 5.49177780e+001
3.78017694e-001, 5.37499008e+001
3.81935686e-001, 5.25497589e+001
3.85851890e-001, 5.13073082e+001
3.89824003e-001, 5.00131302e+001
3.93794179e-001, 4.86538620e+001
3.97805721e-001, 4.72498016e+001
4.01815295e-001, 4.58138733e+001
4.05822694e-001, 4.42870483e+001
4.09827888e-001, 4.26892662e+001
4.13758993e-001, 4.10770264e+001
4.17687804e-001, 3.93921661e+001
4.21556681e-001, 3.76335564e+001
4.25423235e-001, 3.58205032e+001
4.29201186e-001, 3.40045204e+001
4.32976395e-001, 3.20197716e+001
4.36633974e-001, 3.01344414e+001
4.40288454e-001, 2.80361176e+001
4.43839282e-001, 2.43986206e+001
4.47385222e-001, 3.59379082e+001
4.44537848e-001, 7.11540604e+001
4.41688150e-001, 5.77917633e+001
4.38836426e-001, 5.62262230e+001
4.36001062e-001, 5.43751221e+001
4.33164060e-001, 5.28904686e+001
4.30325717e-001, 5.16404610e+001
4.27347809e-001, 5.06146240e+001
4.24368978e-001, 4.97632332e+001
4.21389431e-001, 4.90638695e+001
4.18265343e-001, 4.85172691e+001
4.15140986e-001, 4.80724525e+001
4.12016511e-001, 4.76888275e+001
4.08892065e-001, 4.73661385e+001
4.05767798e-001, 4.71251411e+001
4.02643830e-001, 4.69530144e+001
3.99520189e-001, 4.68317566e+001
3.96396995e-001, 4.67622719e+001
3.93274307e-001, 4.67505798e+001
3.90152186e-001, 4.67820015e+001
3.87030602e-001, 4.68497734e+001
3.83909643e-001, 4.69434586e+001
3.80789310e-001, 4.70697784e+001
3.77669603e-001, 4.72150536e+001
3.74550551e-001, 4.73824158e+001
3.71432126e-001, 4.75763817e+001
3.68314385e-001, 4.77928467e+001
3.65197271e-001, 4.80262489e+001
3.62080783e-001, 4.82704506e+001
3.58964950e-001, 4.85230675e+001
3.55849713e-001, 4.87831001e+001
3.52735072e-001, 4.90544891e+001
3.49621058e-001, 4.93326302e+001
3.46507609e-001, 4.96252708e+001
3.43394786e-001, 4.99266281e+001
3.40282530e-001, 5.02500877e+001
3.37170839e-001, 5.05933380e+001
3.34059685e-001, 5.09612198e+001
3.30949068e-001, 5.13503838e+001
3.27838898e-001, 5.17625847e+001
3.24729204e-001, 5.21967506e+001
3.21619898e-001, 5.26500587e+001
3.18510950e-001, 5.31203384e+001
3.15402329e-001, 5.36028671e+001
3.12293977e-001, 5.40993767e+001
3.09185892e-001, 5.46127396e+001
3.06078017e-001, 5.51441956e+001
3.02970290e-001, 5.56923828e+001
2.99862683e-001, 5.62560539e+001
2.96755165e-001, 5.68332443e+001
2.93647677e-001, 5.74233170e+001
2.90540159e-001, 5.80266342e+001
2.87432611e-001, 5.86419983e+001
2.84325004e-001, 5.92708282e+001
2.81217247e-001, 5.99117851e+001
2.78109312e-001, 6.05653610e+001
2.75001198e-001, 6.12343216e+001
2.71892846e-001, 6.19129219e+001
2.68784225e-001, 6.26054764e+001
2.65675306e-001, 6.33210640e+001
2.62566060e-001, 6.40524368e+001
2.59456426e-001, 6.48144760e+001
2.56346375e-001, 6.55894699e+001
2.53235877e-001, 6.63966904e+001
2.50124902e-001, 6.72194977e+001
2.47013390e-001, 6.80689392e+001
2.43901327e-001, 6.89461517e+001
2.40788683e-001, 6.98497467e+001
2.37675428e-001, 7.07916336e+001
2.34561518e-001, 7.17587967e+001
2.31446952e-001, 7.28000641e+001
2.28331670e-001, 7.38445206e+001
2.25215673e-001, 7.49618073e+001
2.22098917e-001, 7.60708389e+001
2.18981400e-001, 7.72509003e+001
2.15863109e-001, 7.84230804e+001
2.12744072e-001, 7.96462936e+001
2.09624276e-001, 8.08554688e+001
2.06503764e-001, 8.20621643e+001
2.03382552e-001, 8.32502136e+001
2.00260684e-001, 8.44292679e+001
1.97138235e-001, 8.56072235e+001
1.94015235e-001, 8.67914047e+001
1.90891773e-001, 8.79888535e+001
1.87767923e-001, 8.91566315e+001
1.84643760e-001, 9.02928543e+001
1.81519404e-001, 9.13714600e+001
1.78394943e-001, 9.24301758e+001
1.74876586e-001, 9.33042221e+001
1.71358377e-001, 9.41470413e+001
1.67840481e-001, 9.48808899e+001
1.64519697e-001, 9.55639191e+001
1.61199480e-001, 9.61125488e+001
1.57879919e-001, 9.65495987e+001
1.54581100e-001, 9.68861389e+001
1.51283175e-001, 9.71119308e+001
1.47986203e-001, 9.72031403e+001
1.44719869e-001, 9.71865768e+001
1.41454637e-001, 9.70771942e+001
1.38190523e-001, 9.68965378e+001
1.34966627e-001, 9.66810303e+001
1.31743878e-001, 9.64297714e+001
1.28522277e-001, 9.61527634e+001
1.25350282e-001, 9.58654022e+001
1.22179434e-001, 9.55748062e+001
1.19009741e-001, 9.52834015e+001
1.15898818e-001, 9.50417328e+001
1.12789012e-001, 9.48555908e+001
1.09680362e-001, 9.46847687e+001
1.06639571e-001, 9.45282593e+001
1.03599988e-001, 9.43728867e+001
1.00561649e-001, 9.42118607e+001
9.76000205e-002, 9.41004715e+001
9.46396366e-002, 9.40388489e+001
9.16805938e-002, 9.39811707e+001
8.88069421e-002, 9.39388046e+001
8.59347060e-002, 9.39000015e+001
8.30639675e-002, 9.38432541e+001
8.02870244e-002, 9.37861862e+001
7.75116459e-002, 9.37273102e+001
7.47378841e-002, 9.36576614e+001
7.20659867e-002, 9.36184616e+001
6.93957806e-002, 9.35993042e+001
6.67273626e-002, 9.35747528e+001
6.41686171e-002, 9.35729980e+001
6.16117939e-002, 9.35649033e+001
5.90570085e-002, 9.35293961e+001
5.66193685e-002, 9.34995956e+001
5.41838780e-002, 9.34606247e+001
5.17506935e-002, 9.33904953e+001
4.94416654e-002, 9.33640213e+001
4.71350625e-002, 9.33232346e+001
4.48310748e-002, 9.32534561e+001
4.26579304e-002, 9.32304993e+001
4.04875576e-002, 9.31929169e+001
3.83202396e-002, 9.31216888e+001
3.62900198e-002, 9.31319351e+001
3.42630520e-002, 9.31204834e+001
3.22397351e-002, 9.31007919e+001
3.03593520e-002, 9.31910858e+001
2.84829214e-002, 9.31717148e+001
2.66109183e-002, 9.32266617e+001
2.48872228e-002, 9.34172211e+001
2.31683645e-002, 9.34330673e+001
2.14550029e-002, 9.36927032e+001
1.98947676e-002, 9.40945129e+001
1.83404498e-002, 9.48236084e+001
1.67930424e-002, 9.45127869e+001
1.54029010e-002, 9.64779434e+001
1.40203433e-002, 8.76542435e+001
1.26466723e-002, 6.17979927e+001
1.14335427e-002, 2.96162853e+001
1.02301827e-002, 1.60968819e+001
9.03850142e-003, 1.13665991e+001
8.01008567e-003, 8.98190975e+000
6.99500507e-003, 7.31469584e+000
5.99604845e-003, 6.03250504e+000
5.16119692e-003, 5.11143732e+000
4.34460491e-003, 4.32501221e+000
3.55135743e-003, 3.58218503e+000
2.92125321e-003, 2.95286059e+000
2.31772056e-003, 2.31488490e+000
1.74647465e-003, 1.65540969e+000
1.33208663e-003, 1.09605145e+000
9.52080358e-004, 5.30603766e-001
6.17176760e-004, 3.50944661e-002
4.11194284e-004, 4.19148952e-001
2.39835441e-004, 9.92109179e-001
1.09440669e-004, 1.69643295e+000
5.35317267e-005, 2.18473053e+000
1.63861550e-005, 2.59245968e+000
-1.71443799e-006, 3.03030157e+000
-3.21501875e-006, 3.12518597e+000
-2.64121991e-006, 3.22031069e+000
3.98867206e-016, 3.32042003e+000
2.77981667e-006, 3.36473179e+000
7.01078625e-006, 3.40267611e+000
2.46720156e-005, 3.53553438e+000
5.21577349e-005, 3.63160968e+000
1.18292359e-004, 3.83569193e+000
2.08396537e-004, 3.93882895e+000
3.70696827e-004, 4.08578253e+000
5.69916039e-004, 4.13728333e+000
8.70344113e-004, 4.21267128e+000
1.21277641e-003, 4.27830362e+000
1.67388574e-003, 4.35948515e+000
2.17247754e-003, 4.38190985e+000
2.79620453e-003, 4.39976168e+000
3.44848284e-003, 4.36078739e+000
4.22650296e-003, 4.32757330e+000
5.02687413e-003, 4.29956865e+000
5.95050585e-003, 4.31821585e+000
6.89103454e-003, 4.34851551e+000
7.95224775e-003, 4.42246485e+000
9.02624894e-003, 4.51377106e+000
1.02185318e-002, 4.64861584e+000
1.14202052e-002, 4.81601143e+000
1.27371550e-002, 5.03488255e+000
1.40615739e-002, 5.29607916e+000
1.54985478e-002, 5.63459539e+000
1.69414375e-002, 6.04861641e+000
1.84940025e-002, 6.60514832e+000
2.00512204e-002, 7.29397345e+000
2.17153355e-002, 8.25419617e+000
2.33833641e-002, 9.49279213e+000
2.51553617e-002, 1.14232349e+001
2.69307066e-002, 1.40496902e+001
2.88070478e-002, 2.50137882e+001
3.06862686e-002, 1.25589325e+002
3.26633342e-002, 1.93027588e+002
3.46428752e-002, 1.95614502e+002
3.67169417e-002, 1.80246872e+002
3.87931876e-002, 1.72955521e+002
4.09605019e-002, 1.66139999e+002
4.31297570e-002, 1.61205002e+002
4.53864895e-002, 1.57108566e+002
4.76449206e-002, 1.53664658e+002
4.99870665e-002, 1.50794876e+002
5.23307137e-002, 1.48183701e+002
5.47541939e-002, 1.45841644e+002
5.71790263e-002, 1.43640152e+002
5.96796945e-002, 1.41683151e+002
6.21815734e-002, 1.39862228e+002
6.47551641e-002, 1.38234772e+002
6.73298314e-002, 1.36735474e+002
6.99719861e-002, 1.35367676e+002
7.26151168e-002, 1.34086090e+002
7.53213838e-002, 1.32902374e+002
7.80285224e-002, 1.31765015e+002
8.07943419e-002, 1.30701721e+002
8.35608989e-002, 1.29706131e+002
8.63815695e-002, 1.28796219e+002
8.92028883e-002, 1.27931229e+002
9.20737013e-002, 1.27104462e+002
9.49450806e-002, 1.26314133e+002
9.78612304e-002, 1.25569511e+002
1.00777857e-001, 1.24859688e+002
1.03734463e-001, 1.24196297e+002
1.06691487e-001, 1.23556541e+002
1.09683640e-001, 1.22948120e+002
1.12676144e-001, 1.22354332e+002
1.15698867e-001, 1.21784531e+002
1.18721873e-001, 1.21226387e+002
1.21770144e-001, 1.20682785e+002
1.24818645e-001, 1.20149605e+002
1.27887398e-001, 1.19636803e+002
1.30956337e-001, 1.19154030e+002
1.34040490e-001, 1.18701202e+002
1.37124777e-001, 1.18264961e+002
1.40219256e-001, 1.17840904e+002
1.43313810e-001, 1.17427269e+002
1.46448031e-001, 1.17023293e+002
1.49582282e-001, 1.16625107e+002
1.52724564e-001, 1.16224640e+002
1.55866832e-001, 1.15815414e+002
1.58756375e-001, 1.15416451e+002
1.61645859e-001, 1.15064476e+002
1.64151996e-001, 1.14719833e+002
1.66658059e-001, 1.14475121e+002
1.69016629e-001, 1.14211319e+002
1.71375126e-001, 1.13986458e+002
1.73645109e-001, 1.13749496e+002
1.75914988e-001, 1.13523476e+002
1.78111091e-001, 1.13309402e+002
1.80307075e-001, 1.13093681e+002
1.82458758e-001, 1.12881439e+002
1.84610337e-001, 1.12679451e+002
1.86717585e-001, 1.12479019e+002
1.88824728e-001, 1.12290184e+002
1.90917000e-001, 1.12105408e+002
1.93009153e-001, 1.11928947e+002
1.95071712e-001, 1.11758270e+002
1.97134122e-001, 1.11594429e+002
1.99166924e-001, 1.11436714e+002
2.01199576e-001, 1.11288338e+002
2.03232065e-001, 1.11141182e+002
2.05264390e-001, 1.10995056e+002
2.07267076e-001, 1.10848969e+002
2.09269598e-001, 1.10712830e+002
2.11271927e-001, 1.10578209e+002
2.13274062e-001, 1.10438271e+002
2.15261251e-001, 1.10284630e+002
2.17248246e-001, 1.10097992e+002
2.19235003e-001, 1.09824432e+002
2.21221521e-001, 1.09465538e+002
2.23193079e-001, 1.08900749e+002
2.25164384e-001, 1.07900162e+002
2.27135435e-001, 1.06210541e+002
2.29106188e-001, 1.03104820e+002
2.31091365e-001, 9.75302505e+001
2.33076245e-001, 8.85770874e+001
2.35046118e-001, 7.62515030e+001
2.37015665e-001, 6.25485878e+001
2.38984898e-001, 5.15425186e+001
2.40953788e-001, 4.51598549e+001
2.42922321e-001, 4.57393608e+001
2.44890481e-001, 4.86595650e+001
2.46858269e-001, 5.28988876e+001
2.48825669e-001, 5.76135368e+001
2.50792682e-001, 6.20666733e+001
2.52759278e-001, 6.58639603e+001
2.54740119e-001, 6.87761154e+001
2.56720543e-001, 7.07005081e+001
2.58700520e-001, 7.17731018e+001
2.60680079e-001, 7.22567444e+001
2.62673825e-001, 7.25856323e+001
2.64667124e-001, 7.29743652e+001
2.66659975e-001, 7.34803391e+001
2.68652350e-001, 7.40678864e+001
2.70644248e-001, 7.46482315e+001
2.72635728e-001, 7.51270828e+001
2.74641365e-001, 7.54570770e+001
2.76646525e-001, 7.56252975e+001
2.78665870e-001, 7.56308060e+001
2.80684739e-001, 7.55300064e+001
2.82717764e-001, 7.53511124e+001
2.84750313e-001, 7.51321106e+001
2.86797047e-001, 7.48932571e+001
2.88843274e-001, 7.46506805e+001
2.90903628e-001, 7.44081268e+001
2.92963505e-001, 7.41635666e+001
2.95052081e-001, 7.39045334e+001
2.97140181e-001, 7.36131668e+001
2.99256980e-001, 7.32813034e+001
3.01373243e-001, 7.29192657e+001
3.03503603e-001, 7.25242157e+001
3.05633456e-001, 7.21168900e+001
3.07791919e-001, 7.16907883e+001
3.09949845e-001, 7.12604065e+001
3.12150955e-001, 7.08264236e+001
3.14351529e-001, 7.03774033e+001
3.16609800e-001, 6.99152298e+001
3.18867475e-001, 6.94368820e+001
3.21168214e-001, 6.89355240e+001
3.23468328e-001, 6.84185638e+001
3.25840592e-001, 6.78816452e+001
3.28212142e-001, 6.73185501e+001
3.30670267e-001, 6.67328339e+001
3.33127648e-001, 6.61154938e+001
3.35715115e-001, 6.54809494e+001
3.38301778e-001, 6.48190613e+001
3.41047406e-001, 6.41444092e+001
3.43792170e-001, 6.34328995e+001
3.46768260e-001, 6.26926308e+001
3.49743247e-001, 6.18833275e+001
3.52978230e-001, 6.10258446e+001


