[Name]
Series 1 at /POLYLINE:PressurePorts

[Data]
X [ m ],shearwall [ Pa ]
3.56211931e-001, 4.34402275e+001
3.59661788e-001, 4.24329796e+001
3.63110214e-001, 4.13576813e+001
3.66759926e-001, 4.02079010e+001
3.70408028e-001, 3.89659615e+001
3.74213696e-001, 3.77029419e+001
3.78017694e-001, 3.64103889e+001
3.81935686e-001, 3.50738373e+001
3.85851890e-001, 3.36793404e+001
3.89824003e-001, 3.22305298e+001
3.93794179e-001, 3.07030411e+001
3.97805721e-001, 2.91500626e+001
4.01815295e-001, 2.75653973e+001
4.05822694e-001, 2.58883781e+001
4.09827888e-001, 2.41496010e+001
4.13758993e-001, 2.24431152e+001
4.17687804e-001, 2.06744881e+001
4.21556681e-001, 1.88716793e+001
4.25423235e-001, 1.70787334e+001
4.29201186e-001, 1.53122225e+001
4.32976395e-001, 1.35353584e+001
4.36633974e-001, 1.16454506e+001
4.40288454e-001, 1.00894661e+001
4.43839282e-001, 7.43196344e+000
4.47385222e-001, 5.43645630e+001
4.44537848e-001, 6.22002678e+001
4.41688150e-001, 5.36996422e+001
4.38836426e-001, 5.07006950e+001
4.36001062e-001, 4.80515747e+001
4.33164060e-001, 4.59804153e+001
4.30325717e-001, 4.42473755e+001
4.27347809e-001, 4.28275490e+001
4.24368978e-001, 4.16159782e+001
4.21389431e-001, 4.05755272e+001
4.18265343e-001, 3.97671204e+001
4.15140986e-001, 3.91654625e+001
4.12016511e-001, 3.86705589e+001
4.08892065e-001, 3.82169914e+001
4.05767798e-001, 3.78931351e+001
4.02643830e-001, 3.76613083e+001
3.99520189e-001, 3.74859047e+001
3.96396995e-001, 3.73652573e+001
3.93274307e-001, 3.73348312e+001
3.90152186e-001, 3.73692589e+001
3.87030602e-001, 3.74385757e+001
3.83909643e-001, 3.75313263e+001
3.80789310e-001, 3.76864433e+001
3.77669603e-001, 3.78498383e+001
3.74550551e-001, 3.80334854e+001
3.71432126e-001, 3.82750511e+001
3.68314385e-001, 3.85373764e+001
3.65197271e-001, 3.88217506e+001
3.62080783e-001, 3.91290207e+001
3.58964950e-001, 3.94499092e+001
3.55849713e-001, 3.97801170e+001
3.52735072e-001, 4.01280212e+001
3.49621058e-001, 4.04684486e+001
3.46507609e-001, 4.08476372e+001
3.43394786e-001, 4.12184792e+001
3.40282530e-001, 4.16252937e+001
3.37170839e-001, 4.20548859e+001
3.34059685e-001, 4.25231667e+001
3.30949068e-001, 4.30140038e+001
3.27838898e-001, 4.35462837e+001
3.24729204e-001, 4.41055565e+001
3.21619898e-001, 4.46903610e+001
3.18510950e-001, 4.53105850e+001
3.15402329e-001, 4.59436455e+001
3.12293977e-001, 4.65884666e+001
3.09185892e-001, 4.72535019e+001
3.06078017e-001, 4.79537964e+001
3.02970290e-001, 4.86780434e+001
2.99862683e-001, 4.94268188e+001
2.96755165e-001, 5.01802368e+001
2.93647677e-001, 5.09714203e+001
2.90540159e-001, 5.17827454e+001
2.87432611e-001, 5.25984001e+001
2.84325004e-001, 5.34441643e+001
2.81217247e-001, 5.43147202e+001
2.78109312e-001, 5.52023582e+001
2.75001198e-001, 5.61139526e+001
2.71892846e-001, 5.70310402e+001
2.68784225e-001, 5.79571190e+001
2.65675306e-001, 5.89264030e+001
2.62566060e-001, 5.99092674e+001
2.59456426e-001, 6.09679527e+001
2.56346375e-001, 6.20132637e+001
2.53235877e-001, 6.31243439e+001
2.50124902e-001, 6.42486496e+001
2.47013390e-001, 6.54124985e+001
2.43901327e-001, 6.66163940e+001
2.40788683e-001, 6.78358002e+001
2.37675428e-001, 6.91279221e+001
2.34561518e-001, 7.04237595e+001
2.31446952e-001, 7.18447037e+001
2.28331670e-001, 7.32470779e+001
2.25215673e-001, 7.47690811e+001
2.22098917e-001, 7.62623749e+001
2.18981400e-001, 7.78484879e+001
2.15863109e-001, 7.94087677e+001
2.12744072e-001, 8.10653534e+001
2.09624276e-001, 8.26821213e+001
2.06503764e-001, 8.43284683e+001
2.03382552e-001, 8.59395676e+001
2.00260684e-001, 8.75435333e+001
1.97138235e-001, 8.91270523e+001
1.94015235e-001, 9.06902161e+001
1.90891773e-001, 9.22982483e+001
1.87767923e-001, 9.38400497e+001
1.84643760e-001, 9.53632584e+001
1.81519404e-001, 9.67577286e+001
1.78394943e-001, 9.83530884e+001
1.74876586e-001, 9.95936737e+001
1.71358377e-001, 1.00730270e+002
1.67840481e-001, 1.01730652e+002
1.64519697e-001, 1.02649628e+002
1.61199480e-001, 1.03409828e+002
1.57879919e-001, 1.04001251e+002
1.54581100e-001, 1.04453964e+002
1.51283175e-001, 1.04791046e+002
1.47986203e-001, 1.04957230e+002
1.44719869e-001, 1.04966415e+002
1.41454637e-001, 1.04838066e+002
1.38190523e-001, 1.04584839e+002
1.34966627e-001, 1.04307487e+002
1.31743878e-001, 1.03981804e+002
1.28522277e-001, 1.03616463e+002
1.25350282e-001, 1.03244461e+002
1.22179434e-001, 1.02881111e+002
1.19009741e-001, 1.02441063e+002
1.15898818e-001, 1.02070137e+002
1.12789012e-001, 1.01845360e+002
1.09680362e-001, 1.01633537e+002
1.06639571e-001, 1.01467110e+002
1.03599988e-001, 1.01310036e+002
1.00561649e-001, 1.01056854e+002
9.76000205e-002, 1.00889091e+002
9.46396366e-002, 1.00843834e+002
9.16805938e-002, 1.00796616e+002
8.88069421e-002, 1.00772133e+002
8.59347060e-002, 1.00775627e+002
8.30639675e-002, 1.00734825e+002
8.02870244e-002, 1.00695000e+002
7.75116459e-002, 1.00672318e+002
7.47378841e-002, 1.00583679e+002
7.20659867e-002, 1.00543304e+002
6.93957806e-002, 1.00569664e+002
6.67273626e-002, 1.00552711e+002
6.41686171e-002, 1.00588387e+002
6.16117939e-002, 1.00645294e+002
5.90570085e-002, 1.00638138e+002
5.66193685e-002, 1.00627289e+002
5.41838780e-002, 1.00645882e+002
5.17506935e-002, 1.00531868e+002
4.94416654e-002, 1.00518768e+002
4.71350625e-002, 1.00501465e+002
4.48310748e-002, 1.00403618e+002
