[Name]
Series 1 at PressurePorts

[Data]
X [ m ],yplus
3.28212112e-001, 3.65116272e+001
3.33127618e-001, 3.62230225e+001
3.38301718e-001, 3.59296265e+001
3.43792140e-001, 3.56200714e+001
3.49743217e-001, 3.52574005e+001
3.56211901e-001, 3.47651978e+001
3.63110155e-001, 3.41841774e+001
3.70407969e-001, 3.34909439e+001
3.78017664e-001, 3.26771698e+001
3.85851860e-001, 3.17628021e+001
3.93794149e-001, 3.07097931e+001
4.01815265e-001, 2.95087051e+001
4.09827858e-001, 2.81036034e+001
4.17687744e-001, 2.65136700e+001
4.25423205e-001, 2.46885414e+001
4.32976365e-001, 2.26735535e+001
4.40288424e-001, 2.00481911e+001
4.47385222e-001, 3.66308670e+001
4.38836247e-001, 3.65371094e+001
4.30325359e-001, 3.45448723e+001
4.21388924e-001, 3.36650009e+001
4.12015885e-001, 3.33923569e+001
4.02643144e-001, 3.33209076e+001
3.93273622e-001, 3.33774414e+001
3.83908957e-001, 3.35804100e+001
3.74549866e-001, 3.38611298e+001
3.65196615e-001, 3.42122803e+001
3.55849087e-001, 3.45752182e+001
3.46507043e-001, 3.49659424e+001
3.37170303e-001, 3.54190521e+001
3.27838421e-001, 3.59478149e+001
3.18510532e-001, 3.65297928e+001
3.09185505e-001, 3.71458969e+001
2.99862355e-001, 3.78063889e+001
2.90539891e-001, 3.84920502e+001
2.81217039e-001, 3.91992111e+001
2.71892697e-001, 3.99231606e+001
2.62565970e-001, 4.06397552e+001
2.53235847e-001, 4.13803215e+001
2.43901327e-001, 4.21624947e+001
2.34561563e-001, 4.30375824e+001
2.25215748e-001, 4.40660400e+001
2.15863198e-001, 4.51659622e+001
2.06503853e-001, 4.62589073e+001
1.97138309e-001, 4.72330971e+001
1.87767968e-001, 4.80516357e+001
1.78394943e-001, 4.88632355e+001
1.67739153e-001, 4.93849792e+001
1.57783642e-001, 4.96814995e+001
1.47895247e-001, 4.98363342e+001
1.38105109e-001, 4.97630386e+001
1.28442600e-001, 4.96091537e+001
1.18935913e-001, 4.94220390e+001
1.09612465e-001, 4.92959099e+001
1.00499734e-001, 4.91657562e+001
