[Name]
Series 1 at PressurePorts

[Data]
X [ m ],yplus
3.28212112e-001, 3.52864151e+001
3.33127618e-001, 3.49768600e+001
3.38301718e-001, 3.46405869e+001
3.43792140e-001, 3.42691727e+001
3.49743217e-001, 3.38397484e+001
3.56211901e-001, 3.33333588e+001
3.63110155e-001, 3.27353439e+001
3.70407969e-001, 3.20286446e+001
3.78017664e-001, 3.12048950e+001
3.85851860e-001, 3.02567024e+001
3.93794149e-001, 2.91711941e+001
4.01815265e-001, 2.79303398e+001
4.09827858e-001, 2.65254135e+001
4.17687744e-001, 2.49500027e+001
4.25423205e-001, 2.31556187e+001
4.32976365e-001, 2.14378662e+001
4.40288424e-001, 1.89651604e+001
4.47385222e-001, 3.75955734e+001
4.38836247e-001, 3.71599007e+001
4.30325359e-001, 3.42432404e+001
4.21388924e-001, 3.36671524e+001
4.12015885e-001, 3.32591820e+001
4.02643144e-001, 3.30917130e+001
3.93273622e-001, 3.31065941e+001
3.83908957e-001, 3.32676849e+001
3.74549866e-001, 3.35274849e+001
3.65196615e-001, 3.38543739e+001
3.55849087e-001, 3.42263336e+001
3.46507043e-001, 3.46427460e+001
3.37170303e-001, 3.51180801e+001
3.27838421e-001, 3.56564407e+001
3.18510532e-001, 3.62491112e+001
3.09185505e-001, 3.68830719e+001
2.99862355e-001, 3.75489883e+001
2.90539891e-001, 3.82385254e+001
2.81217039e-001, 3.89517822e+001
2.71892697e-001, 3.96977844e+001
2.62565970e-001, 4.04841843e+001
2.53235847e-001, 4.13199921e+001
2.43901327e-001, 4.22061081e+001
2.34561563e-001, 4.31387405e+001
2.25215748e-001, 4.41098328e+001
2.15863198e-001, 4.50825615e+001
2.06503853e-001, 4.60155716e+001
1.97138309e-001, 4.68699493e+001
1.87767968e-001, 4.76019020e+001
1.78394943e-001, 4.81781769e+001
1.67739153e-001, 4.86490211e+001
1.57783642e-001, 4.89849472e+001
1.47895247e-001, 4.91480179e+001
1.38105109e-001, 4.91709976e+001
1.28442600e-001, 4.91010284e+001
1.18935913e-001, 4.89925957e+001
1.09612465e-001, 4.88882256e+001
1.00499734e-001, 4.87885818e+001
9.16246474e-002, 4.86859512e+001
8.30139518e-002, 4.85714493e+001
7.46937245e-002, 4.84202957e+001
6.66889474e-002, 4.82222519e+001
5.90241924e-002, 4.79515457e+001
5.17232716e-002, 4.75934906e+001
4.48088273e-002, 4.71527519e+001
3.83029096e-002, 4.66174660e+001
3.22270095e-002, 4.59703941e+001
2.66024619e-002, 4.51720047e+001
2.14504134e-002, 4.41603279e+001
1.67918727e-002, 4.28524513e+001
1.26483822e-002, 4.10759048e+001
9.04244836e-003, 3.85838814e+001
6.00137748e-003, 3.49397545e+001
3.55690881e-003, 3.00682926e+001
1.75081450e-003, 2.47785645e+001
6.19000522e-004, 1.84061508e+001
1.09668959e-004, 1.69274101e+001
-1.71360807e-006, 2.28658638e+001
3.98867206e-016, 2.67058945e+001
7.01100998e-006, 2.92613659e+001
5.21553884e-005, 3.26190948e+001
2.08455560e-004, 3.70421829e+001
5.70264878e-004, 4.09490204e+001
1.21362193e-003, 4.31725769e+001
2.17371434e-003, 4.51305809e+001
3.44971428e-003, 4.70914307e+001
5.02776494e-003, 4.80107803e+001
6.89126505e-003, 4.81788940e+001
9.02556162e-003, 4.80154076e+001
1.14183575e-002, 4.77614822e+001
1.40583962e-002, 4.75343819e+001
1.69367753e-002, 4.73387375e+001
2.00449321e-002, 4.72114029e+001
2.33753342e-002, 4.71283951e+001
2.69208234e-002, 4.70708313e+001
3.06744296e-002, 4.70177460e+001
3.46289910e-002, 4.69681969e+001
3.87771726e-002, 4.69199600e+001
4.31115329e-002, 4.68638077e+001
4.76244241e-002, 4.67875900e+001
5.23078889e-002, 4.66970978e+001
5.71538210e-002, 4.65937729e+001
6.21539503e-002, 4.64799614e+001
6.72997534e-002, 4.63613091e+001
7.25825578e-002, 4.62360001e+001
7.79934675e-002, 4.61015816e+001
8.35233554e-002, 4.59639282e+001
8.91628563e-002, 4.58275528e+001
9.49025601e-002, 4.56873856e+001
1.00732878e-001, 4.55490990e+001
1.06644079e-001, 4.54126740e+001
1.12626344e-001, 4.52736282e+001
1.18669748e-001, 4.51321259e+001
1.24764234e-001, 4.49912453e+001
1.30899698e-001, 4.48562012e+001
1.37066036e-001, 4.47255440e+001
1.43252999e-001, 4.45942688e+001
1.49582282e-001, 4.44622993e+001
1.55866832e-001, 4.43093338e+001
1.61645874e-001, 4.41480789e+001
1.66658059e-001, 4.40010719e+001
1.71375141e-001, 4.38694725e+001
1.75914988e-001, 4.37436981e+001
1.80307075e-001, 4.36187897e+001
1.84610337e-001, 4.34947433e+001
1.88824728e-001, 4.33704071e+001
1.93009153e-001, 4.32446060e+001
1.97134107e-001, 4.31153488e+001
2.01199561e-001, 4.29787216e+001
2.05264375e-001, 4.28349762e+001
2.09269583e-001, 4.26797905e+001
2.13274047e-001, 4.25141220e+001
2.17248231e-001, 4.23331108e+001
2.21221507e-001, 4.21366234e+001
2.25164369e-001, 4.19210052e+001
2.29106173e-001, 4.16828995e+001
2.33076230e-001, 4.14291306e+001
2.37015650e-001, 4.11584396e+001
2.40953773e-001, 4.08741455e+001
2.44890466e-001, 4.05761795e+001
2.48825654e-001, 4.02687378e+001
2.52759248e-001, 3.99542084e+001
2.56720513e-001, 3.96407928e+001
2.60680050e-001, 3.93280487e+001
2.64667124e-001, 3.90229836e+001
2.68652320e-001, 3.87285347e+001
2.72635698e-001, 3.84463196e+001
2.76646495e-001, 3.81783142e+001
2.80684710e-001, 3.79243889e+001
2.84750313e-001, 3.76826172e+001
2.88843244e-001, 3.74510956e+001
2.92963475e-001, 3.72257805e+001
2.97140151e-001, 3.70024719e+001
3.01373214e-001, 3.67792244e+001
3.05633426e-001, 3.65537643e+001
3.09949815e-001, 3.63236084e+001
3.14351499e-001, 3.60846634e+001
3.18867445e-001, 3.58349800e+001
3.23468298e-001, 3.55697784e+001


