[Name]
Series 1 at /POLYLINE:PressurePorts

[Data]
X [ m ],yplusvar
3.49743217e-001, 1.26038298e-001
3.56211901e-001, 1.23821907e-001
3.63110155e-001, 1.21302269e-001
3.70407969e-001, 1.21655397e-001
3.78017664e-001, 1.18108690e-001
3.85851860e-001, 1.13804981e-001
3.93794149e-001, 1.09127529e-001
4.01815265e-001, 1.03965238e-001
4.09827858e-001, 1.00907989e-001
4.17687744e-001, 9.04437900e-002
4.25423205e-001, 8.20425525e-002
4.32976365e-001, 7.28932172e-002
4.40288424e-001, 6.33328110e-002
4.47385222e-001, 2.29391187e-001
4.38836247e-001, 1.43961892e-001
4.30325359e-001, 1.35940447e-001
4.21388924e-001, 1.31183445e-001
4.12015885e-001, 1.28914535e-001
4.02643144e-001, 1.27490103e-001
3.93273622e-001, 1.25981480e-001
3.83908957e-001, 1.25726640e-001
3.74549866e-001, 1.26129150e-001
3.65196615e-001, 1.28146783e-001
3.55849087e-001, 1.28934622e-001
3.46507043e-001, 1.30083025e-001
3.37170303e-001, 1.31938145e-001
3.27838421e-001, 1.32913083e-001
3.18510532e-001, 1.34801283e-001
3.09185505e-001, 1.35404974e-001
2.99862355e-001, 1.37469038e-001
2.90539891e-001, 1.42664433e-001
2.81217039e-001, 1.45710737e-001
2.71892697e-001, 1.47770762e-001
2.62565970e-001, 1.48634002e-001
2.53235847e-001, 1.49662316e-001
2.43901327e-001, 1.52373523e-001
2.34561563e-001, 1.60265177e-001
2.25215748e-001, 1.64482221e-001
2.15863198e-001, 1.68302506e-001
2.06503853e-001, 1.72518820e-001
1.97138309e-001, 1.79099515e-001
1.87767968e-001, 1.79348737e-001
1.78394943e-001, 1.79319292e-001
1.67739153e-001, 1.81390196e-001
1.60567790e-001, 1.87630400e-001
1.53426617e-001, 1.89054698e-001
1.46327406e-001, 1.90243095e-001
1.39281631e-001, 1.88013107e-001
1.32300168e-001, 1.88383058e-001
1.25393674e-001, 1.88126028e-001
1.18572474e-001, 1.85764253e-001
1.11846730e-001, 1.86073154e-001
1.05226725e-001, 1.86527029e-001
9.87226367e-002, 1.86060846e-001
9.23443884e-002, 1.83053792e-001
8.61020088e-002, 1.83772281e-001
8.00053179e-002, 1.85589820e-001
7.40638077e-002, 1.85808629e-001
6.82867169e-002, 1.83048606e-001
6.26832247e-002, 1.82221293e-001
5.72623797e-002, 1.83149248e-001
5.20328805e-002, 1.82455614e-001
4.70031202e-002, 1.80004865e-001
4.21813503e-002, 1.78484112e-001
3.75756994e-002, 1.78000540e-001
3.31941172e-002, 1.76770955e-001
2.90445760e-002, 1.74840420e-001
2.51349807e-002, 1.73580706e-001
2.14732438e-002, 1.70807034e-001
1.80671103e-002, 1.68387592e-001
1.49245644e-002, 1.64828151e-001
1.20539349e-002, 1.58955693e-001
9.46367811e-003, 1.52862221e-001
7.16414768e-003, 1.46384075e-001
5.16661070e-003, 1.47063538e-001
3.48440628e-003, 1.47415593e-001
2.13459437e-003, 1.39551908e-001
1.13164762e-003, 1.06751181e-001
4.77956375e-004, 5.46024852e-002
1.35413808e-004, 1.48844346e-001
1.33542744e-005, 2.01115310e-001
-2.98472742e-006, 2.22570717e-001
3.98867206e-016, 2.19486266e-001
9.19101331e-006, 2.22587347e-001
3.83744882e-005, 2.37651035e-001
1.15228271e-004, 2.50172973e-001
2.74028920e-004, 2.53343523e-001
5.50044933e-004, 2.45625690e-001
9.72180977e-004, 2.31452420e-001
1.55708240e-003, 2.14332908e-001
2.31024344e-003, 1.96711838e-001
3.22862295e-003, 1.80010319e-001
4.30684444e-003, 1.69253886e-001
5.53948758e-003, 1.68394700e-001
6.91972021e-003, 1.67426482e-001
8.44224542e-003, 1.67089522e-001
1.01024900e-002, 1.66376427e-001
1.18955271e-002, 1.66746169e-001
1.38176978e-002, 1.66149557e-001
1.58655886e-002, 1.64779171e-001
1.80358998e-002, 1.65718913e-001
2.03254521e-002, 1.65978819e-001
2.27315277e-002, 1.66193783e-001
2.52513513e-002, 1.68439344e-001
2.78822891e-002, 1.67762950e-001
3.06216516e-002, 1.68123603e-001
3.34667116e-002, 1.67371660e-001
3.64146605e-002, 1.67832717e-001
3.94626968e-002, 1.68827385e-001
4.26079705e-002, 1.67904019e-001
4.58475612e-002, 1.69417068e-001
4.91784513e-002, 1.69673741e-001
5.25975898e-002, 1.69602141e-001
5.61018735e-002, 1.69994071e-001
5.96881546e-002, 1.69242978e-001
6.33532256e-002, 1.69799536e-001
6.70938045e-002, 1.68362409e-001
7.09065795e-002, 1.67691305e-001
7.47881830e-002, 1.71990633e-001
7.87351876e-002, 1.69986695e-001
8.27440619e-002, 1.69280514e-001
