[Name]
Series 1 at PressurePorts

[Data]
X [ m ],yplus
3.56211931e-001, 2.56118119e-001
3.59661788e-001, 2.50531018e-001
3.63110214e-001, 2.48023927e-001
3.66759926e-001, 2.45264202e-001
3.70408028e-001, 2.42098972e-001
3.74213696e-001, 2.38873914e-001
3.78017694e-001, 2.39245951e-001
3.81935686e-001, 2.31824309e-001
3.85851890e-001, 2.27879703e-001
3.89824003e-001, 2.23708093e-001
3.93794179e-001, 2.19035372e-001
3.97805721e-001, 2.17160448e-001
4.01815295e-001, 2.11850762e-001
4.05822694e-001, 2.06203133e-001
4.09827888e-001, 2.00257003e-001
4.13758993e-001, 1.93653166e-001
4.17687804e-001, 1.86445385e-001
4.21556681e-001, 1.78667367e-001
4.25423235e-001, 1.67237878e-001
4.29201186e-001, 1.58802867e-001
4.32976395e-001, 1.52264625e-001
4.36633974e-001, 1.41601637e-001
4.40288454e-001, 1.32437587e-001
4.43839282e-001, 1.15915418e-001
4.47385222e-001, 2.88818181e-001
4.44537848e-001, 3.11300457e-001
4.41688150e-001, 2.91000187e-001
4.38836426e-001, 2.87969947e-001
4.36001062e-001, 2.79426575e-001
4.33164060e-001, 2.73731768e-001
4.30325717e-001, 2.69953012e-001
4.27347809e-001, 2.66390800e-001
4.24368978e-001, 2.64205694e-001
4.21389431e-001, 2.61049926e-001
4.18265343e-001, 2.59791017e-001
4.15140986e-001, 2.57969677e-001
4.12016511e-001, 2.56770313e-001
4.08892065e-001, 2.56704032e-001
4.05767798e-001, 2.55118906e-001
4.02643830e-001, 2.54246563e-001
3.99520189e-001, 2.53843725e-001
3.96396995e-001, 2.54500479e-001
3.93274307e-001, 2.54251897e-001
3.90152186e-001, 2.54998982e-001
3.87030602e-001, 2.55476058e-001
3.83909643e-001, 2.53587306e-001
3.80789310e-001, 2.53919333e-001
3.77669603e-001, 2.56649017e-001
3.74550551e-001, 2.53723264e-001
3.71432126e-001, 2.54306614e-001
3.68314385e-001, 2.58741498e-001
3.65197271e-001, 2.58294493e-001
3.62080783e-001, 2.57895321e-001
3.58964950e-001, 2.58694440e-001
3.55849713e-001, 2.59563565e-001
3.52735072e-001, 2.62947738e-001
3.49621058e-001, 2.60948688e-001
3.46507609e-001, 2.61107147e-001
3.43394786e-001, 2.61988997e-001
3.40282530e-001, 2.62472063e-001
3.37170839e-001, 2.63499737e-001
3.34059685e-001, 2.65875041e-001
3.30949068e-001, 2.67046630e-001
3.27838898e-001, 2.68331766e-001
3.24729204e-001, 2.69659370e-001
3.21619898e-001, 2.71054745e-001
3.18510950e-001, 2.73302436e-001
3.15402329e-001, 2.74809182e-001
3.12293977e-001, 2.75488913e-001
3.09185892e-001, 2.77014762e-001
3.06078017e-001, 2.79475927e-001
3.02970290e-001, 2.81125724e-001
2.99862683e-001, 2.82812893e-001
2.96755165e-001, 2.82225370e-001
2.93647677e-001, 2.83948600e-001
2.90540159e-001, 2.85248995e-001
2.87432611e-001, 2.86969274e-001
2.84325004e-001, 2.89193630e-001
2.81217247e-001, 2.90994942e-001
2.78109312e-001, 2.96507120e-001
2.75001198e-001, 2.96949327e-001
2.71892846e-001, 2.98775136e-001
2.68784225e-001, 2.99698114e-001
2.65675306e-001, 2.97877043e-001
2.62566060e-001, 2.99719006e-001
2.59456426e-001, 3.04013759e-001
2.56346375e-001, 3.05944353e-001
2.53235877e-001, 3.07991534e-001
2.50124902e-001, 3.08948666e-001
2.47013390e-001, 3.11010212e-001
2.43901327e-001, 3.14221740e-001
2.40788683e-001, 3.13794404e-001
2.37675428e-001, 3.15990239e-001
2.34561518e-001, 3.18172574e-001
2.31446952e-001, 3.24659646e-001
2.28331670e-001, 3.23572785e-001
2.25215673e-001, 3.26070845e-001
2.22098917e-001, 3.29422116e-001
2.18981400e-001, 3.31231862e-001
2.15863109e-001, 3.33668947e-001
2.12744072e-001, 3.37121904e-001
2.09624276e-001, 3.40366244e-001
2.06503764e-001, 3.41637135e-001
2.03382552e-001, 3.44103068e-001
2.00260684e-001, 3.47167820e-001
1.97138235e-001, 3.48735243e-001
1.94015235e-001, 3.51088226e-001
1.90891773e-001, 3.50649595e-001
1.87767923e-001, 3.52982074e-001
1.84643760e-001, 3.59030068e-001
1.81519404e-001, 3.57643485e-001
1.78394943e-001, 3.60401511e-001
1.74876586e-001, 3.62530887e-001
1.71358377e-001, 3.64584684e-001
1.67840481e-001, 3.69913876e-001
1.64519697e-001, 3.71775448e-001
1.61199480e-001, 3.73834759e-001
1.57879919e-001, 3.74751776e-001
1.54581100e-001, 3.73090297e-001
1.51283175e-001, 3.74315500e-001
1.47986203e-001, 3.75313550e-001
1.44719869e-001, 3.76097381e-001
1.41454637e-001, 3.75663638e-001
1.38190523e-001, 3.76105845e-001
1.34966627e-001, 3.77410650e-001
1.31743878e-001, 3.77068698e-001
1.28522277e-001, 3.77327263e-001
1.25350282e-001, 3.75024289e-001
1.22179434e-001, 3.75251293e-001
1.19009741e-001, 3.75930667e-001
1.15898818e-001, 3.73136461e-001
1.12789012e-001, 3.73519868e-001
1.09680362e-001, 3.73891652e-001
1.06639571e-001, 3.72505307e-001
1.03599988e-001, 3.72980475e-001
1.00561649e-001, 3.72267008e-001
9.76000205e-002, 3.72680604e-001
9.46396366e-002, 3.69625688e-001
9.16805938e-002, 3.70248735e-001
8.88069421e-002, 3.72881979e-001
8.59347060e-002, 3.73613328e-001
8.30639675e-002, 3.72489363e-001
8.02870244e-002, 3.71327013e-001
7.75116459e-002, 3.72032523e-001
7.47378841e-002, 3.73763084e-001
7.20659867e-002, 3.72661054e-001
6.93957806e-002, 3.73467445e-001
6.67273626e-002, 3.71185541e-001
6.41686171e-002, 3.68957996e-001
6.16117939e-002, 3.69848609e-001
5.90570085e-002, 3.70417833e-001
5.66193685e-002, 3.68776023e-001
5.41838780e-002, 3.69652539e-001
5.17506935e-002, 3.68253738e-001
4.94416654e-002, 3.67002606e-001
4.71350625e-002, 3.65852505e-001
4.48310748e-002, 3.66578400e-001
4.26579304e-002, 3.66796702e-001
4.04875576e-002, 3.65908414e-001
3.83202396e-002, 3.64023030e-001
3.62900198e-002, 3.63281757e-001
3.42630520e-002, 3.62757862e-001
3.22397351e-002, 3.60168219e-001
3.03593520e-002, 3.58884037e-001
2.84829214e-002, 3.59609127e-001
2.66109183e-002, 3.56920779e-001
2.48872228e-002, 3.56516302e-001
2.31683645e-002, 3.54608387e-001
2.14550029e-002, 3.52154851e-001
1.98947676e-002, 3.51242840e-001
1.83404498e-002, 3.47887158e-001
1.67930424e-002, 3.47292125e-001
1.54029010e-002, 3.44529063e-001
1.40203433e-002, 3.40643823e-001
1.26466723e-002, 3.33594471e-001
1.14335427e-002, 3.27736378e-001
1.02301827e-002, 3.17091167e-001
9.03850142e-003, 3.03888440e-001
8.01008567e-003, 2.98839927e-001
6.99500507e-003, 2.96774268e-001
5.99604845e-003, 2.97087371e-001
5.16119692e-003, 2.99957603e-001
4.34460491e-003, 3.01785946e-001
3.55135743e-003, 3.01370949e-001
2.92125321e-003, 2.99292803e-001
2.31772056e-003, 2.90018082e-001
1.74647465e-003, 2.73452252e-001
1.33208663e-003, 2.47991160e-001
9.52080358e-004, 1.96700558e-001
6.17176760e-004, 8.80583525e-002
4.11194284e-004, 1.62888765e-001
2.39835441e-004, 2.56528586e-001
1.09440669e-004, 3.28222036e-001
5.35317267e-005, 3.71729285e-001
1.63861550e-005, 3.98343801e-001
-1.71443799e-006, 4.25662369e-001
-3.21501875e-006, 4.32745993e-001
-2.64121991e-006, 4.38912898e-001
3.98867206e-016, 4.44563329e-001
2.77981667e-006, 4.56465483e-001
7.01078625e-006, 4.48631585e-001
2.46720156e-005, 4.87444907e-001
5.21577349e-005, 4.95673716e-001
1.18292359e-004, 5.09567976e-001
2.08396537e-004, 5.06350756e-001
3.70696827e-004, 5.05618513e-001
5.69916039e-004, 4.90500301e-001
8.70344113e-004, 4.72883463e-001
1.21277641e-003, 4.48147744e-001
1.67388574e-003, 4.28842217e-001
2.17247754e-003, 4.00893122e-001
2.79620453e-003, 3.76317501e-001
3.44848284e-003, 3.56110275e-001
4.22650296e-003, 3.47465873e-001
5.02687413e-003, 3.48677367e-001
5.95050585e-003, 3.53441328e-001
6.89103454e-003, 3.53051931e-001
7.95224775e-003, 3.53539407e-001
9.02624894e-003, 3.50923628e-001
1.02185318e-002, 3.48810613e-001
1.14202052e-002, 3.46622825e-001
1.27371550e-002, 3.45085770e-001
1.40615739e-002, 3.43754053e-001
1.54985478e-002, 3.42658401e-001
1.69414375e-002, 3.41277003e-001
1.84940025e-002, 3.42678666e-001
2.00512204e-002, 3.42358530e-001
2.17153355e-002, 3.41339231e-001
2.33833641e-002, 3.41724873e-001
2.51553617e-002, 3.42173636e-001
2.69307066e-002, 3.43040466e-001
2.88070478e-002, 3.43740940e-001
3.06862686e-002, 3.43753695e-001
3.26633342e-002, 3.43804657e-001
3.46428752e-002, 3.43358934e-001
3.67169417e-002, 3.42818528e-001
3.87931876e-002, 3.41781795e-001
4.09605019e-002, 3.43746603e-001
4.31297570e-002, 3.43396664e-001
4.53864895e-002, 3.42619598e-001
4.76449206e-002, 3.43329012e-001
4.99870665e-002, 3.42855871e-001
5.23307137e-002, 3.42419088e-001
5.47541939e-002, 3.42538476e-001
5.71790263e-002, 3.42211902e-001
5.96796945e-002, 3.42464089e-001
6.21815734e-002, 3.42929125e-001
6.47551641e-002, 3.41930091e-001
6.73298314e-002, 3.41892779e-001
6.99719861e-002, 3.40898812e-001
7.26151168e-002, 3.40936601e-001
7.53213838e-002, 3.43258739e-001
7.80285224e-002, 3.40454102e-001
8.07943419e-002, 3.39384258e-001
